Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,breast,3,(H+R),0.0,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,0.0,0.5537262383034017,0.19380447247236823,0.15429197117023874,0.0645386217867915,0.06049790125435609,0.06266707504945287,0.06462108769385898,0.06630288236219756,0.07025818719048389,0.07221454546617988,0.07469671145737553,0.0731031941528491,0.06542070409773758,0.02063324114864318,
GPEDA,breast,3,G,0.0,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,0.0,0.3588900823951477,0.17114228749896745,0.09814623581498214,0.059178756728284654,0.06317995742923027,0.06630977118255935,0.09372762272167265,0.10273211592902538,0.1088322327704293,0.1135573086553556,0.11443198797829844,0.11657332247427525,0.10642765477426772,0.08312045269810499,
GP,breast,3,(H+W),0.0,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.51175993511761,97.51175993511761,0.0,10.617010142097843,0.38132879876493314,0.17124657230601298,0.15356429915612807,0.12463273985433479,0.09721161200343557,0.0921984772749801,0.04783757102008551,0.04783757102008551,0.05379501879910585,0.062400935272967334,0.06225336266459587,0.06225336266459587,0.06225336266459587,
GPBUMDA,breast,1,(((H+(K_13+(R+K_11)))+H)+((R*P)+K_11)),0.0,97.36144904028116,97.36144904028116,97.50743444174101,97.50743444174101,97.50743444174101,97.50743444174101,97.50743444174101,97.50743444174101,97.5095971884293,97.5095971884293,97.5095971884293,97.79940524466072,97.79940524466072,97.79940524466072,0.0,0.398020425594214,0.20105589149080053,0.14323483749985483,0.0855387417669414,0.0538653520349784,0.06280282998210394,0.06863460544626386,0.07306544660252948,0.07332448394597631,0.06605019878852873,0.05881839506234762,5.926952963561045E-4,0.057762578173819044,0.06999103770997422,
GP,breast,1,((K_13+W)+(K_11+P)),0.0,97.36144904028114,97.50743444174101,97.50743444174101,97.50743444174101,97.50743444174101,97.79940524466072,97.79940524466072,97.79940524466072,97.79940524466072,97.79940524466072,97.79940524466072,97.79940524466072,97.79940524466072,97.79940524466072,0.0,10.090498710762766,0.22642997273089965,0.1860595578042056,0.15162649166776568,0.11187505439035678,0.10043739733701007,0.06571268694474452,0.10214806237860474,0.10012512817702245,0.1011416529926432,0.09487928063310694,0.09487928063310694,0.09487928063310694,0.11678832116576839,
GPEDA,breast,1,((K_13+K_11)+(W+K_11)),0.0,97.50743444174101,97.65341984320085,97.65341984320085,97.65341984320085,97.65341984320085,97.65341984320087,97.94539064612057,97.94539064612057,97.94539064612057,97.94539064612057,97.94539064612057,97.94539064612057,97.94539064612057,97.94539064612057,0.0,0.22955575514236776,0.1897270860470509,0.09875348632068834,0.11472632239867533,0.11292893204245165,0.07007299271711281,0.07293428320898666,0.11678832114240574,0.11620291232150054,0.11678832113461819,0.12469580438746107,0.14014598537581902,0.1449304951113224,0.14586856636185808,
GPEDA,breast,2,((H+W)*(H+W)),0.0,97.51175993511758,97.5117599351176,97.5117599351176,97.5117599351176,97.51175993511761,97.8037307380373,97.8037307380373,97.8037307380373,97.8037307380373,97.8037307380373,97.8037307380373,97.8037307380373,97.8058934847256,97.8058934847256,0.0,0.2466310828601601,0.1659238285518433,0.1487612951362581,0.1166208204758098,0.0713490099779148,0.0010595214355639618,0.0791853129580454,0.09697613384630392,0.10920004233879081,0.11668173725629624,0.11430304288383637,0.10851494819602539,0.07953459117766985,0.07173298367966652,
GP,breast,4,(K_13+W),0.0,97.50959718842931,97.50959718842931,97.50959718842931,97.50959718842931,97.65558258988916,97.65558258988918,97.65558258988918,97.65558258988918,97.65558258988918,97.65558258988918,97.65558258988918,97.65558258988918,97.65558258988918,97.65558258988918,0.0,8.167089115909512,0.45407191775111994,0.24615711284480876,0.20189331965061386,0.10114535266629653,0.08246455279075364,0.08299971473732463,0.08298835275385225,0.0768291644716012,0.07519427033072193,0.062344841223141365,0.06995883480612634,0.07137895037492113,5.867352865954814E-4,
GP,breast,2,((W*R)+(H+P)),0.0,97.36361178696946,97.5117599351176,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,0.0,10.0088253301442,0.24638351996833754,0.18734243628852465,0.11402074381218869,0.10089717465355913,0.08271021995142006,0.11418289910716428,0.08942114126130447,0.07989159338599387,0.0822844825061112,0.1008119868170284,0.07587297614816337,0.07587297614816337,0.08065501508588643,
GPBUMDA,breast,5,(((W*(R*W))+(((R*W)+(K_11+K_13))+(K_11+K_13)))+(K_11+K_13)),0.0,97.50743444174101,97.50743444174101,97.50743444174101,97.65341984320087,97.65341984320087,97.65341984320087,97.65341984320087,97.65341984320087,97.65341984320087,97.65558258988916,97.65558258988916,97.79940524466072,97.79940524466073,97.79940524466073,0.0,0.6394137759959311,0.30597586594954534,0.2860341239763237,0.23804519587968304,0.1685353232948788,0.1290097145620029,0.09679476785814013,0.05606404704163604,0.05868854651638121,0.06391154979769566,0.06789958335392124,0.0718613125858882,0.08302739545589173,0.08268249473203701,
