Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAa,breast,3,15,No Implementado,2628,265,0.4029840962593987,3.3382307457892173,2,0.8120560950866585,1.1045044705281195,2.6554734352614338,97.5139226818059,0.17349803481190343,97.27399546032804,97.59407323472358,50,(H+R)
GPEDAa,breast,3,15,No Implementado,2622,1195,7.146013493150935,1.7754744146969603,2,0.06493888247033709,1.0484380609769617,1.0E-4,97.65774533657745,0.19655223122376406,97.00521273924471,97.79629975195596,287,G
GPa,breast,3,15,No Implementado,2646,2481,10.708430121538907,2.047845352284966,4,0.13539645020624103,0.3846507532071628,0.39865728904660225,97.51175993511761,0.32392583086013743,94.64428712451807,97.40005730349694,284,(H+W)
GPBUMDAa,breast,1,15,No Implementado,2630,2188,1.0308884782262924,3.492756761183008,3,0.15001797364232802,0.5436766036775552,2.4882129359384635,97.79940524466072,0.1625076869602417,97.57571834707933,98.00414468397435,321,(((H+(K_13+(R+K_11)))+H)+((R*P)+K_11))
GPa,breast,1,15,No Implementado,2620,1027,16.979819360279677,0.8177596469037208,3,-0.8506164464122534,0.21620817078800927,2.2609156348389003,97.79940524466072,0.2452407689633967,96.28993412433064,97.81270846011986,309,((K_13+W)+(K_11+P))
GPEDAa,breast,1,15,No Implementado,2624,1291,19.096027211859173,1.9694665287864561,4,-0.9999,0.40416856158535025,3.971377553609522,97.94539064612057,0.22986684847998715,96.6174275344226,98.21828971868027,625,((K_13+K_11)+(W+K_11))
GPEDAa,breast,2,15,No Implementado,2614,2428,28.71034408619731,2.6451690703380404,4,0.14682788295019944,0.4759096398335343,3.42074597767065,97.8058934847256,0.3806743135210288,93.5316745131827,97.919570939303,567,((H+W)*(H+W))
GPa,breast,4,15,No Implementado,2620,1150,14.648842862233963,1.0087623104825965,1,-0.24783900336404563,0.5391334735641485,4.142953080407842,97.65558258988918,0.27014919387182157,95.77594066174989,97.80469935558924,265,(K_13+W)
GPa,breast,2,15,No Implementado,2588,1740,17.18398254559699,3.745890585046663,4,-0.9635994986133543,0.7759313816079354,3.0422676181229336,97.8058934847256,0.3089369268201385,95.1152597041094,97.919570939303,287,((W*R)+(H+P))
GPBUMDAa,breast,5,15,No Implementado,2630,2528,22.55369334292832,3.2547609559084973,4,-0.1416924728121301,0.8054568602738531,3.0193099969046124,97.79940524466073,0.22036442875858936,96.70258758595324,97.91592042278201,330,(((W*(R*W))+(((R*W)+(K_11+K_13))+(K_11+K_13)))+(K_11+K_13))
GPEDAa,breast,5,15,No Implementado,2630,1323,14.738455613885755,3.510851002319723,3,-0.25327887992477893,0.5629344660837498,2.5386522194693097,97.65341984320087,0.24891981497820917,96.1513417458572,97.7088570828532,165,(W+(K_11+K_13))
GPa,breast,5,15,No Implementado,2604,1004,27.778536853965367,3.805372232745965,1,0.3511371293473733,0.14631386464882942,0.21772594437392934,97.65341984320087,0.24011791128579446,96.30189916993062,97.7088570828532,12940,((K_13*W)+(K_11+K_13))
GPBUMDAa,breast,2,15,No Implementado,2616,2124,25.352034927787138,3.130552454566024,6,-0.22305476268747781,0.37576728398203096,2.3053943635805023,98.09786428764531,0.33454586775754663,94.72784334447273,98.34041455583008,981,(K_11+((K_11*W)+(K_11+(((H+W)*(H+W))+((K_11*W)+(K_13*R))))))
GPBUMDAa,breast,4,15,No Implementado,2618,1876,7.114818692792605,2.537767060299343,4,0.13430581040249157,0.5399150373610707,3.1712621676264825,97.80156799134902,0.3400617630544638,94.46360501520287,97.9181356696013,281,((((W+R)*(P+R))*(K_11*R))+K_13)
GPEDAa,breast,4,15,No Implementado,2606,1530,10.220181197778444,2.7728278203283487,4,0.8849576639637661,0.5879138131719499,3.3194838090826946,97.94755339280887,0.3363706852757947,94.6179253058405,98.12400555094453,427,(W+(W+(W+K_13)))
