Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,breast,2,(L+((R+R)+((R+(L+((R+P)*L)))+L))),0.0,97.21762638550959,97.21762638550959,97.2176263855096,97.2176263855096,97.2176263855096,97.2176263855096,97.2176263855096,97.2176263855096,97.36361178696946,97.36361178696946,97.36361178696946,97.36361178696946,97.36361178696946,97.36361178696946,0.0,13.129681942366167,0.3335073655052647,0.3703096032553947,0.12660576503468254,0.0681679641293061,5.867337364996819E-4,3.015782985847835E-6,3.015782985847835E-6,3.015782985847835E-6,0.039604846572785145,0.05351913220646339,0.058394160602353064,0.058394160602353064,0.058394160602353064,
GPBUMDA,breast,2,((((L+R)+(L*R))+((L+R)*R))+R),0.0,97.21762638550959,97.21762638550959,97.36361178696946,97.36361178696946,97.36361178696946,97.36361178696946,97.5095971884293,97.5095971884293,97.5095971884293,97.5095971884293,97.5095971884293,97.51175993511758,97.65558258988916,97.65558258988916,0.0,0.387234960060146,0.3081264328400866,0.11585096416125121,0.028897612193187615,0.04000693250421399,0.05406248206138426,0.06985665282774815,0.08109372309207173,0.04000693250420636,0.04422674344512223,0.05404427453424432,0.05894484830857973,0.06475730863840276,0.08300204016247903,
GPEDA,breast,3,(L+(R*(R*((R*(R*(R*L)))+(L+(L+(L+(L+(R*L))))))))),0.0,96.77967018113003,96.9256555825899,97.07164098404975,97.07164098404975,97.36361178696946,97.36361178696946,97.36577453365774,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.95620437956204,0.0,0.18921425687553994,0.15494093576213908,0.09364392467892824,0.09875348628384935,0.062347902204671096,0.14470584956557472,0.13234040495054814,0.046837843644316306,0.08888877315064589,0.10043741598195176,0.0590875061724734,0.06873180397958854,0.05866038867105569,0.0010381155614829153,
GP,breast,1,(R+(R+(((R+(R+(L+R)))+(L+R))+R))),0.0,97.5117599351176,97.51175993511761,97.51175993511761,97.51175993511761,97.51175993511761,97.51175993511761,97.51175993511761,97.51175993511761,97.65558258988916,97.65558258988916,97.65558258988916,97.65558258988916,97.65558258988916,97.65558258988916,0.0,12.55832923931582,0.16999599499631096,0.1541430333888399,0.1190648446939133,0.07984567876547566,0.07040197262555849,0.07246524759645119,0.0,0.0,0.03901810817495989,0.04673683087988603,0.05272625622586388,0.06142422962211872,0.0645762118650955,
GPEDA,breast,2,((R+(L+R))+((R+((R+(L+R))*R))*R)),0.0,97.21762638550959,97.2176263855096,97.2176263855096,97.36361178696946,97.36361178696946,97.36361178696946,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.65774533657745,0.0,0.2952359602596517,0.24566564901126176,0.0728812389409699,3.015782985847835E-6,0.05822242624025019,0.07120285029990048,0.06533594394500403,0.04019158510606166,0.04814244987625186,0.0590875061262964,0.07215677540755097,0.07066214733395634,0.028890280640792115,0.0,
GPBUMDA,breast,3,(L+((R*(R*L))+(R*(R*(R*((R*(L+L))*L)))))),0.0,96.92565558258988,96.9256555825899,97.36577453365774,97.36577453365774,97.36577453365774,97.36577453365774,97.36577453365776,97.36577453365776,97.36577453365776,97.36793728034604,97.5117599351176,97.5117599351176,97.65774533657745,97.65774533657745,0.0,0.2515329569491655,0.23795377099201226,0.19958336738946553,0.1362982803359211,0.15089646992023406,0.14515564972653291,0.14388808504015954,0.11460599895933818,0.10643835890139199,0.0728907179470513,0.07372734287220926,0.06803869319634584,0.03521794779840709,0.08464674175238439,
GP,breast,5,((L+R)+((L+R)+(P+L))),0.0,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.8037307380373,97.8037307380373,97.8058934847256,97.8058934847256,97.94971613949716,0.0,12.40312595891425,0.5001092418848746,0.27152214474595426,0.23831987115320846,0.16695040615973752,0.10931707058933682,0.07266254698638681,0.06809870831769689,2.3360154559928683E-6,2.3360154559928683E-6,0.039604846572785145,0.04743964026383152,0.058742111072572295,0.06596588701661729,
GP,breast,3,((((R*R)+L)+R)+((R*R)+L)),0.0,97.07164098404975,97.07164098404975,97.07164098404975,97.07164098404975,97.37010002703434,97.37010002703434,97.37010002703434,97.37010002703434,97.37010002703434,97.5095971884293,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,0.0,11.70652099404061,0.25105027174666805,0.2044975338680108,0.12186266772101509,0.11123974848557122,0.10010574836193732,0.07012589328050246,0.10202114216353242,0.0873051736752823,0.0873051736752823,0.1551330465643278,0.17265256527288655,0.14276326112135762,0.14276326112135762,
GPBUMDA,breast,4,(R+(L+(L*R))),0.0,97.36793728034604,97.5139226818059,97.65990808326575,97.8058934847256,97.8058934847256,97.95187888618545,97.95187888618545,97.95187888618545,97.95187888618547,97.95187888618547,97.95187888618547,97.95187888618547,97.95187888618547,97.95187888618547,0.0,0.8107738863754222,0.1887564413736105,0.151242250592541,0.10699273434519195,0.08848050582266234,0.08178798561102531,0.07396932655416676,0.035021593139082735,0.040006932504210224,0.04792126849099825,0.0589870038817787,0.06621274763937607,0.07224403048296399,0.07367474423464532,
GPBUMDA,breast,1,((R+L)+(R*(L+(R*L)))),0.0,97.5117599351176,97.5117599351176,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.65774533657745,97.8058934847256,97.8058934847256,97.8058934847256,0.0,0.3357561907195764,0.2325583135682942,0.11158262136317017,0.08388814727364002,0.0675781025767244,0.040006932504210085,0.044240252911332476,0.0479212684909964,0.05665516713734167,0.05898700388177571,0.06621274763937121,0.07367474423463662,0.07057009049932395,0.04057610879796603,
