Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPc,breast,2,15,No Implementado,2610,1614,26.064043622106215,3.107111016503174,4,0.4668796907680679,1.157608654614017,0.27584043853414286,97.36361178696946,0.17824924467260234,97.12101538078875,97.38285508690542,237,(L+((R+R)+((R+(L+((R+P)*L)))+L)))
GPBUMDAc,breast,2,15,No Implementado,2618,2476,1.8691612185516653,3.999919481465088,6,0.7473829488024211,1.5961308732693429,1.7484223592952317,97.65558258988916,0.2456030587417449,96.20959897527788,97.9953070671082,258,((((L+R)+(L*R))+((L+R)*R))+R)
GPEDAc,breast,3,15,No Implementado,2612,2602,13.03895152276535,3.805540747941506,2,0.40982700819843804,0.8285765902092632,1.8762206298944482,97.95620437956204,0.261043822357691,96.09087333722182,98.22577647506432,17372,(L+(R*(R*((R*(R*(R*L)))+(L+(L+(L+(L+(R*L)))))))))
GPc,breast,1,15,No Implementado,2634,1741,25.504934436984268,3.96006395338854,1,-0.7732680262915821,0.4504941521511882,3.26027612738176,97.65558258988916,0.17751397021470014,97.28923828957112,97.70460549304289,243,(R+(R+(((R+(R+(L+R)))+(L+R))+R)))
GPEDAc,breast,2,15,No Implementado,2618,2669,16.080496907482644,3.59527663136142,5,-0.6449677259477159,1.3634822042726802,1.0267868669041091,97.65774533657745,0.2258228389615251,96.5420870705467,97.70586586786379,587,((R+(L+R))+((R+((R+(L+R))*R))*R))
GPBUMDAc,breast,3,15,No Implementado,2608,2397,3.113474114293166,3.6722122870039247,6,-0.06412469132722638,1.6042587177550767,4.3227503489635986,97.65774533657745,0.44765915349856955,91.64213480470539,97.78041631257936,1187,(L+((R*(R*L))+(R*(R*(R*((R*(L+L))*L))))))
GPc,breast,5,15,No Implementado,2630,2666,21.06587092306814,3.684485865903977,4,0.8330501840316444,1.6928212316876878,4.172779639397279,97.94971613949716,0.1537298467955402,97.76674770242732,98.0274120059357,297,((L+R)+((L+R)+(P+L)))
GPc,breast,3,15,No Implementado,2612,2084,4.426488462688834,3.8410548074560733,5,0.9711375357379814,1.8918966919965314,0.33563664899699364,97.5160854284942,0.16763589208844681,97.36009393683752,97.59636466768248,506,((((R*R)+L)+R)+((R*R)+L))
GPBUMDAc,breast,4,15,No Implementado,2624,1648,15.202564896567802,3.6675359616744507,2,0.5764527385624029,1.3306872986420422,2.768029959834081,97.95187888618547,0.14822197267452744,97.843394417104,97.93668121280778,42329,(R+(L+(L*R)))
GPBUMDAc,breast,1,15,No Implementado,2614,2283,21.141973849487375,2.794702607661422,6,0.12360126217615587,0.9573227341235551,2.2591766066800867,97.8058934847256,0.2254859495735408,96.62278468630741,97.91718434932343,194,((R+L)+(R*(L+(R*L))))
GPc,breast,4,15,No Implementado,2606,909,8.835612363765339,3.152981797799337,3,0.07639901825389361,0.6320664075644022,0.7411704792827811,97.8058934847256,0.20972300205876845,96.87505518064054,97.91735043706049,190,(((R+L)*R)+(L+P))
GPEDAc,breast,1,15,No Implementado,2620,1473,10.480611834857449,2.881243102234729,1,-0.523377548276372,1.3653209662637737,1.7279012965204683,97.65990808326575,0.15482206358118766,97.61594428669393,97.70874725819347,56,(R+L)
GPEDAc,breast,4,15,No Implementado,2622,2137,19.823813320843623,3.6433261515799304,2,-0.13702509740403676,1.2077967129090306,0.953991079153387,98.09786428764531,0.21228309403491882,96.96708203567108,98.33369188711205,475,((L*R)+((R+R)+(((P+R)+(L+(L*R)))+(L+R))))
GPEDAc,breast,5,15,No Implementado,2632,1939,20.43072123240926,3.296109345326089,3,0.34307163981925726,1.0208603662826408,2.8300688577257276,97.95187888618545,0.23130531269217397,96.59674443489631,97.93602806111974,315,(((L*(R*R))+(R+L))+(R*((R+L)*R)))
