Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,breast,2,((K_11+K_13)+(W+K_13)),0.0,97.66207082995405,97.8080562314139,97.8080562314139,97.95187888618547,97.95187888618547,97.95187888618547,97.95187888618547,97.95187888618547,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,0.0,0.44088721321491464,0.19036330944292576,0.1725184271301945,0.14289348745376704,0.10166679385389932,0.07922966683497433,0.09004398369998244,0.09758705272541723,0.10185915245203753,0.10821208663261132,0.10987414317935387,0.10516090521737642,0.08519252583190795,0.07259286657634857,
GPBUMDA,breast,5,((K_13+W)+H),0.0,97.51608542849418,97.51608542849418,97.66207082995405,97.66207082995405,97.66207082995405,97.8080562314139,97.8080562314139,97.8080562314139,97.8080562314139,97.8080562314139,97.8080562314139,97.8080562314139,97.8080562314139,97.8080562314139,0.0,1.3534657104579833,0.19558102864988147,0.20717852068657666,0.15720391121697966,0.08153171920504372,0.07157873013809798,0.028897612193184867,0.035021593139082666,0.04000693250421035,0.04424025291133274,0.05116931342884091,0.05406248206137946,0.05898700388177701,0.06298088562986083,
GPEDA,breast,2,((K_13*((K_11*W)+K_11))+(W+H)),0.0,97.8058934847256,97.8058934847256,97.8058934847256,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,97.95404163287375,0.0,0.18222105907268862,0.17972021574531763,0.15952730373742277,0.07851217316836097,0.09184017673596179,0.09466037625359659,0.06790266913490145,0.0626947998886751,0.06834027666703117,0.07020508940911016,0.07246524752114657,0.06234790221925851,0.02860717957452687,2.6973983046972182E-6,
GP,breast,2,((K_13+G)+W),0.0,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.80805623141389,97.80805623141389,0.0,7.279200346625733,0.19200418316504475,0.08262208674909297,0.08249798871035367,0.04696127423150997,0.10169920248624122,0.10940398150493609,0.11538219326179174,0.10020824865336042,0.07350620811475682,0.07350620811475682,0.07272972078315851,0.06522932929343317,0.05322578916110977,
GPEDA,breast,1,((W+(W+K_11))+(W+K_11)),0.0,97.22195187888619,97.36793728034604,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.5139226818059,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,0.0,0.19400307948482257,0.13744226447021288,0.09110787017184356,0.08975285149565743,0.10543340196288929,0.06234790221925851,0.07293428320898666,0.06234790217549627,0.0,0.0792096932259451,0.11661594318625515,0.13095645326423982,0.14003123274003604,0.14570342094230376,
GPBUMDA,breast,1,(W+K_11),0.0,97.22195187888619,97.36793728034604,97.36793728034604,97.36793728034604,97.36793728034604,97.5139226818059,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,97.8058934847256,0.0,0.35538925329428744,0.19343504686625837,0.11325997810089448,0.08592984585520075,0.0685373875766094,0.07331021411124483,0.07929459284828902,0.09628085780046118,0.10751989521961683,0.12809872543733547,0.11129004271858786,0.09794969556947278,0.10936732200045979,0.12243322064133444,
GP,breast,1,H,0.0,97.5117599351176,97.5117599351176,97.5117599351176,97.5117599351176,97.5139226818059,97.5139226818059,97.5139226818059,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,97.65990808326575,0.0,5.99022491965644,0.2982831379000287,0.23755571031727046,0.1849507121477359,0.15905406732076274,0.16288406746863904,0.10496247967051196,0.1047881459392523,0.09307818531891665,0.09307818531891665,0.09307818531891665,0.09307818531891665,0.09847139339832305,0.09151556238900926,
GP,breast,5,(K_13*(K_13+W)),0.0,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,0.0,6.188036502872348,0.5227234562945348,0.23071544272645486,0.17054762716650923,0.15492366684344103,0.1604152475910548,0.11927703082455784,0.11023370298050503,0.11023370298050503,0.10830503352090055,0.09232927477362753,0.0700729927430713,0.0700729927430713,0.07293428320898666,
GPEDA,breast,5,(K_13+(K_13+W)),0.0,97.37010002703434,97.5139226818059,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.80805623141389,97.80805623141389,97.80805623141389,97.8080562314139,97.8080562314139,97.8080562314139,97.8080562314139,0.0,0.4490917829545409,0.14549460374621098,0.1094977610381161,0.10197229309345641,0.09532145020156169,0.07285235260831491,0.062300710469189995,1.9073486328125E-6,0.03960484652685669,0.04743964022548828,0.053519132172475746,0.06554728264956826,0.06809870821085261,0.07151794867243916,
GPEDA,breast,3,((W+K_13)+(W+K_11)),0.0,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.94971613949717,97.94971613949717,97.94971613949717,97.94971613949717,97.94971613949717,97.94971613949717,97.94971613949717,97.94971613949717,97.94971613949717,0.0,0.17788764924767567,0.2030261632287711,0.13704234791377232,0.1083050335041055,1.3486991523486091E-6,1.3486991523486091E-6,0.05411508578089522,0.0590875061262964,0.07099693587429196,0.0724726830822067,0.07393284309217311,0.07104746313041951,0.054275893714614096,0.04016830243918946,
GP,breast,3,(W+K_11),0.0,97.5095971884293,97.65558258988916,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,0.0,6.731509356181499,0.19962143027553605,0.1898614405454642,0.1604744401509846,0.14405029476379907,0.13788432707932638,0.1338051088171074,0.12835376657255718,0.13519034592544585,0.11034163190451542,0.12189817461324452,0.12606840225544652,0.12606840225544652,0.07018952388541773,
GPBUMDA,breast,4,(W+K_11),0.0,97.22411462557449,97.22411462557449,97.37010002703434,97.37010002703434,97.37010002703434,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,97.66207082995405,0.0,0.7572722950773217,0.26695146178004164,0.1942200295062092,0.15227532507918096,0.09442527856223885,0.07359327889778325,0.060802411885821396,0.07628504397043906,0.0862905474641944,0.09606916897726166,0.11457001287494165,0.1226376552898252,0.11976617628017212,0.11255418664253729,
GP,breast,4,(K_13+(W*K_11)),0.0,97.07596647742633,97.37010002703434,97.37010002703434,97.37010002703434,97.37010002703434,97.37010002703434,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,0.0,10.318540278889444,0.3219027579148661,0.2341321920501102,0.18742191598030844,0.14724259007613025,0.14305575230498413,0.13500200912548288,0.11355401339714691,0.11292893199412951,0.07007299269115431,0.08252170776072887,0.0893042707414761,0.0893042707414761,0.0893042707414761,
GPBUMDA,breast,3,(K_11+W),0.0,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.80156799134902,97.94755339280887,97.94755339280887,97.94755339280887,97.94755339280887,97.94755339280887,97.94755339280887,97.94755339280887,97.94755339280887,97.94755339280887,0.0,0.5724877198988285,0.23025586676444043,0.18392596501399888,0.12988666301231824,1.4355129586014018E-14,1.4355129586014018E-14,0.028897612193184926,0.035021593139082687,0.04000693250421028,0.04792126849099675,0.05116931342884093,0.056655167137342796,0.06468429963218214,0.06879007641113899,
GPEDA,breast,4,(W+K_13),0.0,96.93214382265478,97.22411462557447,97.22411462557447,97.22411462557447,97.22411462557449,97.37010002703434,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,97.5160854284942,0.0,0.4058968264974943,0.10914502960099814,0.13646361941942173,0.12405809096301854,0.13057400032236804,0.04743964039803285,0.039604846572785145,0.08778567227637313,0.10214806236079736,0.09840758855965213,0.062347902204671096,0.06809870825091921,0.07007299267817507,0.07151794869787317,
