Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,breast,2,15,No Implementado,2624,1674,13.710755657848354,0.7395706430271803,1,0.04269254036759343,0.5849749282219887,3.3210603166372366,97.95404163287375,0.22986551161733643,96.6214209982529,98.03446529846185,396,((K_11+K_13)+(W+K_13))
GPBUMDAb,breast,5,15,No Implementado,2624,1190,3.2472943494315682,2.4966989390338847,3,-0.9999,0.6622288355246971,3.0753166784189867,97.8080562314139,0.2137603272639769,96.81236952230596,97.9197974320589,409,((K_13+W)+H)
GPEDAb,breast,2,15,No Implementado,2608,765,10.289766455462598,2.8282655573903885,3,0.47391992936193583,0.7810737921823407,1.980138249990167,97.95404163287375,0.21665998235341305,96.83495267384126,98.03073050410266,503,((K_13*((K_11*W)+K_11))+(W+H))
GPb,breast,2,15,No Implementado,2620,2362,30.395486938851484,2.507741388570977,1,-0.1783576234792017,0.5013662972751772,3.2595082772790622,97.80805623141389,0.20130210422181224,97.0071546273742,97.91982856674512,137,((K_13+G)+W)
GPEDAb,breast,1,15,No Implementado,2616,1746,3.1701672742269773,0.28063137393464954,4,0.3412474937005833,0.44811339353769636,1.2782665970800688,97.8058934847256,0.29169674607630813,95.4528721923022,97.92346619729616,559,((W+(W+K_11))+(W+K_11))
GPBUMDAb,breast,1,15,No Implementado,2600,1288,1.1460310236694293,1.0E-4,1,0.6920724541035306,0.7639446107496074,2.507270993106586,97.8058934847256,0.25476190476190474,96.12865975864503,97.727502006374,18572,(W+K_11)
GPb,breast,1,15,No Implementado,2618,1426,0.11293996641430226,0.06610780408545763,4,-0.5223228116180929,1.9564365241712824,3.2912752782052705,97.65990808326575,0.33967808347370393,94.3942706319618,97.80521067283985,203,H
GPb,breast,5,15,No Implementado,2612,988,10.927188201336865,1.9676196022048065,6,0.30165273950705407,0.7019542405475889,3.431604412407621,97.66207082995405,0.3429654287318521,94.32361226784502,97.80766504870601,394,(K_13*(K_13+W))
GPEDAb,breast,5,15,No Implementado,2622,2049,9.867338748203782,2.127028918795543,2,0.7255914473376774,0.552764262015602,3.127086236012065,97.8080562314139,0.23572230689019014,96.4549806892439,98.01472838863482,118,(K_13+(K_13+W))
GPEDAb,breast,3,15,No Implementado,2604,1060,10.446471721945109,0.8851067676608426,4,-0.9999,0.5185921159301959,1.505999850610468,97.94971613949717,0.2778308066629235,95.78445189732015,98.12822417357336,375,((W+K_13)+(W+K_11))
GPb,breast,3,15,No Implementado,2600,521,15.23103831219899,2.843651149850296,1,-0.9717929703476755,0.6231063118872688,4.73857705257393,97.80156799134902,0.27892436031122164,95.6914162147838,97.91799208818274,231,(W+K_11)
GPBUMDAb,breast,4,15,No Implementado,2608,1048,18.959258429018433,3.8309811210775866,5,-0.22087283943734506,0.5596494557637148,2.9574884861896673,97.66207082995405,0.24702949119007514,96.18854768212127,97.90382253986118,137,(W+K_11)
GPb,breast,4,15,No Implementado,2612,1315,22.06200888290398,0.7236053094864672,6,-0.5646992578929648,0.03803352397644968,3.7099512140637545,97.5160854284942,0.2796262132028556,95.52308098028062,97.6942548515685,387,(K_13+(W*K_11))
GPBUMDAb,breast,3,15,No Implementado,2578,1061,20.83312153671113,1.87242245214124,4,0.05955385873013947,0.5640712748572894,1.2531740281841328,97.94755339280887,0.28734392128552716,95.6057718009771,98.12145405182191,303,(K_11+W)
GPEDAb,breast,4,15,No Implementado,2612,1206,27.926018719099623,2.5258308166470766,2,0.08999179038611638,0.10805392937544117,4.842388955667843,97.5160854284942,0.28109141466805704,95.49564743328445,97.78494131521038,5028,(W+K_13)
