Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,chronic,4,((L*G)*(P+L)),0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,1.2503977682636267,0.3560339565437663,0.09702197372270005,0.11962951796750852,0.12626905518442952,0.10101524414754362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,3,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.539814783052378,0.19899748741691448,0.1000000000010914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,3,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,12.779882628569036,0.41833001326834224,0.2336664289137422,0.17720045147139904,0.11224972161141142,0.12000000000009702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,4,((L*G)*(P+L)),0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,0.6086049621879454,0.14966629547040344,0.11224972161141142,0.1248999599704962,0.1000000000010914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,3,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.7948975505978784,0.3115137180322667,0.11572750066264093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,2,G,0.0,99.5,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,0.8589414774461975,0.3451189918702933,0.10702373239186647,0.09258200053011266,0.12535662131411046,0.10101524414754362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,4,((L*G)*(P+L)),0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,11.283394879201937,0.6681317235387815,0.08124038405015699,0.11224972161141142,0.12409673646082321,0.11224972159520656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,5,(((H+H)+(((((K_11+K_11)+(R+L))+R)+(G*L))*L))+(R+L)),0.0,99.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.7017121917146646,0.15811388300726853,0.15620499351890632,0.11224972161141142,0.12489995997777799,0.04898979486807982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,1,((G+H)+(R+P)),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.5945328549529514,0.2358765434446572,0.11962951796750852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,2,((H+R)+(((K_13+G)+(R+R))+K_11)),0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,14.526066225926401,0.5049752469173114,0.3088689042298597,0.1469693845671095,0.1000000000010914,0.12000000000009702,0.12000000000009702,0.0916515139124221,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,1,((G+H)+(R+P)),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,11.67773950728479,0.3891015291677084,0.15937377450648926,0.0916515138925753,0.12489995996321442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,5,((L*R)*H),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,11.28545081066768,0.8714355971618463,0.2989983277557767,0.18547236991115373,0.11661903789786683,0.12489995997777799,0.08124038405015699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,2,G,0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,0.4684015371451619,0.15362291495881197,0.11661903789786683,0.12409673646082321,0.10677078252607823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,1,((G+H)+(R+P)),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.31240998703781264,0.15999999999697137,0.12409673646082321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
