Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAa,chronic,4,15,No Implementado,2640,96,25.2588792161669,1.5332528551535096,3,0.0693612906694494,0.5787041894849034,1.215383752265133,99.75,0.084375,99.0784724685076,99.79898987322333,96,((L*G)*(P+L))
GPEDAa,chronic,3,15,No Implementado,2620,58,30.92926676146342,2.6130668596562177,4,0.6634128522679843,1.1875117170287957,2.7048526179540238,100.0,0.09437500000000001,98.96331303019068,100.0,37,H
GPa,chronic,3,15,No Implementado,2608,58,30.92926676146342,2.6130668596562177,4,0.6634128522679843,1.1875117170287957,2.7048526179540238,100.0,0.09437500000000001,98.96331303019068,100.0,37,H
GPEDAa,chronic,4,15,No Implementado,2624,96,25.2588792161669,1.5332528551535096,3,0.0693612906694494,0.5787041894849034,1.215383752265133,99.75,0.084375,99.0784724685076,99.79898987322333,96,((L*G)*(P+L))
GPBUMDAa,chronic,3,15,No Implementado,2636,58,30.92926676146342,2.6130668596562177,4,0.6634128522679843,1.1875117170287957,2.7048526179540238,100.0,0.09437500000000001,98.96331303019068,100.0,37,H
GPBUMDAa,chronic,2,15,No Implementado,2616,343,22.477862356511693,2.245849369624486,4,0.03502264213284467,1.2904967797756264,3.2218381804580893,99.75,0.09875,98.90643827684691,99.79898987322333,129,G
GPa,chronic,4,15,No Implementado,2604,96,25.2588792161669,1.5332528551535096,3,0.0693612906694494,0.5787041894849034,1.215383752265133,99.75,0.084375,99.0784724685076,99.79898987322333,96,((L*G)*(P+L))
GPEDAa,chronic,5,15,No Implementado,2620,467,20.511978210338665,1.720404185328924,2,0.48049830487193934,0.5595662096365447,1.5551141645188502,100.0,0.114375,98.71684273844359,100.0,146,(((H+H)+(((((K_11+K_11)+(R+L))+R)+(G*L))*L))+(R+L))
GPBUMDAa,chronic,1,15,No Implementado,2620,24,15.940429874190137,1.868133873164343,6,0.4455675668659116,1.0149342698730512,2.1732590660090843,100.0,0.19812499999999997,97.55950208922486,100.0,317,((G+H)+(R+P))
GPa,chronic,2,15,No Implementado,2622,231,10.82965553129555,0.7319604468809193,4,-0.022533407800264582,1.2093309158211902,4.46333042777033,99.75,0.28125,96.16723721579457,99.6638416050035,405,((H+R)+(((K_13+G)+(R+R))+K_11))
GPa,chronic,1,15,No Implementado,2618,24,15.940429874190137,1.868133873164343,6,0.4455675668659116,1.0149342698730512,2.1732590660090843,100.0,0.19812499999999997,97.55950208922486,100.0,317,((G+H)+(R+P))
GPa,chronic,5,15,No Implementado,2624,227,11.256420644613083,0.08107804415395577,4,0.30265774878246154,1.311815371604969,4.30465986871218,100.0,0.143125,98.34355875371753,100.0,74,((L*R)*H)
GPEDAa,chronic,2,15,No Implementado,2600,171,17.99150933980036,1.332964105269667,6,0.04911284108718551,0.5537737052152216,1.0E-4,99.75,0.09874999999999999,98.90643827684691,99.79898987322333,267,G
GPEDAa,chronic,1,15,No Implementado,2626,24,15.940429874190137,1.868133873164343,6,0.4455675668659116,1.0149342698730512,2.1732590660090843,100.0,0.19812499999999997,97.55950208922486,100.0,317,((G+H)+(R+P))
