Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,chronic,1,(((((R+L)*(R+L))+R)+L)*((R+L)+R)),0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,100.0,0.0,14.018109715649917,0.6961321713581214,0.06782329984620726,0.12409673646082321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,2,(((L+R)+(P+L))+((L*L)+L)),0.0,98.75,98.75,98.75,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,14.888250400903386,0.3668787265560777,0.0,0.0,0.11224972161141142,0.08124038403896187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,3,(L*(R+L)),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,15.880541552478622,0.36386810797377694,0.25495097568063807,0.12409673646082321,0.04898979486807982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,3,(L*(R+L)),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.5711829246558239,0.2776081965699028,0.21428569241982834,0.12616799950182706,0.10101524414754362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,1,((R+R)+(L+P)),0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,0.6406246951223966,0.15811388300726853,0.12247448714420858,0.0916515139124221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,2,((((R+L)+R)+(L+R))+(L*L)),0.0,98.75,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,0.3414674215810332,0.0,0.06782329983279749,0.11661903789786683,0.12247448713678259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,5,(L*(L+R)),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,14.887074930959376,0.5182663407934416,0.06782329984620726,0.08124038405015699,0.12247448714420858,0.12000000000009702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,1,(R+(R+L)),0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,0.757092239118145,0.17814232344135464,0.10101524414754366,0.05997447825067939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,4,(R+(L+P)),0.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,0.0,14.63692590676064,0.6925315877276453,0.12000000000009702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,5,(L*(L+R)),0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2.1778333764828774,0.36126192360516285,0.08762744924689038,0.12464233275721776,0.1133893303324289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,4,(R+(L+P)),0.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,0.0,0.8967627943610869,0.24515715072297284,0.1078547666411371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,4,(R+(L+P)),0.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,0.0,0.7762731478031208,0.11224972161141142,0.10677078252607823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,2,((R*R)+((R+L)+(R+R))),0.0,98.75,98.75,98.75,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,0.6497447815797733,0.12626905518442952,0.0,0.0,0.04948716088082929,0.09258200053011266,0.11962951796750852,0.12257857536148646,0.0,0.0,0.0,0.0,0.0,0.0,
