Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPc,chronic,1,15,No Implementado,2614,2690,21.853702336139865,2.925385202180525,6,0.10164526768426985,1.512360024487123,3.7741100419724614,100.0,0.155,98.18240171756413,100.0,71,(((((R+L)*(R+L))+R)+L)*((R+L)+R))
GPc,chronic,2,15,No Implementado,2598,654,19.116267488939492,3.396964842972242,4,0.5580735695234615,0.16233564190261382,4.647138255000135,99.0,0.06999999999999999,99.15254746635318,99.19389768871208,18,(((L+R)+(P+L))+((L*L)+L))
GPc,chronic,3,15,No Implementado,2600,17,0.7097013466325635,3.02244114069315,5,0.4614036540244215,0.6414995391537758,4.215887331595953,100.0,0.103125,98.8567594489637,100.0,10,(L*(R+L))
GPBUMDAc,chronic,3,15,No Implementado,2616,17,0.7097013466325635,3.02244114069315,5,0.4614036540244215,0.6414995391537758,4.215887331595953,100.0,0.103125,98.8567594489637,100.0,10,(L*(R+L))
GPEDAc,chronic,1,15,No Implementado,2604,119,11.952637587597511,1.775573424348002,4,0.37445859200643816,1.1314741898519853,1.6292293476640565,99.75,0.13374999999999998,98.46513834388405,99.79898987322333,19,((R+R)+(L+P))
GPEDAc,chronic,2,15,No Implementado,2614,416,19.1653444667519,2.449242779504183,4,-0.4419018011504469,0.6708795070104538,3.0489920728939612,99.0,0.079375,99.04422079228974,99.19389768871208,27,((((R+L)+R)+(L+R))+(L*L))
GPc,chronic,5,15,No Implementado,2604,87,20.885142498633787,0.6769188178445407,1,-0.25933672405148256,1.0211699169389294,1.3853929372585627,100.0,0.0875,99.04567871587187,100.0,15,(L*(L+R))
GPBUMDAc,chronic,1,15,No Implementado,2616,135,10.013730435987128,1.7595667656884861,5,0.3974497774542761,1.3153557927676327,3.2125538879131446,99.75,0.1325,98.48147523888913,99.79898987322333,15,(R+(R+L))
GPc,chronic,4,15,No Implementado,2604,27,22.90746872408722,3.171427785488977,1,-0.695027265053306,0.6760150226274405,0.3222059823802964,99.5,0.1125,98.71975041339276,99.59591794226542,18,(R+(L+P))
GPBUMDAc,chronic,5,15,No Implementado,2620,87,20.885142498633787,0.6769188178445407,1,-0.25933672405148256,1.0211699169389294,1.3853929372585627,100.0,0.0875,99.04567871587187,100.0,15,(L*(L+R))
GPBUMDAc,chronic,4,15,No Implementado,2610,27,22.90746872408722,3.171427785488977,1,-0.695027265053306,0.6760150226274405,0.3222059823802964,99.5,0.1125,98.71975041339276,99.59591794226542,18,(R+(L+P))
GPEDAc,chronic,4,15,No Implementado,2610,27,22.90746872408722,3.171427785488977,1,-0.695027265053306,0.6760150226274405,0.3222059823802964,99.5,0.1125,98.71975041339276,99.59591794226542,18,(R+(L+P))
GPBUMDAc,chronic,2,15,No Implementado,2630,721,18.505046525237393,1.9877760783755634,1,-0.17345785079805284,0.886962939882369,2.2604327006592344,99.0,0.181875,97.70965476295608,99.05874942049226,89,((R*R)+((R+L)+(R+R)))
