Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,chronic,1,G,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.7060416391584508,0.2667357206368971,0.12371790220207331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,1,G,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,6.937189632697033,0.5385164807142611,0.25495097567707076,0.1000000000010914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,5,H,0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,100.0,100.0,100.0,100.0,100.0,0.0,7.667359388994446,0.724568837310476,0.1984943324165163,0.12409673646082321,0.0,0.0,0.0,0.0,0.0,0.0,0.06782329984620726,0.0916515138925753,0.1000000000010914,0.10677078251756003,
GPEDA,chronic,5,H,0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,0.5567764362841783,0.19078784028566206,0.10677078252607823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,5,H,0.0,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,99.75,0.0,1.8063378634596752,0.21759349510698064,0.17677667725820143,0.09702197372270001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPEDA,chronic,2,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.5616048432835132,0.2249444375851202,0.12247448712935659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,4,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,1.240977516280302,0.7354714521689185,0.2785256088410957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,4,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,8.704056525551675,0.6660330322128897,0.5063595560470963,0.2956349099824705,0.23108440017126136,0.1000000000010914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,3,G,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.8765073584024511,0.4862653939740392,0.12464233275721776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,2,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,6.7423734693357025,0.5599999999995504,0.19646882704352947,0.12409673646082321,0.11224972159520656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,chronic,3,G,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,4.6467838340082,0.7801281945934073,0.4975942121837667,0.2619160170751593,0.12489995997777799,0.04898979486807982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GPBUMDA,chronic,2,H,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.7905693343717587,0.42003396936765475,0.20203048829508724,0.10461297872432684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
