Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,chronic,1,15,No Implementado,2626,28,19.017515287122688,2.5009880620232003,6,0.5089119453022737,1.5201953469959495,0.34377183033333425,100.0,0.09125,99.0008979715908,100.0,134,G
GPb,chronic,1,15,No Implementado,2602,28,19.017515287122688,2.5009880620232003,6,0.5089119453022737,1.5201953469959495,0.34377183033333425,100.0,0.09125,99.0008979715908,100.0,134,G
GPb,chronic,5,15,No Implementado,2584,1914,3.013630409920502,2.1158763757504144,5,0.8423180316841785,1.7553411148350313,3.508226656497269,100.0,0.114375,98.71684273844359,100.0,65,H
GPEDAb,chronic,5,15,No Implementado,2610,78,19.58849167087038,0.4534389100226154,4,-0.5246902709290855,1.968896661941011,4.725914961082048,99.75,0.086875,99.04892024701549,99.79898987322333,59,H
GPBUMDAb,chronic,5,15,No Implementado,2620,78,19.58849167087038,0.4534389100226154,4,-0.5246902709290855,1.968896661941011,4.725914961082048,99.75,0.086875,99.04892024701549,99.79898987322333,59,H
GPEDAb,chronic,2,15,No Implementado,2622,58,30.92926676146342,2.6130668596562177,4,0.6634128522679843,1.1875117170287957,2.7048526179540238,100.0,0.089375,99.02333191471848,100.0,19,H
GPBUMDAb,chronic,4,15,No Implementado,2630,90,31.984026425779692,0.7514120808706398,4,-0.8375521686891851,0.038927658675761756,1.9385522626507345,100.0,0.08937500000000001,99.02333191471848,100.0,53,H
GPb,chronic,4,15,No Implementado,2640,90,31.984026425779692,0.7514120808706398,4,-0.8375521686891851,0.038927658675761756,1.9385522626507345,100.0,0.08937500000000001,99.02333191471848,100.0,53,H
GPBUMDAb,chronic,3,15,No Implementado,2592,28,19.017515287122688,2.5009880620232003,6,0.5089119453022737,1.5201953469959495,0.34377183033333425,100.0,0.08937500000000001,99.02333191471848,100.0,200,G
GPb,chronic,2,15,No Implementado,2632,58,30.92926676146342,2.6130668596562177,4,0.6634128522679843,1.1875117170287957,2.7048526179540238,100.0,0.089375,99.02333191471848,100.0,19,H
GPb,chronic,3,15,No Implementado,2646,28,19.017515287122688,2.5009880620232003,6,0.5089119453022737,1.5201953469959495,0.34377183033333425,100.0,0.08937500000000001,99.02333191471848,100.0,200,G
GPBUMDAb,chronic,2,15,No Implementado,2630,58,30.92926676146342,2.6130668596562177,4,0.6634128522679843,1.1875117170287957,2.7048526179540238,100.0,0.089375,99.02333191471848,100.0,19,H
