Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,column_2C,2,(L+L),0.0,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.45161290322581,86.45161290322581,86.45161290322581,86.77419354838709,86.77419354838709,86.77419354838709,86.77419354838709,86.77419354838709,86.77419354838709,86.77419354838709,0.0,0.6169307400218568,0.19822311607608456,0.11826001795525366,0.1548387096913703,0.16012482125033675,0.1662464352114459,0.13776875168728533,0.15803159634537176,0.14368424160869495,0.10482630196642764,0.12903225803933266,0.14483835043270898,0.15483870966200122,0.16012482123045707,
GPBUMDA,column_2C,1,H,0.0,86.7741935483871,87.09677419354838,87.41935483870967,87.41935483870967,87.41935483870967,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,0.0,0.6829299598302635,0.3463892821281849,0.4099051371210987,0.37686721131855627,0.264244603208271,0.18444694980735296,0.14293143628401278,0.15963600284138132,0.1543606683451689,0.04561978767953486,2.6702084547692946E-14,2.623495663690702E-14,2.5518236529250328E-14,2.4276726960885592E-14,
GPBUMDA,column_2C,2,L,0.0,86.12903225806453,86.12903225806453,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,0.0,1.0792464276279852,0.43229633928199335,0.21859059936546324,0.17978255495559167,0.22349040397793657,0.21258177728808905,0.1627974187120358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,column_2C,5,(K_11+L),0.0,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.45161290322581,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,0.0,8.215251925775167,0.7048516275509845,0.5231776756860224,0.33548387096076815,0.4387096774166141,0.35336939193869765,0.32489492417910226,0.20965260399358873,0.1548387096913703,0.18519613026451134,0.10482630196208954,0.10482630196208954,0.10482630196208954,0.11826001791680049,
GP,column_2C,3,(K_11*G),0.0,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806453,0.0,6.674548237351788,0.4786383739618623,0.3870967741931829,0.2785423631566403,0.28852490031825323,0.2599927958527259,0.2599927958527259,0.30643463449817687,0.2755375032837986,0.22124423483312183,0.22124423483312183,0.22124423483312183,0.19311780062613376,0.1290322581062942,
GPEDA,column_2C,5,L,0.0,85.48387096774195,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,0.0,0.5836481485387761,0.3640447994808453,0.49235571685474244,0.5449990214677922,0.3015050695668174,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,
GPBUMDA,column_2C,4,(R*((R+L)+K_13)),0.0,87.41935483870967,87.74193548387098,87.74193548387098,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,88.38709677419354,0.0,0.8089886848091222,0.4932812759923528,0.457174398519541,0.3436811509578519,0.30567967298841864,0.33460153010899385,0.2764976676384878,0.2986516146132635,0.31254973691478327,0.31532320090353405,0.2524066827719387,0.2703620027138355,0.2859371516059328,0.2859371516059326,
GPBUMDA,column_2C,5,(L+(P+H)),0.0,85.80645161290322,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,0.0,1.2373764056334715,0.44181985590092465,0.3768672113185543,0.3607444017290828,0.3109147663096349,0.327480851458053,0.27348587301415783,0.2646461299604748,0.16175047911497734,1.3618471679602287E-14,1.3466305208909547E-14,1.3156693587761866E-14,1.2999122710922808E-14,1.2678107170882369E-14,
GP,column_2C,2,(W+G),0.0,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,0.0,5.294034889480046,0.7292320594056644,0.34719029798520745,0.20645161290249245,0.24001387403559013,0.17118063433981767,0.17118063433981767,0.22571426690850813,0.29025088720725395,0.2737187540115908,0.2737187540115908,0.2737187540115908,0.30967741935630844,0.29310494687332456,
GPEDA,column_2C,1,((E*H)+(P*(K_11*L))),0.0,86.7741935483871,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,0.0,0.3770745598985207,0.42795158585485726,0.32896900088808595,0.19738140053128492,0.14483835047038526,0.15047617794370638,0.15803159630796332,0.1601248212474968,0.15803159632522876,0.14483835047038526,0.06321263856749994,2.86102294921875E-6,2.86102294921875E-6,2.86102294921875E-6,
