Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAa,column_2C,2,15,No Implementado,2640,1499,3.6037704510298303,1.5950299173583882,5,0.06010629622185698,0.9261894877326871,1.3040880025484223,86.77419354838709,0.4766129032258064,71.21352963815777,87.6491189180604,131,(L+L)
GPBUMDAa,column_2C,1,15,No Implementado,2582,1064,14.951899716901153,1.4691201958837143,1,0.649696813439224,1.0975410382308501,3.1778769311784494,87.41935483870968,0.4790322580645161,72.703864828067,87.11454187163588,17,H
GPBUMDAa,column_2C,2,15,No Implementado,2642,582,5.204436722100365,4.0,2,-0.45502666903023314,0.07994732382346048,1.9051670278185182,86.45161290322581,0.48306451612903223,70.0897965448056,87.1145418716359,8,L
GPa,column_2C,5,15,No Implementado,2624,1221,8.205130506142236,3.6640025291371816,1,-0.4248197802004474,1.667606151953788,3.7867899206045577,86.7741935483871,0.4782258064516129,71.13638909040662,88.78697155765511,114,(K_11+L)
GPa,column_2C,3,15,No Implementado,2622,2607,30.35260072239382,3.451704492567318,3,0.7167209248614264,0.9658369393870335,3.6642862487641588,86.12903225806453,0.5274193548387096,66.96300556205378,89.02920375702281,105,(K_11*G)
GPEDAa,column_2C,5,15,No Implementado,2614,411,8.893099928449342,1.0E-4,6,-0.32400266639206365,0.05833856968364548,1.191835800255365,86.4516129032258,0.4508064516129032,71.60985658968966,88.82043025554015,10,L
GPBUMDAa,column_2C,4,15,No Implementado,2590,736,6.767518037833396,1.028554862361921,5,-0.02191731128548588,1.0563092169381874,1.3797311361778402,88.38709677419354,0.4225806451612903,77.46229805471275,90.47358814086166,51,(R*((R+L)+K_13))
GPBUMDAa,column_2C,5,15,No Implementado,2610,1269,4.131019516096631,2.7351071976643677,3,-0.11804338621801612,0.8489366942264556,2.073689085765115,86.45161290322581,0.4846774193548387,70.01073732572334,85.78177405945526,50,(L+(P+H))
GPa,column_2C,2,15,No Implementado,2622,1548,24.74707641888204,0.7417456907378945,2,0.03243058949330324,1.3353331165342868,1.7285374755779304,87.09677419354838,0.36129032258064514,76.80351632105322,91.46646348196633,180,(W+G)
GPEDAa,column_2C,1,15,No Implementado,2620,327,17.61231580106981,1.1801324642859186,1,1.0,1.2443470798295995,2.404477206647796,87.09677419354838,0.4766129032258065,72.01852990443727,87.07777942121609,71,((E*H)+(P*(K_11*L)))
GPa,column_2C,1,15,No Implementado,2600,791,17.880155491652765,3.2832092073163963,1,-0.5892550723302585,0.24342642095616965,4.200144827571214,87.41935483870967,0.4758064516129032,72.8551217413215,88.2523945112306,50,(P+H)
GPEDAa,column_2C,4,15,No Implementado,2600,1395,9.13005309397721,2.7774797672982885,4,0.5324515331270226,0.30255860646033056,2.5719256747099504,87.74193548387098,0.4959677419354839,72.69133621835181,88.74632226788025,40,(K_11*L)
GPa,column_2C,4,15,No Implementado,2626,2169,11.347591353049076,1.3418194311250404,4,-0.4412467060690175,1.1105986007692612,0.4363892657411311,88.06451612903226,0.4387096774193548,76.05220367052262,89.94231484697191,68,((W+P)+(K_11*R))
GPEDAa,column_2C,3,15,No Implementado,2636,2647,8.764222767350336,0.41909275967370285,4,-0.34545099477689767,1.433464863515337,1.9372236304084447,87.41935483870967,0.5766129032258066,67.49047910641929,86.29698133412883,24,H
GPBUMDAa,column_2C,3,15,No Implementado,2598,1763,4.06690237221955,1.8278058441368508,6,0.9948776141133209,0.778004469232445,0.19563974589106503,89.03225806451613,0.6008064516129032,70.15554808436282,88.63545182980053,98,H
