Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,column_2C,2,L,0.0,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,0.0,0.505371768455412,0.14483835043584867,0.15483870966200122,2.5231850729604633E-6,2.5231850729604633E-6,0.17502787050964022,0.20965260397623633,0.2365200358566729,0.25806451611390824,0.2896767009030942,0.3009523558511481,0.3223224773314022,0.32232247733422387,0.2755375032870994,
GPBUMDA,column_2C,2,L,0.0,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,0.0,0.9877027513524467,0.10589054489139328,0.14293143628401175,1.4355129586014018E-14,1.4355129586014018E-14,1.4355129586014018E-14,1.4355129586014018E-14,0.25541760454622014,0.3095456941970597,0.35360966148883416,0.4235621795655921,0.45227070579040934,0.47784258338123425,0.5399379547062116,
GP,column_2C,4,L,0.0,85.80645161290323,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,0.0,6.797195969582328,0.2931049468764275,0.20965260397840538,0.26880860200939316,0.19397801779603158,0.19397801779603158,0.20401791356958326,0.20401791356958326,0.20965260400660304,0.13776875165097652,0.13776875165097652,0.1504761779497505,0.16012482126169658,0.15803159632235117,
GP,column_2C,5,L,0.0,85.80645161290323,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,0.0,7.918944211153094,0.4181123031257746,0.36358716912505384,0.34526679123302995,0.23581505655620444,0.24001387404316882,0.15483870969430724,0.15803159632522876,0.1611612386875692,0.16012482126453653,0.13776875165097652,3.162979879718208E-6,3.162979879718208E-6,3.162979879718208E-6,
GP,column_2C,1,((P*L)+L),0.0,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,85.80645161290323,86.7741935483871,86.7741935483871,0.0,6.61597096428112,0.43756967633411764,0.3064346345055968,0.23652003586820883,0.23652003587205414,0.12903225805342983,0.12903225805342983,0.15483870968255958,0.1601248212531767,0.15047617794068432,0.11826001795909898,0.11826001795909898,0.11826001795909898,0.11826001795909898,
GPBUMDA,column_2C,4,L,0.0,85.80645161290323,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,87.09677419354838,0.0,1.1884754783446823,0.25748780865106213,0.1871898058906117,0.21859059936546021,0.14293143628401794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
GP,column_2C,2,L,0.0,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,85.48387096774192,0.0,6.825721080020006,0.4469808535613312,0.12903225803580837,0.11826001790910985,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,
GPEDA,column_2C,4,L,0.0,86.12903225806451,86.12903225806451,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,0.0,0.3797145540522331,0.24953651104387867,0.15483870970018104,0.10482630206620402,0.1548387097148656,0.15803159632235117,0.1377687516410741,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,
GPBUMDA,column_2C,1,(P+L),0.0,85.80645161290323,85.80645161290323,85.80645161290323,86.1290322580645,86.1290322580645,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,86.4516129032258,0.0,0.6443707468911527,0.3755689305394799,0.20864940585526584,0.14630881333216614,0.1774043741087509,0.12518964351315207,0.06385440113655498,0.07738642354926496,0.08840241537220847,0.10589054489139825,0.11946064584530844,0.13498448867655302,0.13916744082727583,0.15200387852139083,
GPEDA,column_2C,5,(L+P),0.0,85.80645161290323,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806451,86.12903225806453,86.12903225806453,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,0.0,0.4834837160109766,0.28092311040980356,0.1939780177889986,0.12903225809219704,0.1548387096913703,0.15483870970018104,0.06321263861066352,3.814697265625E-6,0.10482630207054214,0.11826001797448026,0.12903225809924562,0.1377687516476757,0.15047617791650789,0.15803159629069788,
