Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAc,column_2C,2,15,No Implementado,2616,900,14.836448520648569,0.8713120915660334,5,0.2085126514418441,1.1856652358702395,5.0,86.12903225806451,0.4177419354838709,72.2664238535561,89.59382566151858,27,L
GPBUMDAc,column_2C,2,15,No Implementado,2630,1281,13.814337017872985,1.186414855635957,4,-0.27716501717324843,0.7636273262253832,2.1134935987513583,86.7741935483871,0.4209677419354838,73.7045465900916,91.21881781079766,9,L
GPc,column_2C,4,15,No Implementado,2650,387,8.342420649749268,2.4270256623941853,6,-0.04349445921191508,1.5359586479694738,1.7978329926305876,86.45161290322581,0.4548387096774194,71.42600414933861,88.6483172025373,8,L
GPc,column_2C,5,15,No Implementado,2620,949,7.022947765885849,1.4255086149253338,6,0.06592772373232902,0.17596189032913828,2.9346523385598156,86.12903225806453,0.4653225806451613,70.12946725855286,88.3066476113725,7,L
GPc,column_2C,1,15,No Implementado,2654,2424,7.823293429196859,3.47968695314483,2,0.4433674287711953,1.0036299746344914,0.2545177779355584,86.7741935483871,0.4580645161290322,72.07981039895026,91.86369990361914,227,((P*L)+L)
GPBUMDAc,column_2C,4,15,No Implementado,2612,2597,8.295811712215338,1.6556779206986993,2,-0.3010525386604349,0.9543305437630506,2.3814118578777324,87.09677419354838,0.4540322580645161,73.05769719603616,89.67465124152703,17,L
GPc,column_2C,2,15,No Implementado,2604,1,15.127562326995314,1.8305483385574244,3,-0.2871488145398242,0.36537564157703756,0.36533767828637265,85.48387096774192,0.417741935483871,70.67298541141135,89.07390293291093,9,L
GPEDAc,column_2C,4,15,No Implementado,2600,531,8.198195274837005,3.4724535167114805,2,-0.3674870996105061,1.4604880854865017,1.1712627541994203,86.45161290322581,0.4540322580645161,71.46291076394576,88.6483172025373,8,L
GPBUMDAc,column_2C,1,15,No Implementado,2600,1130,7.643002377039864,1.6163620974066883,5,-0.3448035905390415,0.4645518993795216,2.214823862829795,86.4516129032258,0.4604838709677419,71.16573131313179,89.63788879110722,22,(P+L)
GPEDAc,column_2C,5,15,No Implementado,2652,1463,5.666784770306706,0.5982704787907834,3,-0.9999,1.4438460253475247,4.385175566739641,86.45161290322581,0.475,70.4806061087594,89.26276050205738,14,(L+P)
GPBUMDAc,column_2C,3,15,No Implementado,2642,1151,9.130796394966419,1.2190414156382714,3,-0.09504492448518469,1.6476326476026313,0.41778935493285463,87.41935483870967,0.39919354838709675,76.12743696051609,90.38134134095438,11,R
GPc,column_2C,3,15,No Implementado,2604,800,7.403608529468507,0.6811653899338119,6,-0.10879542889883975,1.2012202021321947,3.0546313507644856,87.09677419354838,0.3741935483870968,76.32721615082345,88.83792090526224,34,((L*R)+L)
GPEDAc,column_2C,1,15,No Implementado,2594,848,7.6394935390210845,1.8494891047622857,3,-0.0881983445842992,1.5287512181260816,2.0553954827616874,86.1290322580645,0.4604838709677419,70.35740012853408,89.10331174468271,92,((L*P)+(L+P))
GPBUMDAc,column_2C,5,15,No Implementado,2616,1896,6.876429942941573,1.2417618690670245,2,-0.3747794970908115,0.5676564019826114,3.0641749367043167,87.74193548387098,0.4669354838709677,74.05243384978614,91.5648503663136,7,L
GPEDAc,column_2C,3,15,No Implementado,2618,1213,11.88824613358238,0.7280883698220945,5,0.15092113955666647,0.9788323656596576,2.050476833141647,87.74193548387096,0.3975806451612903,76.94386291840462,90.51035059128147,9,R
