Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,column_2C,5,E,0.0,86.7741935483871,86.7741935483871,86.7741935483871,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.74193548387098,87.74193548387098,87.74193548387098,0.0,0.8254123052958853,0.6755200122420629,0.5118734509039383,0.42755437129341617,0.3153232009035416,0.09775668788471702,0.15200387852138406,0.07738642354926153,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,0.12770880227310968,0.1547728470985301,
GPBUMDA,column_2C,3,(K_11+G),0.0,86.45161290322581,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.41935483870967,87.41935483870967,87.41935483870967,87.41935483870967,87.41935483870967,87.41935483870967,87.41935483870967,0.0,1.0586848206275976,0.5133234615608601,0.4164837741908761,0.3768672113185576,0.3182059859932678,0.28623407500017495,0.2574878086510608,0.23497783379192083,0.19288891613732717,0.2085476008207293,0.22042874696535583,0.22013953352749027,0.15641070061554688,2.8710259172028036E-14,
GPBUMDA,column_2C,2,(G*H),0.0,86.45161290322581,86.45161290322581,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,87.09677419354838,87.09677419354838,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,87.41935483870968,0.0,0.646345128232103,0.32611620659296137,0.22585344708907937,0.2841490956036767,0.23325436762422916,0.15200387852139075,0.11946064584530859,0.09775668788471692,0.16279741871203038,0.06385440113655494,0.07738642354926499,0.0884024153722084,0.09775668788472115,0.11306767644760249,
GP,column_2C,2,(E+H),0.0,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,0.0,1.8504323537866345,0.4827945015229486,0.3399210289616776,0.2838709677497128,0.24953651105116814,0.19397801778665427,0.22571426690850813,0.26317520070473205,0.24685324476658255,0.16116123867063906,0.16116123867063906,0.21436448678803294,0.20965260397840538,0.12642527702709092,
GPBUMDA,column_2C,4,(G+H),0.0,85.80645161290323,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.12903225806453,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,0.0,0.6749224433827554,0.3797860954036714,0.3831264068193229,0.32350095822996355,0.26996897735310427,0.25814676765224465,0.24245060084476847,0.1870763231242654,0.19123033920786808,0.19343861493247644,0.1871898058906113,0.13498448867654958,0.14293143628401173,0.0,
GPEDA,column_2C,3,(H*G),0.0,86.45161290322581,86.45161290322581,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,0.0,0.8058061933447301,0.41531553391941234,0.34284723240622467,0.2737187540248817,0.24139725075111335,0.2234904267720179,0.15483870967081195,0.20401791355620952,0.20401791356735433,0.15591027064577342,0.12903225807809987,0.14483835047038526,0.1601248212474968,0.16012482125033675,
GPEDA,column_2C,5,(G*(H+H)),0.0,86.12903225806451,86.12903225806451,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,0.0,0.6005200659736228,0.4173151388153991,0.3223224773257588,0.465232422641596,0.44022508669612187,0.42678284925946025,0.3685898543791826,0.3617508585505058,0.31447890597736883,0.3069774774983543,0.22571426690246402,0.14483835047038526,0.08751393530548389,2.86102294921875E-6,
GPEDA,column_2C,4,(H+G),0.0,86.12903225806451,86.12903225806451,86.12903225806453,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,87.41935483870967,87.41935483870967,87.41935483870967,87.41935483870967,87.41935483870967,0.0,0.3533693919335501,0.36404479948209445,0.35897878046197507,0.29593148235006483,0.3349872254402359,0.22349042679440018,0.23297380756621852,0.19311780063319806,0.14483835050178215,0.15483870970018104,0.3500557410699442,0.3922241071875452,0.45363602144395493,0.44995085868571316,
GP,column_2C,5,(G*E),0.0,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.45161290322581,86.7741935483871,86.7741935483871,86.7741935483871,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,87.09677419354838,0.0,3.6655155384108387,0.8062193213854202,0.6206974694604913,0.5836481485372178,0.43870967741765066,0.4026964266920233,0.3566522570598145,0.2885249003245577,0.31500788686308884,0.27188783879385564,0.24139725076995147,0.24139725076995147,0.24139725076995147,0.27371875401657486,
GP,column_2C,3,((G+H)+G),0.0,86.77419354838709,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,86.7741935483871,87.09677419354838,0.0,1.8815717299158725,0.6302799866758437,0.721427651538525,0.607411731403504,0.5080005080014262,0.45619792334733494,0.39770412922565274,0.39770412923022647,0.3761904448369028,0.28736848325378633,0.28736848325378633,0.18519613024486742,0.15803159630508576,0.0875139353002876,
GP,column_2C,1,(G*K_11),0.0,86.45161290322582,87.41935483870968,87.41935483870968,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,87.74193548387098,0.0,3.523927427761469,0.605214936752759,0.43489805280553157,0.41811230312686215,0.3858042938822913,0.4913402003763616,0.4469808535694702,0.4645161290329942,0.5407052087683268,0.41930520798609294,0.43489805281180544,0.39686597417626135,0.3533693919451321,0.35478005381064476,
