Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,column_2C,5,15,No Implementado,2642,2329,5.223706439759982,2.3039652721458834,2,-0.3771932408093578,1.3736411047380157,2.8537243845375513,87.74193548387098,0.4346774193548387,75.45597255198196,89.88958434838915,13,E
GPBUMDAb,column_2C,3,15,No Implementado,2630,1445,9.806935002085266,3.040724411898461,5,-0.16763543930517855,0.8626778581088805,2.192368911485027,87.41935483870967,0.37338709677419357,77.10697139804151,89.35500730196465,75,(K_11+G)
GPBUMDAb,column_2C,2,15,No Implementado,2614,1591,31.148254391803842,1.2789598599946626,3,-0.057223239357945266,1.0279719155615654,3.430834159744101,87.41935483870968,0.34596774193548385,78.08910717182783,90.52631863944441,70,(G*H)
GPb,column_2C,2,15,No Implementado,2612,1895,0.2725072729103779,2.7720230565464643,4,-0.0421207059113049,1.438548801693113,3.600030868610329,87.09677419354838,0.37419354838709673,76.32721615082346,88.25239451123062,50,(E+H)
GPBUMDAb,column_2C,4,15,No Implementado,2632,1321,16.079797468806888,2.195475885432164,3,-0.6241239438112085,0.49688428083246905,3.7945269801766752,86.45161290322581,0.3354838709677419,76.23237269282741,89.90555239655211,206,(G+H)
GPEDAb,column_2C,3,15,No Implementado,2606,1282,19.921550277240563,1.5757885165535361,3,-0.06843249221071941,2.0,2.1198979611891504,87.09677419354838,0.35725806451612907,76.94968615362927,90.96864888596164,47,(H*G)
GPEDAb,column_2C,5,15,No Implementado,2608,533,23.15601465999722,1.875700985558844,1,-0.08962931368814431,2.0,3.796490056710661,87.09677419354838,0.3983870967741935,75.3974354815693,92.06266496231831,50,(G*(H+H))
GPEDAb,column_2C,4,15,No Implementado,2632,1863,0.3498784339508356,0.804777505508556,6,-0.2184385934174047,1.6213210011018795,1.9086605492846194,87.41935483870967,0.4403225806451613,74.44369376648659,88.7676997569574,136,(H+G)
GPb,column_2C,5,15,No Implementado,2630,1866,17.69715439588185,3.088473336132803,1,-0.25962431978877354,1.1793885690403987,2.7768038400619033,87.09677419354838,0.4693548387096775,72.35866470713187,88.73424105907233,15,(G*E)
GPb,column_2C,3,15,No Implementado,2628,2519,0.5961038614852008,0.8539543716301481,5,-0.2020181848732434,0.6547347629980299,1.7539523146982483,87.09677419354838,0.3854838709677419,75.89943326787098,89.81330559664482,84,((G+H)+G)
GPb,column_2C,1,15,No Implementado,2618,661,0.4840231847538057,2.1423845773246057,6,-0.09763283999454164,1.2316526457061974,2.9122365059056126,87.74193548387098,0.42983870967741933,75.65737407302689,89.35500730196466,142,(G*K_11)
GPBUMDAb,column_2C,1,15,No Implementado,2622,2348,15.135419973994027,1.5965643450983462,6,0.07066363408695722,1.191616521305112,1.0176478843892052,88.06451612903226,0.4701612903225806,74.68750751695875,92.68343120521061,38,H
GPEDAb,column_2C,2,15,No Implementado,2614,1293,16.63967755266287,0.8837899041456468,2,0.21816989470433334,0.9063156465255862,2.22152784286567,87.09677419354838,0.55,68.2138107655068,89.40773780054741,21,K_13
GPb,column_2C,4,15,No Implementado,2614,2003,15.810590891912273,1.2997002753247628,3,-0.31941705688117983,1.6162671288190353,3.549754236363988,86.7741935483871,0.31693548387096776,77.61452072060484,90.4401294429766,68,(G*(G*H))
GPEDAb,column_2C,1,15,No Implementado,2632,1606,9.64270804523152,2.784467646849618,4,0.9622984796707568,1.1721046283454113,2.108574908612934,87.09677419354838,0.5653225806451613,67.32497415393486,87.66120012686828,23,H
