Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,cryotherapy,1,((H*G)+L),0.0,91.16271069831441,96.66666666666667,96.72514619883042,96.72514619883042,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,2.138799732069242,1.0986052836040718,1.4225123920390441,1.659153666683969,2.0167593723903874,1.7539176463302724,0.49849416662921525,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,
GPEDA,cryotherapy,1,(L+G),0.0,95.6140350877193,95.6140350877193,95.6140350877193,95.6140350877193,95.6140350877193,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,1.2961699155974815,1.5256327575282687,1.4972591148496348,1.6502540307734854,1.50066758674632,1.265660076160397,0.9397765676920797,0.5232973876713097,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,1.3486991523486091E-6,
GP,cryotherapy,2,(G*H),0.0,95.67251461988305,96.66666666666667,96.66666666666667,96.66666666666667,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,11.71803695466386,1.8965413263632969,1.616777076577731,1.6435739767247124,1.5372947203908316,1.030897105501093,0.7445963267645833,0.757326341177732,0.7557764558269621,0.8836249482413078,0.8678007714725083,0.8675682504177005,0.8348823839860078,0.7684129677763096,
GP,cryotherapy,3,(((H*H)*H)*(H*G)),0.0,94.44444444444444,95.49019607843138,95.49019607843138,96.72514619883042,96.72514619883042,96.72514619883042,96.72514619883042,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,12.219878680930263,1.4200502792871708,1.1323126534356396,0.8689157057046785,1.039358219577196,0.8042287817541852,0.8042287817541852,0.5605755511326107,0.798867332436999,0.7912015195340498,0.6745588122775646,0.5271885221242015,0.7719705880796289,0.7413951270909178,
GPEDA,cryotherapy,5,(H*(H*G)),0.0,94.37908496732027,96.6013071895425,96.6013071895425,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,0.0,1.4872725438039085,1.321610343779025,1.2778085750959562,0.823984488936862,1.4678609568647183,1.3215272930540016,0.9639422703077584,0.7398317263620512,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,
GPBUMDA,cryotherapy,4,((G+P)+((P+L)+((P+L)+(L*G)))),0.0,92.14998280013761,95.29411764705883,95.41795665634676,95.41795665634676,95.41795665634676,95.41795665634676,96.47058823529412,96.47058823529412,96.47058823529412,96.47058823529412,96.47058823529412,96.47058823529412,96.47058823529412,96.47058823529412,0.0,3.410096486393857,1.3747975597987725,1.2206216098571985,1.2141023155686612,1.0404664797924261,1.4108151078269988,0.5281915117743199,0.40851357356925816,0.5312336821129496,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,
GP,cryotherapy,5,G,0.0,94.37908496732027,96.6013071895425,96.6013071895425,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,97.7124183006536,97.7124183006536,97.7124183006536,97.7124183006536,97.7124183006536,98.88888888888889,98.88888888888889,0.0,11.388056293108594,2.1778299624939343,1.959447777727595,1.7552172646174693,1.3529893702092068,1.1310208173236853,0.9048123616762463,0.920597864152624,0.9462926102220495,0.8968943452177203,0.6824799426567746,0.6712675954276375,0.5287584642271349,0.5287584642271349,
GP,cryotherapy,4,(G+(G*(H+L))),0.0,93.0718954248366,95.35947712418302,95.35947712418302,95.35947712418302,95.35947712418302,95.35947712418302,95.41795665634676,95.41795665634676,95.41795665634676,95.41795665634676,95.42483660130719,95.42483660130719,95.42483660130719,95.42483660130719,0.0,10.374508653659563,2.559844019652825,1.578491187652923,1.611917420385699,1.4715399749085007,1.2027098286274742,1.2056545577505913,1.2882229846893885,1.3284061978444999,1.1604738754547788,1.1604738754547788,0.9956871223855709,0.9577164509604035,0.6952357008782236,
GPBUMDA,cryotherapy,5,G,0.0,94.43756449948401,95.60715514275886,97.7124183006536,97.7124183006536,97.7124183006536,97.83625730994153,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,98.88888888888889,0.0,2.9787793318927425,1.6877043792779434,1.6164603840775482,1.0329743850733664,0.8587501047972329,0.9204386504160241,0.8282724931001727,0.9893896290309094,0.28063141018263554,0.3504683345652078,0.39677927537532626,0.4873786510301176,0.5312336821129499,1.1484103668811214E-13,
GP,cryotherapy,1,(G*H),0.0,91.16959064327486,92.28070175438597,93.33333333333333,93.39181286549709,93.39181286549709,94.56140350877193,96.6013071895425,96.66666666666666,96.66666666666666,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,11.028280773104145,1.1753479053710294,0.9844032972702667,0.8313649881074695,0.5545214469004087,0.8411269557821363,1.0022819050170442,1.0022819050170442,1.0022819050170442,0.9136691864673747,1.5667237496212012,1.644481304786102,1.6150129050323032,1.7823999484663444,
