Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAa,cryotherapy,1,15,No Implementado,2600,877,15.324448269552466,2.339794664336508,2,-0.07378725631578426,0.033469908541767346,2.475681604851858,97.77777777777779,0.23065095290157994,96.52415124749893,98.97366596101027,3,((H*G)+L)
GPEDAa,cryotherapy,1,15,No Implementado,2618,1085,14.372876011529634,2.347485924406664,2,-0.09977346620489135,0.27812388072011585,4.610516215022194,97.77777777777779,0.21402233798529383,96.79338093165917,98.97366596101027,0,(L+G)
GPa,cryotherapy,2,15,No Implementado,2604,957,9.558361478163413,2.403781839821074,2,-0.1375268882070415,1.881180012246046,4.727887401184377,97.77777777777779,0.3027643792741227,95.22323821660088,98.85618083164127,3,(G*H)
GPa,cryotherapy,3,15,No Implementado,2612,1518,2.8069065742505117,0.4073346140155225,3,0.1600592396765872,1.4127282871876878,2.302262983784721,97.77777777777779,0.39447445709263185,93.17355093296217,98.97366596101027,15,(((H*H)*H)*(H*G))
GPEDAa,cryotherapy,5,15,No Implementado,2606,695,16.159272011852572,3.6360474959456806,2,-0.03522245509315025,0.7114430980933882,2.723532539752849,98.88888888888889,0.3139515938859948,95.42745905495961,100.0,6,(H*(H*G))
GPBUMDAa,cryotherapy,4,15,No Implementado,2608,1240,24.672724147293476,1.5203072929946002,3,0.06051656136751711,0.8489250328565184,1.0145808987862162,96.47058823529412,0.2696952644328682,94.98062144052585,97.63834207376394,15,((G+P)+((P+L)+((P+L)+(L*G))))
GPa,cryotherapy,5,15,No Implementado,2600,2333,15.764584909431537,0.3880079121980657,3,-0.020291239019639917,1.3150324409227665,0.4910548289699257,98.88888888888889,0.28617167234763224,95.96580587085832,100.0,0,G
GPa,cryotherapy,4,15,No Implementado,2642,2046,30.702071870729156,2.3610430660684667,6,0.09523798625619828,1.6028984891819045,2.5561550595616516,95.42483660130719,0.3001366647372821,93.39548292074288,98.85618083164127,37,(G+(G*(H+L)))
GPBUMDAa,cryotherapy,5,15,No Implementado,2600,1247,16.8312106423534,2.4263793962495597,3,-0.02765335874139544,1.180034022531523,3.7764664948607063,98.88888888888889,0.29168917615280726,95.86195547148336,100.0,3,G
GPa,cryotherapy,1,15,No Implementado,2618,1862,13.227125552293334,2.2481120618077797,2,-0.07841548816503296,0.6329496554344513,1.0912760673114192,97.77777777777779,0.280656312303042,95.64701573325178,98.85618083164127,3,(G*H)
GPEDAa,cryotherapy,3,15,No Implementado,2618,1140,24.70434803774058,1.6223109354016805,4,0.23571618578986908,0.591051173610358,1.769801872908244,97.77777777777779,0.29998552961605246,95.27782433996397,98.97366596101027,31,((H*G)+((H*G)+(L*G)))
GPBUMDAa,cryotherapy,3,15,No Implementado,2604,269,22.09457977723928,4.0,5,0.31809596168118276,1.3740374691420274,2.8208439221952246,97.77777777777779,0.3278024310245032,94.71322069634523,98.97366596101027,18,(H*(G+H))
GPEDAa,cryotherapy,4,15,No Implementado,2618,1318,30.199699367751652,3.5031712524731713,4,0.5565948954620314,1.6451500966500112,3.458069221977837,96.47058823529412,0.3335503890925461,93.68025104062558,97.63834207376394,18,(G*(G+H))
GPEDAa,cryotherapy,2,15,No Implementado,2626,1678,28.774431268565053,2.8902897631994344,4,0.9785136023442326,0.6388858183375348,1.0580838389498692,97.77777777777779,0.35558342444315816,94.10608647914322,98.97366596101027,28,(G+(G+(G+G)))
GPBUMDAa,cryotherapy,2,15,No Implementado,2600,706,12.361726879871377,3.202092630781433,5,0.9374484832917066,0.5810704138496519,3.8473903633847333,96.72514619883042,0.3861802473899715,92.65245446554673,97.94733192202054,3,(G*H)
