Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,cryotherapy,1,(R+L),0.0,94.37220502235984,94.37220502235984,95.54867561059513,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,95.60715514275886,0.0,14.350258633712766,1.062822003037404,0.772269994158518,0.4848040197301542,0.6555782551483005,0.3316171724314752,0.3316171724314752,0.3316171724314752,0.3316171724314752,0.39431686560119467,0.5092134641875729,0.5657871309506933,0.5606753474659315,0.5606753474659315,
GPEDA,cryotherapy,1,((R+L)+P),0.0,94.49604403164776,94.49604403164776,94.49604403164776,95.54867561059513,95.60715514275886,95.60715514275886,95.60715514275886,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,0.0,1.2612779710641524,0.7437866972623994,0.5359472708173736,0.04967186847988376,0.30890857869745414,0.4185251873209264,0.48090478656754454,0.5438986340827782,0.2855717887703441,0.4210526315852061,0.525894568287288,0.4210526315722458,0.0,0.0,
GPBUMDA,cryotherapy,1,(R+L),0.0,94.43068455452357,94.43068455452357,94.43068455452357,94.43068455452357,94.49604403164776,94.49604403164776,94.49604403164776,94.49604403164776,95.54867561059513,95.54867561059513,95.54867561059513,95.54867561059513,95.60715514275886,95.60715514275886,0.0,1.8322422202513815,0.8727085749886538,0.7137074518358827,0.5298761160313012,0.48377198460377785,0.031773934635175576,0.03554708824523409,0.03860664856754069,0.0411770995035898,0.23009068176798525,0.27655539564448267,0.3457333524008609,0.395396358836836,0.48144664170593576,
GP,cryotherapy,2,(L+(R*R)),0.0,91.22119023047817,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,93.32645338837291,0.0,13.535854760544028,1.0001618087983346,0.9289807451228781,0.8304358158750599,0.7552197531506283,0.767472511302998,0.7660595505877215,0.5008713335595474,0.5008713335595474,0.49540965959849853,0.5232973876730477,0.5245506462924316,0.5052631578912311,1.3486991523486091E-6,
GPBUMDA,cryotherapy,2,(L+R),0.0,92.21534227726178,92.27382180942553,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,94.37908496732027,0.0,2.258091214238128,0.8932214267156791,0.4183487806795583,0.8537577571461871,0.6987533082115336,0.34553756754034193,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,
GPEDA,cryotherapy,5,((((L+R)+((((L*L)*(L+R))+L)+((L*L)*(L+R))))+L)+(R+L)),0.0,90.0515995872033,90.0515995872033,91.16271069831441,91.16271069831441,91.16271069831441,91.16271069831441,92.27382180942553,92.27382180942553,92.27382180942553,92.27382180942553,92.27382180942553,92.27382180942553,93.26797385620915,93.26797385620915,0.0,1.2407314639661327,0.8441843745449468,0.5417300990641414,0.687860654328241,0.48576823739857944,0.5345110666720687,0.464742191759589,0.30143688815742564,0.4918625810283246,0.4059406335451923,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,0.2697066893985852,
GPEDA,cryotherapy,3,(L+R),0.0,90.16855865153079,90.16855865153079,91.22119023047817,91.22119023047817,91.34502923976609,91.34502923976609,91.34502923976609,91.34502923976609,91.34502923976609,92.39078087375302,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,0.0,0.5464370200756631,0.0528895517341999,0.06066847659871166,0.30039721144516757,0.38590111115326603,0.534527891860615,0.46429779433506496,0.05763636682205133,0.05717395709663987,0.049835882405667296,0.2922496964887401,0.4020877635758011,0.5266140877081622,0.5099312728469556,
GP,cryotherapy,3,((P+L)+R),0.0,91.2796697626419,91.2796697626419,91.2796697626419,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,92.45614035087719,0.0,15.081569724617282,0.49501237936084996,0.23035576334943944,0.3809930894311659,0.7027859702336611,0.7027859702336611,0.7027859702336611,0.7510996204176102,0.6121110809848649,0.4909717687211795,0.4909717687211795,0.4909717687211795,0.4909717687211795,0.5140081609356507,
GPBUMDA,cryotherapy,3,(R+L),0.0,90.16855865153079,91.34502923976609,92.45614035087719,92.45614035087719,92.51461988304094,93.5672514619883,93.5672514619883,93.5672514619883,93.5672514619883,93.5672514619883,93.5672514619883,93.5672514619883,93.5672514619883,93.5672514619883,0.0,1.0101323593140468,0.04609054435507494,0.3915899568907501,0.6269560789896221,0.7300936509589828,0.5341931361163981,0.6317254558958375,0.6051283593184726,0.41596555380562505,0.5573321692177963,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,
GPEDA,cryotherapy,4,(R+(L+(R+L))),0.0,93.26109391124871,93.26109391124871,93.26109391124871,93.26109391124871,93.26109391124871,93.26109391124871,94.43756449948401,94.43756449948401,94.43756449948401,94.43756449948401,94.43756449948401,94.43756449948401,94.43756449948401,94.43756449948401,0.0,1.1805215742937962,1.058626446917851,0.5415798282476247,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,0.3191684697884536,0.38230768961981804,0.43130124186832525,0.5024507412683195,0.542069811222048,0.5707675317836604,0.5788781601301864,
