Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPc,cryotherapy,1,15,No Implementado,2612,775,0.4622033550602893,2.3630850349997767,5,0.3543023202893021,1.8266231109950566,1.8274507965574005,95.60715514275886,0.4974119450339787,88.1329040764857,96.8622097810086,0,(R+L)
GPEDAc,cryotherapy,1,15,No Implementado,2628,1572,0.6782930951282052,1.1946989534430554,4,-0.4666132650403208,1.1524317378085525,1.9440585912035335,96.65978672170624,0.4555877119643278,90.6507722845788,97.94733192202054,3,((R+L)+P)
GPBUMDAc,cryotherapy,1,15,No Implementado,2590,2320,0.8053552338312633,0.8495027515427513,3,0.0733674620468264,1.625392021556566,2.5899156860090757,95.60715514275886,0.4416586275644736,89.99888077264289,97.94733192202054,0,(R+L)
GPc,cryotherapy,2,15,No Implementado,2598,325,7.201973940719455,0.42680139565632524,4,-0.556581849005495,0.6609839243623113,1.5972879496649406,93.32645338837291,0.36681297832658044,89.04414920192391,96.6860276242928,3,(L+(R*R))
GPBUMDAc,cryotherapy,2,15,No Implementado,2618,562,5.777827458200677,0.521233978522174,3,-0.20632618167948472,1.3110547358830504,2.2137123316553953,94.37908496732027,0.3529219456771068,90.92764846505487,97.71236166328254,3,(L+R)
GPEDAc,cryotherapy,5,15,No Implementado,2620,2345,8.706272008689629,3.4964916107088673,6,0.07838877039059086,1.2036535574898493,3.3312806128937766,93.26797385620915,0.4666291508564324,85.80192273147425,96.86220978100859,28,((((L+R)+((((L*L)*(L+R))+L)+((L*L)*(L+R))))+L)+(R+L))
GPEDAc,cryotherapy,3,15,No Implementado,2616,2076,6.799950365346681,0.12742548554335262,3,0.3701965577346905,0.8052331487542883,0.8675316192131677,92.45614035087719,0.31094121808476427,89.12650131141447,94.46559934583993,34,(L+R)
GPc,cryotherapy,3,15,No Implementado,2616,703,2.2159098020989596,0.2978204303661491,3,0.5209321978095489,0.37660821195610494,3.891085713757574,92.45614035087719,0.34990942611529147,88.10268143786718,94.46559934583993,3,((P+L)+R)
GPBUMDAc,cryotherapy,3,15,No Implementado,2592,1124,9.43316820452498,0.10811583967059787,4,-0.8483776899184262,0.9460535106612403,0.5028746978674593,93.5672514619883,0.3054237142795893,90.95805384565877,94.46559934583993,0,(R+L)
GPEDAc,cryotherapy,4,15,No Implementado,2618,1381,23.75544909243185,3.5860125479336165,2,0.2524668736959419,1.0678150646108793,0.846923374508894,94.43756449948401,0.5224564280661136,85.55397180667937,97.82984679265154,15,(R+(L+(R+L)))
GPBUMDAc,cryotherapy,4,15,No Implementado,2608,27,22.90746872408722,3.171427785488977,1,-0.695027265053306,0.6760150226274405,0.3222059823802964,93.26109391124871,0.49745428430552874,84.62305299115685,96.61200803477422,0,(R+(L+P))
GPc,cryotherapy,4,15,No Implementado,2612,380,0.7255930016112551,0.7583475088358829,3,0.530380753924617,0.6252770718604596,4.041986521517193,94.37220502235982,0.4417781422170772,88.38803762929172,96.61200803477422,0,(R+L)
GPEDAc,cryotherapy,2,15,No Implementado,2594,1085,5.4041469330407645,0.5091908165972738,5,0.32384408436306006,0.6103338163792508,4.321982498780499,94.37908496732027,0.3500669925182755,90.99940226134319,97.71236166328254,12,(R+L)
GPBUMDAc,cryotherapy,5,15,No Implementado,2618,720,7.088222306478697,0.8575948093152189,6,0.3048992472142536,1.842769911975887,1.8155084581951642,92.14310285517715,0.3470207087272493,87.64984970994303,95.52688589376226,37,(R+L)
GPc,cryotherapy,5,15,No Implementado,2620,1789,0.12771911674244407,2.8240519057507196,2,0.04197751702132746,1.3411082033233577,0.9084344717353199,92.27382180942553,0.5054028126138872,82.46761590370832,95.83587574201886,6,(L*(L*(R+L)))
