Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,cryotherapy,1,G,0.0,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,96.65978672170624,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,0.0,1.4537016005404766,1.0648862819615335,1.1546565201827037,0.5074052648246782,0.3949088407212443,0.0,0.0,0.31916846979130314,0.38230768963171285,0.43130124187676017,0.4705882352935626,0.5282339840116634,0.5647058823522106,0.5763505277137981,
GP,cryotherapy,1,(H*G),0.0,95.61403508771932,95.61403508771932,95.61403508771932,96.65978672170624,96.65978672170624,96.65978672170624,97.77089783281734,97.77089783281734,97.77089783281734,97.77089783281734,97.77089783281734,97.77089783281734,97.77089783281734,97.77089783281734,0.0,9.244991890966356,1.8158349976006494,1.49996401613932,0.9693019653019532,0.9759521813113807,0.959355925699431,0.8606621408720304,0.8512219346633692,0.756364214856656,0.618203754907375,0.6919985855678199,0.7434263128997705,0.7434263128997705,0.7231015260601814,
GPEDA,cryotherapy,5,(H+G),0.0,94.44444444444444,94.49604403164776,94.50292397660819,95.55555555555556,95.55555555555556,95.55555555555556,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,0.0,2.04152703134571,0.8373223044250855,0.5174276660788488,0.5435918658734693,0.5568432796340191,0.47163515593856814,0.39179807243544584,0.5258592847712945,0.21417187995056397,0.054308178091623784,0.05575455778836009,0.057742374244828316,0.05659046436379327,0.04364293506710258,
GP,cryotherapy,2,(((((G+G)+H)+(G+G))+H)+(H*G)),0.0,96.72514619883042,96.72514619883042,96.78362573099415,96.78362573099415,96.78362573099415,96.78362573099415,96.78362573099415,96.78362573099415,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,8.806790117385228,2.686917680790028,1.994094337251029,1.4890885484092262,1.193437461460703,0.7232573021633436,0.6964713417980518,0.47268828954520287,0.48723523455971873,0.598665913078741,0.598665913078741,0.6558223369565112,0.4573323755748042,0.3903700413664929,
GP,cryotherapy,5,(G+H),0.0,94.49604403164776,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,95.67251461988305,0.0,8.863065274063283,2.0496403637304565,1.1315518575884722,0.9706983173163861,1.0779391850671112,1.070658829665612,0.8993255630487724,0.7638979332126221,0.5983741862769204,0.5466929117920023,0.4966319614650362,0.40558932180275087,0.06576737994941616,0.058966546929187784,
GPBUMDA,cryotherapy,1,(((((H*(H*H))*(H*H))*H)*H)*H),0.0,94.36532507739938,95.60715514275886,96.65978672170624,96.65978672170624,96.65978672170624,96.78362573099415,96.78362573099415,96.78362573099415,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,97.83625730994153,0.0,2.3640339163373176,0.9738588288886839,0.810671225198796,0.6979098770687308,0.3555267295065257,0.5242003825608488,0.02451376390381243,0.02970871987649275,0.03393776936889132,0.23331042674509386,0.28136652973985266,0.35107507526538506,0.4586378263751059,0.5156488458858794,
GPEDA,cryotherapy,4,((H*H)*H),0.0,92.39766081871346,92.39766081871346,92.39766081871346,92.39766081871346,93.39181286549709,93.39181286549709,93.39181286549709,93.39181286549709,93.39181286549709,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,0.0,1.8305296503124568,0.9351330928570519,0.4811900592699871,0.3207028616424,0.0710314252616366,0.38211083003247087,0.46374822086266887,0.4934840981866018,0.46374822086855244,0.2697066893918409,0.2855717887671593,0.47263040675457,0.525894568287288,1.9073486328125E-6,
GPBUMDA,cryotherapy,2,(((G+H)+(G*H))+(H*G)),0.0,96.72514619883042,96.72514619883042,96.72514619883042,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,3.666267134609849,1.5155558254042358,1.4427607463850094,0.5444604830514064,0.4895158312988346,0.2525241189502294,0.2884710396356232,0.368957681039539,0.4253273437791318,0.46640784471626223,0.5278173529015185,0.5103928125349578,0.14886457032269607,4.3065388758042057E-14,
GPEDA,cryotherapy,2,((G+G)+((G+H)+(((H*H)*G)+(H*G)))),0.0,96.72514619883042,96.72514619883042,96.72514619883042,96.78362573099415,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,97.77777777777779,0.0,2.2424561289423806,1.5248466646299759,1.2738996750890563,0.7017432700499641,0.5152893041042946,0.3483260079791192,0.41965981458975954,0.44478903231861316,0.4819508252175953,0.5009126105895555,0.5042875571370985,0.47719298244843517,0.3230611763203095,1.3486991523486091E-6,
GP,cryotherapy,4,(H+(H+G)),0.0,92.28070175438596,92.39766081871345,93.39181286549709,93.39181286549709,93.39181286549709,93.39181286549709,93.45029239766082,94.50292397660819,94.50292397660819,94.50292397660819,94.50292397660819,94.50292397660819,94.50292397660819,94.50292397660819,0.0,10.200779107758075,2.363053300424938,1.261234842783438,1.1543181742039585,1.0287227757731259,0.6793156899676025,0.5747674186587216,0.29723738262706834,0.5918288454384055,0.5985678641966863,0.5985678641966863,0.6946228483195378,0.6087264884931183,0.571884498551495,
