Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAb,cryotherapy,1,15,No Implementado,2612,1215,28.413364138409605,1.8049577233974212,3,-0.008599876789778832,1.1475128487855837,3.0219348949085583,97.83625730994153,0.27486601496344887,95.78380033693946,98.97366596101027,3,G
GPb,cryotherapy,1,15,No Implementado,2598,1324,11.931026314246825,1.3224130403292838,2,-0.0592289842217244,1.172034588490105,2.001166066774609,97.77089783281734,0.2971675563273094,95.32918938657997,98.85618083164127,3,(H*G)
GPEDAb,cryotherapy,5,15,No Implementado,2610,1274,22.484670273426133,0.9658893420284655,2,0.7814577143794541,0.7906246477434076,2.8392084502001564,95.67251461988305,0.3222088237185671,93.17818911532356,96.8622097810086,3,(H+G)
GPb,cryotherapy,2,15,No Implementado,2606,1708,18.455769595090135,1.0048542458410306,5,0.7296098688352695,1.975615951237846,3.092935257741349,97.77777777777779,0.33880045876476517,94.47830605502247,98.97366596101027,56,(((((G+G)+H)+(G+G))+H)+(H*G))
GPb,cryotherapy,5,15,No Implementado,2596,367,30.28025544054141,1.9236100074620044,2,0.9736092021466491,1.5022955528303146,3.8976089396580704,95.67251461988305,0.3167674234141531,93.29736416343897,96.8622097810086,3,(G+H)
GPBUMDAb,cryotherapy,1,15,No Implementado,2634,1701,28.106612475009985,1.2951146965103173,5,-0.239009753640389,1.789543349158219,1.4172900535134016,97.83625730994153,0.37221096747915194,93.75146439521662,98.97366596101027,31,(((((H*(H*H))*(H*H))*H)*H)*H)
GPEDAb,cryotherapy,4,15,No Implementado,2608,1920,29.556700987864428,2.511857620821987,4,-0.5814772429352538,1.2564217294530384,4.15895361331603,94.44444444444444,0.32228707097991294,91.75544196277696,95.71839061264986,6,((H*H)*H)
GPBUMDAb,cryotherapy,2,15,No Implementado,2618,718,19.25323429215038,4.0,5,0.6431736579621017,1.3556197977052784,2.4406033399447593,97.77777777777779,0.34157823654254293,94.41786715679595,98.97366596101027,68,(((G+H)+(G*H))+(H*G))
GPEDAb,cryotherapy,2,15,No Implementado,2602,900,13.379607024233122,3.501434691214352,5,0.6904854786100212,1.6811070313360734,1.953096383018463,97.77777777777779,0.33598355735631447,94.53913555331559,98.97366596101027,81,((G+G)+((G+H)+(((H*H)*G)+(H*G))))
GPb,cryotherapy,4,15,No Implementado,2630,1488,27.54920700964172,0.8699503140994347,2,0.8836515880066762,0.40195744051391985,2.5542102066659194,94.50292397660819,0.31098248547602203,92.08893392067415,95.83587574201886,6,(H+(H+G))
GPBUMDAb,cryotherapy,3,15,No Implementado,2608,1516,25.310101738021867,2.218529626490227,4,0.9993496801219879,0.960537580530537,2.0651348851796096,96.78362573099415,0.3553486826591207,93.44585682665866,97.88854381999832,6,(H*G)
GPEDAb,cryotherapy,3,15,No Implementado,2618,942,28.64673980516454,1.6766738076286554,4,0.8170958058148098,1.6524364533760743,1.884627871892186,95.67251461988305,0.33601839346581774,92.86822102199488,96.8622097810086,9,(H*G)
GPb,cryotherapy,3,15,No Implementado,2586,349,30.753621066651835,2.3745061957267235,2,0.6692593119343941,1.6098340827471151,2.005875681854397,95.67251461988305,0.34701749308637214,92.61331579810948,96.8622097810086,9,(G*G)
GPBUMDAb,cryotherapy,4,15,No Implementado,2590,2456,30.086979211825014,1.8499135893361953,2,1.0,0.901810505907638,1.540404699563791,94.56140350877193,0.30835905846035117,92.22109256003188,95.83587574201886,6,(G+(G+H))
GPBUMDAb,cryotherapy,5,15,No Implementado,2586,642,16.430028295103284,3.124788487013871,4,0.9280719726752743,1.1943261066932116,1.0013678101548524,95.55555555555556,0.43340568525307094,90.18957089788114,96.86220978100859,10,G
