Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,diabetes,1,H,0.0,77.73448773448771,77.99253034547152,78.25481707834649,79.67744673627026,79.82514217808334,79.94143111790171,79.94143111790171,79.94143111790171,79.94143111790171,79.94143111790171,79.94143111790171,79.94143111790171,80.47873694932518,80.47873694932518,0.0,1.0838460742980967,0.6867482226807036,0.27465281256279167,0.2747320661311552,0.4102716408616973,0.46500339163153853,0.5843989610689763,0.6301420101278566,0.6478752779980681,0.6545509964185817,0.6955217456148739,0.7148654156553446,0.7213187725531575,0.7147149963279925,
GPEDA,diabetes,2,(L+(R*P)),0.0,77.61055937526525,77.61055937526525,77.61055937526525,78.00356506238859,78.00356506238859,78.00356506238859,78.00356506238859,78.39657074951192,78.39657074951192,78.39657074951192,78.39657074951192,79.57134368899074,79.57134368899074,79.57134368899074,0.0,1.2209368414569481,0.4334070344219019,0.3923749330677207,0.32939300639000346,0.32215049080692226,0.31662756981887674,0.23499247283177144,0.19300080645144185,0.24036200550977996,0.23982528181765075,0.22049620954745155,0.21405014910684944,0.4317599934680072,0.5032976914256526,
GP,diabetes,2,L,0.0,77.34317969612087,77.34317969612087,77.47899159663866,77.47899159663866,77.73363891010949,77.73363891010949,77.73363891010949,78.13683048977168,78.39402427637722,78.39402427637722,78.39402427637722,78.39402427637722,78.39402427637722,78.39402427637722,0.0,3.654101918657413,1.4730994108992612,0.8612520639444695,0.23240557261074507,0.13885500795565847,0.11063459068730747,0.17249189404475826,0.16869640844724967,0.27417741996413453,0.43501878351720896,0.43045521879788284,0.43045521879788284,0.4160725413593867,0.455725706117837,
GPBUMDA,diabetes,2,H,0.0,78.64103217044394,78.64103217044394,78.64103217044394,78.64103217044394,78.64103217044394,78.64103217044394,81.24098124098124,81.24098124098124,81.24098124098124,81.24098124098124,81.24098124098124,81.24098124098124,81.24098124098124,81.24098124098124,0.0,1.9416639385760288,0.9752979397759031,0.5702970981648456,0.6804041474955701,0.6317393622447742,0.5886626715647046,0.5808502370747024,0.913611225942711,1.0067020687313843,1.1831821031712413,1.3458242560263143,1.3513666603191121,1.4220831729229044,1.3602452957792248,
GPEDA,diabetes,4,(P+H),0.0,77.35166793990324,77.87029963500552,77.87029963500552,77.87029963500552,77.87029963500552,78.00101858925387,78.00101858925387,78.00101858925389,78.13088871912402,78.13088871912402,78.26160767337237,78.26160767337237,78.39232662762075,78.39317545199899,0.0,1.707848064771869,1.0246385156442746,0.49066789326548216,0.19077177564833234,0.13488520099687654,0.09000155610679116,0.08131291677441398,0.0724135534936249,0.05586699744605501,0.08328751310014904,0.08134417190733696,0.07991562471338126,0.09015403004111669,0.12705499088443034,
GP,diabetes,5,H,0.0,78.2641541465071,78.2641541465071,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,80.47619047619047,0.0,6.6433638701437845,2.009041046750513,0.8090308373447636,0.41042079947945354,0.6744763372116556,0.8015518053638363,0.8114783033000068,0.8786501564280648,0.8589407086458274,0.8358812369479455,0.8237078369831025,0.9474714767942672,0.9474714767942672,0.9406282104244063,
GPEDA,diabetes,3,H,0.0,76.8245480010186,76.95272048213226,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,80.09082420847128,0.0,0.9173676218703471,0.43832803817962895,0.25227305913667414,0.870943383326188,1.0574005609064892,1.091313791733932,0.9937399857439633,1.0174189899045212,1.0143017172828248,0.9773814316338875,0.8531951207994353,0.695049163703114,0.5979692912025839,0.3339890429835069,
GPBUMDA,diabetes,4,G,0.0,77.994227994228,78.13258636788049,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,79.16730328495035,0.0,2.309235235098078,1.8063700325620478,0.6341416631424559,0.388019372821252,0.36378856876390914,0.3636668967655425,0.3731127393535342,0.39466052274957786,0.4281987405788503,0.44826826658157276,0.47923057254231505,0.49259765256857907,0.5343178783568885,0.5531246159171126,
GPEDA,diabetes,1,H,0.0,78.12324929971989,78.12324929971989,78.12494694847636,78.91180714710126,80.46260928613869,80.72659366777012,80.72659366777012,80.72659366777012,80.72659366777012,80.72659366777012,80.72659366777012,80.72659366777012,80.72659366777012,80.72659366777012,0.0,0.7072099119766199,0.38455164812813575,0.21017880551314078,0.08738327020122322,0.22414643301640158,0.6986030699247994,0.9027148022604063,0.9013017862006136,0.916481557763047,0.8594316768238153,0.6983120999102744,0.5758207867434548,0.38129939963433696,0.15299234705681983,
GP,diabetes,1,H,0.0,77.86350903997962,78.38553603259486,78.38553603259486,78.38553603259486,78.51455733808675,79.28953399541635,79.28953399541635,79.28953399541635,79.28953399541635,79.28953399541635,79.9414311179017,79.9414311179017,79.9414311179017,79.9414311179017,0.0,3.6827722490060135,0.8887292488798813,0.47150347052830577,0.24767254582604117,0.3172771545893563,0.3529128811894767,0.3104089469082439,0.2298742896402714,0.31242518923160545,0.2927092582706543,0.3352534645081385,0.3308413612542683,0.34876592239540344,0.37901822476371866,
