Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAa,diabetes,1,15,No Implementado,2624,2469,12.130115814317648,1.7140338377633804,2,0.24837506014047286,1.9930657948954271,0.14401670116288923,80.47873694932518,0.5234400572018749,52.456070251612985,74.17104226588602,84,H
GPEDAa,diabetes,2,15,No Implementado,2636,2150,19.490725263784803,2.271819969903843,6,0.6371653822158194,0.2532786795289494,1.833965672985823,79.57134368899074,0.5227870024628586,50.203700822104395,75.02795825716298,278,(L+(R*P))
GPa,diabetes,2,15,No Implementado,2600,1723,9.20382878977809,1.2176191047570137,3,0.2935897999079182,0.25170590849515934,2.9545989938619197,78.39402427637722,0.5231132650088716,47.27623343146,75.01216347034027,82,L
GPBUMDAa,diabetes,2,15,No Implementado,2616,1376,3.048693176087678,1.4378855073790404,4,0.5925658746112787,0.3388483338892008,2.2093985721105467,81.24098124098124,0.5657562034903737,51.84613448611669,76.09819209912942,279,H
GPEDAa,diabetes,4,15,No Implementado,2594,2609,6.541609843826838,0.9144699323340092,3,0.2680583728041391,0.8791339391833003,2.2744337728960007,78.39317545199899,0.538081088954212,46.396134425152646,72.14001232355687,238,(P+H)
GPa,diabetes,5,15,No Implementado,2582,620,5.40745298220731,3.08744429893774,4,0.1939846465839805,0.34184254566496974,3.6336006560754033,80.47619047619047,0.5452530388496066,51.153977380181246,74.82000785572197,269,H
GPEDAa,diabetes,3,15,No Implementado,2588,568,19.353418121308135,1.0766046704230257,4,0.39066932590924586,1.5913635243779036,2.703099606863504,80.09082420847128,0.4319085829294774,56.38533211599898,64.01876411509105,17155,H
GPBUMDAa,diabetes,4,15,No Implementado,2614,540,1.2234255428715155,0.8959345978144089,3,0.3573214203789356,1.9684187543896532,1.4981908894604914,79.16730328495035,0.5943883901379731,44.76566438700903,71.78375533417264,627,G
GPEDAa,diabetes,1,15,No Implementado,2632,1177,13.38641411069599,2.457198813783167,2,-0.06662274330896148,0.922669488470923,0.7860661102740369,80.72659366777012,0.5227880617568392,53.12602780848194,76.51892250206738,90,H
GPa,diabetes,1,15,No Implementado,2618,2124,15.238741883164021,2.9998764886449054,4,-0.6193605314668842,1.8005809505600554,4.912328858791055,79.9414311179017,0.5218129816477319,51.18972542961634,73.74877597799545,243,H
GPBUMDAa,diabetes,3,15,No Implementado,2606,1253,6.331913784051279,1.016096502295213,4,0.08620598350621425,0.5925632022896706,2.426320124163247,80.98208980561921,0.5403617488943618,52.74271600611596,75.68423775484528,255,H
GPEDAa,diabetes,5,15,No Implementado,2604,1416,9.516865073579602,1.9646920775217098,2,0.1331391503959062,0.6220617600894633,2.537131072382885,80.60860707919531,0.5169344032202536,53.163093913492496,74.92361041853465,234,(H+H)
GPa,diabetes,4,15,No Implementado,2626,704,14.162357776927532,0.24532136142392283,4,0.6905550429950154,0.20162509683605076,2.1895276416865253,80.46515575927342,0.5211509229098806,52.55443390586251,75.81793667957145,268,H
GPa,diabetes,3,15,No Implementado,2634,687,31.97311865950467,3.404330150736829,1,0.07328365772918022,0.5519348162533076,4.546546475097632,79.67744673627026,0.5087926696856545,51.272985473451804,74.45537228244098,275,(L+H)
GPBUMDAa,diabetes,5,15,No Implementado,2596,1758,15.795686807683005,2.8768948125910354,4,0.2727988170682816,0.8112238124594767,1.0E-4,80.0746965452848,0.4996996901565106,52.78402771279026,77.37850435657965,7564,H
