Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,diabetes,2,(L*L),0.0,77.86011374246668,78.25057295645531,78.25057295645531,78.25057295645531,78.25057295645531,78.25057295645531,78.25057295645531,78.25057295645531,82.01680672268907,82.01680672268907,82.01680672268907,82.01680672268907,82.01680672268907,82.01680672268907,0.0,1.8504727583392575,0.07450093385603616,0.14828707370216374,0.16021566844605006,0.12072783614272757,0.06214520413897114,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,0.7455208652176861,0.930825731975216,1.053452772622833,1.173723166124637,1.3364666381199453,
GP,diabetes,4,L,0.0,76.829640947288,76.829640947288,76.95781342840166,76.95781342840166,76.95781342840166,76.95781342840166,77.21500721500722,77.21500721500722,77.350819115525,78.25651472710295,78.25651472710295,78.25651472710295,78.25651472710295,78.25651472710295,0.0,4.472146960557475,0.6030976894760628,0.12046147137638463,0.11144526073595634,0.11144526073595634,0.09979133468591356,0.09935312363808643,0.09929779625720343,0.09929779625720343,0.1524188875308588,0.14210648534985304,0.3300528458184196,0.4199671973122154,0.42309301341923666,
GPEDA,diabetes,2,(L+P),0.0,77.7293947882183,77.7293947882183,77.7293947882183,77.85926491808843,78.24887530769884,78.38298955946013,78.38298955946013,78.38298955946013,78.38298955946013,78.50861556743908,78.50861556743908,78.50861556743908,78.50861556743908,78.50861556743908,0.0,0.1616957674471107,0.06446583712502428,1.3486991523486091E-6,1.3486991523486091E-6,0.03523288302415354,0.14264446979641973,0.22565974878474693,0.24334242950098528,0.2631490855214802,0.2622368227401649,0.28193381957798813,0.2196585777528973,0.168216128747005,0.14651830392663967,
GPEDA,diabetes,4,(L+(R*R)),0.0,77.08598590951533,77.08598590951533,77.08598590951533,77.08598590951533,77.08598590951533,77.73703420762244,77.73703420762244,77.73703420762244,77.73703420762244,77.73703420762244,77.73703420762244,77.73958068075714,77.73958068075714,77.73958068075714,0.0,0.25250902247217766,0.17542029269825837,0.1673030084618398,0.19722530707685923,0.1979686323610456,0.1634618022881248,0.2456136395828777,0.2808256381648626,0.3094036391950599,0.29683882456847427,0.2900894706575864,0.2945424486808098,0.22061308698438256,0.09668687807297502,
GP,diabetes,3,L,0.0,78.11985400220694,78.11985400220694,78.11985400220694,78.11985400220694,78.11985400220694,78.11985400220694,78.11985400220694,78.11985400220695,78.11985400220695,78.11985400220695,78.11985400220695,78.11985400220695,78.11985400220695,79.02894491129784,0.0,5.677920896169326,0.06527203162455199,0.047611176084090774,0.11631161425122204,0.14365436772204887,0.1554403542256709,0.155595657180312,0.155595657180312,0.155595657180312,0.155595657180312,0.155595657180312,0.155595657180312,0.155595657180312,0.155595657180312,
GPEDA,diabetes,1,(P+L),0.0,77.73788303200067,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.99847211611919,77.99847211611919,0.0,0.1258569695281389,0.1500392919523641,0.14998730509057442,0.17022043619077365,0.16364964186496722,0.12970969726500614,0.06513678067775551,0.06253391449244841,0.055469394344898,0.05189783052333101,0.03520391430078953,2.7583453150669166E-4,2.3360154559928683E-6,0.07046576602249328,
GPBUMDA,diabetes,1,(L+(P+L)),0.0,77.60801290213055,77.60801290213055,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,80.48637636872931,80.48637636872931,80.48637636872931,80.48637636872931,80.48637636872931,80.48637636872931,80.48637636872931,80.48637636872931,0.0,2.0460867683732222,0.12601087504623082,0.09460224892883112,0.11771830053465776,0.13918785366885503,0.14584816520829727,0.14903045280803912,0.5807048032845585,0.6853042854598854,0.7807347805140687,0.8602315964125311,1.041949361127127,1.1286706636308093,1.2835365069201292,
GP,diabetes,1,(P+L),0.0,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,77.73873185637892,0.0,4.646919385672327,0.25701493903375605,0.11104569538717385,0.13760257409868357,0.1144296564601191,0.1144296564601191,0.1277762106934737,0.1508375737430925,0.10917355164351043,0.10917355164351043,0.10917355164351043,0.10917355164351043,0.10917355164351043,0.06390108678959287,
GP,diabetes,2,L,0.0,77.7293947882183,77.7293947882183,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,79.03658433070197,0.0,4.716261576211017,0.21527202120205435,0.06362311021662548,0.2561557900978268,0.2561557900978268,0.2561557900978268,0.35463163310383844,0.5171952354025072,0.5780883100798537,0.6365802063120914,0.5827375600451743,0.48974843290544745,0.44714741042769524,0.44714741042769524,
GPEDA,diabetes,3,L,0.0,77.73109243697478,77.86181139122314,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,78.89907478142773,0.0,0.07504679787879741,0.03546316337821799,0.0786054712884194,0.4104070078750601,0.5110781052255947,0.5134380866424598,0.509632894490518,0.509316623473041,0.4935991295998061,0.48489096462723585,0.47588311891025775,0.46300802623520665,0.3770349457767898,0.29169676546946277,
