Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAc,diabetes,2,15,No Implementado,2596,1654,4.639548152161729,0.9997906991873401,1,0.037800152046283446,0.8749220435282169,3.6537686441913615,82.01680672268907,0.4938211382113821,58.07710444509269,77.07871365930448,358,(L*L)
GPc,diabetes,4,15,No Implementado,2640,1860,15.368174397734805,0.7456145602771344,2,-0.8093307415897601,1.6033273143489413,4.966333897936266,78.25651472710295,0.5221291809009296,46.99860857411146,72.93071155637463,88,L
GPEDAc,diabetes,2,15,No Implementado,2622,1766,7.277592590111229,0.7130177797862154,4,-0.13395163458581028,0.9236101389292916,1.7052254993208433,78.50861556743908,0.5289833426021555,47.21393094291227,72.44205836722782,241,(L+P)
GPEDAc,diabetes,4,15,No Implementado,2604,2165,0.07736001444454566,0.4385208297832325,5,0.4796936083203339,1.515108197035595,2.6772083523801036,77.73958068075714,0.6243436349672943,39.35141827295826,69.41595548495164,512,(L+(R*R))
GPc,diabetes,3,15,No Implementado,2632,2655,8.314779368707057,0.7497212056879576,4,0.8347461438835213,0.39754658485707395,4.800522316730811,79.02894491129784,0.52278965069781,48.85404478708874,73.7019323835116,156,L
GPEDAc,diabetes,1,15,No Implementado,2632,2515,0.4371272743310444,2.3892633724705794,2,0.1031729370988866,0.19974892117889526,1.0E-4,77.99847211611919,0.5716135695558909,43.3999523136463,70.94845415349016,15359,(P+L)
GPBUMDAc,diabetes,1,15,No Implementado,2618,1315,1.511910376802395,1.0E-4,2,0.12552501898494994,0.44960981931142363,1.0E-4,80.48637636872931,0.527660814067424,52.22894137410569,75.53667822283604,435,(L+(P+L))
GPc,diabetes,1,15,No Implementado,2602,8,0.5045499067389585,1.1964494300211581,6,0.7764880145792235,1.0822637589471198,1.6628713098568126,77.73873185637892,0.5589131643759435,43.566525841837766,70.770729657998,135,(P+L)
GPc,diabetes,2,15,No Implementado,2596,477,5.927294081882302,2.2762857642219316,1,-0.2539862249013012,0.522152454652142,1.1933659934276348,79.03658433070197,0.5244225523688462,48.778003647335424,71.89514022994729,99,L
GPEDAc,diabetes,3,15,No Implementado,2650,512,9.219920179290717,1.8784042831222685,5,0.04809655001402656,0.256496575687468,0.7508496265933449,78.89907478142773,0.5231148539498424,48.514402813542304,73.10082393461602,124,L
GPBUMDAc,diabetes,5,15,No Implementado,2620,816,0.514499615860716,0.1870121049439935,2,0.34069608910871996,1.1704021317007791,2.2949269606697995,78.64612511671335,0.5423150869945182,46.760407442860426,72.41395681239155,221,(L+L)
GPEDAc,diabetes,5,15,No Implementado,2602,1280,1.4709352571585188,1.1275254238863717,4,-0.23318713758090995,1.3476335712367529,1.0103211178923097,78.25991002461589,0.5361303990890073,46.18820044118574,72.08893964389213,73,L
GPBUMDAc,diabetes,4,15,No Implementado,2612,1650,16.4603074314159,1.0902758693472,5,0.07360550669087051,1.0881062931683994,4.337326955964564,77.73703420762243,0.5214782447498741,45.78249196819532,72.1965459815232,189,L
GPBUMDAc,diabetes,3,15,No Implementado,2634,296,12.665668432052126,0.4748914218318263,2,0.11493558047636104,2.0,3.1407694597338383,78.24887530769884,0.52278965069781,46.941861477145196,72.12186718181565,96,L
GPc,diabetes,5,15,No Implementado,2624,429,1.4297137673226388,0.12220627748769076,6,0.6292392668271403,0.19874001000642022,2.3957022919712436,77.99847211611919,0.5367818648870528,45.51812455884338,71.48767411185783,72,L
