Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,diabetes,1,H,0.0,78.38044308632543,79.55691367456072,79.55691367456072,79.55691367456072,79.938884644767,80.99482217129275,80.99482217129275,80.99482217129275,80.99482217129275,80.99482217129275,80.99482217129275,80.99482217129275,80.99482217129275,80.99482217129275,0.0,1.5143782726228867,0.7261026695665104,0.38975773155775784,0.36923895512801147,0.40051307242471534,0.4757609602486214,0.6713674625542349,0.8079614825603783,0.8621710036676232,0.9131086624374446,1.022371307040783,1.0375680213578715,1.0372412617316353,1.0015664466048777,
GPBUMDA,diabetes,3,H,0.0,77.34063322298616,77.73194126135301,77.99337916984975,78.64697394109159,78.64697394109159,78.64697394109159,78.64697394109159,78.64697394109159,78.64697394109159,78.64697394109159,79.55012307953484,79.55012307953484,79.55012307953484,79.55012307953484,0.0,1.838001389850003,0.9585061244018172,0.7395748521927668,0.48749624629302407,0.2529236467562874,0.19107203838959774,0.21108740471881152,0.23322850095171457,0.22992246559675963,0.24825687420313133,0.26837778688474384,0.38544875156346303,0.4436007878964757,0.5331864564833022,
GPEDA,diabetes,1,H,0.0,78.38044308632543,78.38044308632543,78.38044308632543,78.38044308632543,79.41940412528648,79.6876326288091,79.6876326288091,79.6876326288091,79.6876326288091,79.6876326288091,79.6876326288091,79.6876326288091,79.6876326288091,80.60266530854764,0.0,1.1377155174565734,0.5030158922015224,0.21811665530517316,0.11621199227281268,0.06481138274755756,0.28186306424808266,0.43338950024143047,0.4875144244727167,0.5246057651401586,0.5735076780228553,0.5856668584159094,0.5853909786478014,0.5378043827461564,0.4456088549392307,
GPEDA,diabetes,4,H,0.0,77.7361853832442,77.7361853832442,77.7361853832442,77.73703420762243,77.73703420762243,78.130888719124,78.130888719124,78.25906120023767,78.25906120023767,78.25906120023767,78.25906120023767,78.25906120023767,78.25906120023767,78.25906120023767,0.0,1.3648626632086631,1.1198950393127454,0.7534534890826069,0.29892900028790037,0.20494167101665892,0.18146807838334364,0.19833389715851252,0.15764912969815878,0.19277970661493937,0.13471182513882848,0.10460902270101938,0.09815078693897099,0.047145316788646176,1.6518123698891422E-6,
GPBUMDA,diabetes,5,H,0.0,78.11900517782871,78.11900517782871,78.12579577285459,78.12579577285459,79.29632459044224,79.29632459044224,80.34122740005093,80.34122740005093,80.34122740005093,80.34122740005093,80.34122740005093,80.4507257448434,80.4507257448434,80.4507257448434,0.0,2.219973519108362,1.149745891596399,0.4596478731164566,0.26409605514356277,0.19389117470896805,0.2866389454097515,0.31417111795046204,0.5259994745247548,0.5875662595207307,0.6612127729105562,0.7110983693949012,0.7535504389718427,0.8924115616651661,0.9532108610030638,
GP,diabetes,1,(H+H),0.0,78.11900517782871,78.37874543756898,78.38044308632543,79.16730328495034,79.30396400984637,80.06620830150241,80.06620830150241,80.06620830150241,80.06620830150241,80.06620830150241,80.06620830150241,80.06620830150241,80.06620830150241,80.06620830150241,0.0,3.1570273572291487,1.4190722646869625,1.0833887685461556,0.2932793960659024,0.250152871019799,0.33152867894169985,0.481449243697604,0.5706231427773638,0.6339370306322007,0.690377070424878,0.6781111653213098,0.6780338574715351,0.7894326464535111,0.7528656665093497,
GPEDA,diabetes,5,H,0.0,78.11900517782871,78.11900517782871,79.4295900178253,79.4295900178253,79.4295900178253,79.55776249893896,79.55776249893896,79.55776249893896,79.55776249893896,79.55776249893896,79.55776249893896,79.55776249893896,79.55776249893896,79.55776249893896,0.0,1.505205294680463,0.8517996199165332,0.3043890374674325,0.46741056612787146,0.49815819225325864,0.5214317629086904,0.6021311742260571,0.6196914733715604,0.632550126741393,0.6263756125679507,0.5761259398083632,0.43363942576769005,0.22595151644544406,0.17221305782972018,
GPEDA,diabetes,3,H,0.0,77.47135217723454,77.73194126135301,77.86096256684492,77.99083269671505,79.6876326288091,79.6876326288091,79.6876326288091,79.82514217808335,79.82514217808335,79.82514217808335,79.82514217808335,79.82514217808335,79.82514217808335,79.82514217808335,0.0,1.0676046947336608,0.7312887597679493,0.5306567758872447,0.3493958880783101,0.18341708282073482,0.5080462577016277,0.5870015720369057,0.7123578920965664,0.8205899744024902,0.8349001264368571,0.8094679347144992,0.7578379530031639,0.582612277432615,0.11057632798574762,
GP,diabetes,2,H,0.0,77.60376878023936,77.60376878023936,78.38553603259486,78.38553603259486,78.38553603259486,78.38553603259486,78.64272981920041,78.64272981920041,78.64272981920041,78.64272981920041,78.64272981920041,78.64272981920041,78.64272981920041,78.64272981920041,0.0,3.050384607369357,1.3664405292607449,0.9716892146389358,1.135970879823143,0.7415993282959905,0.4758727119426865,0.41201156226353997,0.38637670280198233,0.44885262183951674,0.4755430885122631,0.4646570349766387,0.4484027448893961,0.4686690826384354,0.48525686131182516,
GP,diabetes,3,H,0.0,77.60291995586114,77.99083269671505,77.99083269671505,78.13173754350224,78.13173754350224,78.38129191070367,78.38129191070367,78.38129191070367,78.38129191070367,79.28953399541635,79.28953399541635,79.28953399541635,79.28953399541635,79.28953399541635,0.0,4.795973761540239,1.7589406681456294,1.2248195674060378,0.5212978459219582,0.36635995857521453,0.2761479106437316,0.1862881150582495,0.14611224078999957,0.11732288307012805,0.10340144315279166,0.3017165871284999,0.3887527521930884,0.5007308107978747,0.5346170990372862,
