Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,diabetes,1,15,No Implementado,2630,1048,19.761529701972037,2.3533566630356173,2,0.1862378618794553,0.6482102689886419,3.564130798077527,80.99482217129275,0.5166070813802601,54.16943871236944,74.71420561538272,56,H
GPBUMDAb,diabetes,3,15,No Implementado,2630,2032,14.506803188810302,3.006990815484599,2,0.7124211806897233,1.0792827983396642,3.3297839618232334,79.55012307953484,0.5208363125976536,50.2638063043164,73.07249626535841,58,H
GPEDAb,diabetes,1,15,No Implementado,2620,2658,19.30672074506711,1.0226756510859365,2,0.1814598827275848,1.9801170064805913,2.07705882713753,80.60266530854764,0.5159561452292047,53.204114965585724,74.08623642733596,215,H
GPEDAb,diabetes,4,15,No Implementado,2624,1436,0.7061912012828775,0.7792853679410027,1,-0.5204105604810572,1.6475164331670418,1.3450025996788426,78.25906120023767,0.5833325388628479,43.28168743561685,71.07287015762309,118,H
GPBUMDAb,diabetes,5,15,No Implementado,2632,2320,6.422807466844073,1.8474117346921233,6,0.7208683009409567,0.5398340221280713,2.0091554159982685,80.4507257448434,0.530925558115516,51.946146763398325,77.64608305226609,734,H
GPb,diabetes,1,15,No Implementado,2628,1170,5.846928900054273,3.959429807075316,4,0.9333515767822738,1.9733556004811093,0.3006554014407664,80.06620830150241,0.5276740552421811,51.16257942858088,73.20965990673835,345,(H+H)
GPEDAb,diabetes,5,15,No Implementado,2626,1200,13.466179745469274,3.198843278461937,1,0.45291944616813085,0.06856273861608903,1.1124693465266726,79.55776249893896,0.5208416090675565,50.28260917383485,72.13215081941614,112,H
GPEDAb,diabetes,3,15,No Implementado,2584,1455,17.784058342441217,2.0461114177928996,4,0.3780628087801283,1.759976110145932,0.7439741334154342,79.82514217808335,0.5185577712454649,51.08533199345594,73.8024341569396,16559,H
GPb,diabetes,2,15,No Implementado,2648,1384,21.570438529811593,3.87909346997134,4,-0.8837404780385794,0.20623279853811716,0.793261570622274,78.64272981920041,0.5153009719022272,48.33433626603232,72.05529410058905,271,H
GPb,diabetes,3,15,No Implementado,2618,1797,4.652516687938228,1.0242014400725894,2,0.34522757948318317,0.5491317358798973,2.968658877784878,79.28953399541635,0.5419941209184078,48.36567923188287,72.68934550258291,106,H
GPb,diabetes,5,15,No Implementado,2614,510,1.5576166032446785,0.8052061700619316,4,-0.7964544436686689,1.4050529155454794,1.1698544053237607,79.42619472031237,0.5983072482190621,45.14290816355016,73.29780777955764,175,H
GPb,diabetes,4,15,No Implementado,2650,1146,10.643989138376693,3.7547383481080088,4,0.7810039585328701,0.3638733357912165,0.06514551443124628,78.77429759782702,0.5266883821932682,47.999087702324935,72.63961276369977,278,H
GPEDAb,diabetes,2,15,No Implementado,2622,1635,19.604390550473553,1.6966981846642142,4,-0.1092373360858817,1.0017869944308022,2.7241341303774584,81.37594431712078,0.5156267048012501,55.20539015023218,75.79232598702852,168,H
GPBUMDAb,diabetes,2,15,No Implementado,2614,1585,4.610682560672492,1.5966109453470079,4,0.24031192464801554,0.15875294717473065,2.6827808598946414,80.46430693489516,0.5514350785201663,50.746745246527546,73.55142709397876,197,H
GPBUMDAb,diabetes,4,15,No Implementado,2634,1881,6.170848226750857,2.0198496039063176,2,0.3171588870958048,0.7839239151335033,4.82334304353909,79.5535183770478,0.5361282805010461,49.37433557453051,72.36903202966373,6202,G
