Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,fertility,1,((K_13+W)+(H+(H+E))),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,3.1768442928770018,0.32496153618523466,0.44899888641526153,0.4898979485619823,0.40000000000550245,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,0.1959591794351893,0.27129319933118995,0.32496153618943285,0.4237827706992879,0.46107042959718025,0.48538177227653134,
GPEDA,fertility,1,((E+P)+(P+K_11)),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.09022556390978,0.0,0.5306599664579595,0.4270831300830174,0.49638694584146065,0.4800000000041776,1.9073486328125E-6,0.32496153618943285,0.4270831300872765,0.46647615159341704,0.49638694584420895,0.4800000000041776,0.27129319933118995,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,
GPEDA,fertility,5,H,0.0,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,90.13784461152883,90.13784461152883,90.13784461152883,90.13784461152883,90.13784461152883,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,92.04260651629073,0.0,0.3491486243781733,0.46263403850318685,0.036752486761603136,0.042815351385066355,0.04501241968731478,0.3538662515472173,0.4537623546396926,0.4915643675172708,0.49044471322505095,0.0,0.2583744755460511,0.38095238095353134,0.4067458381726646,0.4442630015108669,
GPBUMDA,fertility,1,(P+E),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,0.7661950173416677,0.30304573244263144,0.3880878948907995,0.494871608808293,2.8710259172028036E-14,0.23989791300271787,0.3505097969875615,0.45355732132971593,0.5041582322241164,0.4977955433139477,0.4425680706041416,0.35018617971148464,1.4355129586014018E-14,1.4355129586014018E-14,
GPBUMDA,fertility,3,(((K_13+R)*(R+E))+(K_13*P)),0.0,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,0.0,0.8412282721543698,0.5934764516240549,0.32795227461915855,0.4409449639043035,0.4828949204287742,0.4764490303523484,1.4355129586014018E-14,0.19794864352331729,0.23989791300271787,0.27404748765384185,0.30304573244263094,0.3703280021204511,0.4184519148973073,0.44308745248044895,
GP,fertility,3,((K_13+R)*(R+E)),0.0,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,3.5266823314608495,0.4845948131856171,0.010313641175943671,0.19580079198691808,0.4260232914753184,0.4853095867025482,0.4899312840737025,0.38832147168397035,0.34869029914692595,0.34869029914692595,0.34869029914692595,0.34869029914692595,0.34869029914692595,0.34869029914692595,
GPEDA,fertility,2,((K_11+K_11)+((R*(E*W))+(P+R))),0.0,89.0375939849624,89.0375939849624,89.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,0.44568986502315666,0.4583317872663507,1.9073486328125E-6,1.9073486328125E-6,0.27129319933118995,0.36660605560379267,0.40000000000550245,0.4270831300872765,0.4489988864172872,0.4762057140453604,0.48872642116312254,0.45362135708718104,0.31115905041047176,0.019047619063851363,
GPEDA,fertility,3,(K_13+R),0.0,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.09022556390978,90.09022556390978,0.0,0.6451042991537294,0.39907927274000027,0.46514406668683855,0.4946248473484502,0.4941138294521295,0.31880881427704244,0.012918723801062985,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,0.014278589642982639,
GP,fertility,4,(H*E),0.0,89.0375939849624,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,0.0,3.6819245802323497,0.455080362485993,0.4249026038162804,0.20627282045449094,0.2855717887703441,0.3420647749393053,0.42105263158628614,0.44956118956646207,0.5002737298898273,0.522397155741232,0.4705333403264904,0.34114685767939507,0.01964503027906985,0.01964503027906985,
GPBUMDA,fertility,5,G,0.0,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,90.89473684210526,0.0,0.5998808523236635,0.6684751961367307,0.5199018751988319,0.5772299665573902,0.6676377085477331,0.7392150378872362,0.8212374117582342,0.8633448206665263,0.8969117900065776,0.9228706981558278,0.958101767212071,0.9414576712104361,0.8200644871430742,0.7076980897284607,
GPBUMDA,fertility,2,((R*G)+((E+H)*(L+E))),0.0,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,90.0375939849624,90.0375939849624,90.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,0.0,0.8003104925083343,0.4992270960701927,0.014423551981785463,0.015949775391722196,0.01844788405198243,0.02042567867846923,0.19704697917922182,0.23773905773278375,0.3228708024462386,0.4885065540158446,0.5985122370456876,0.6536260422389135,0.7174050661563965,0.7382217417319148,
GPBUMDA,fertility,4,(E*((P+K_11)+(K_11*R))),0.0,89.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,0.7031477881102796,0.44615831148892326,0.19794864352331729,0.29752240293849563,0.3232888642013379,0.36614058714807224,0.4004208585246512,0.4150317356393819,0.4400355869565907,0.4601586558270578,0.4915510378459197,0.5001558781876438,0.49198673546296356,0.4595830497288591,
GP,fertility,5,((E+E)*(K_13*P)),0.0,88.98997493734336,88.98997493734336,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,4.0173584773920785,0.3105819745833072,0.4517196452173604,0.24409588610614097,0.24409588610614097,0.24409588610614097,0.0,0.2842119231001762,0.3840634868134331,0.446354969264073,0.4691784589346589,0.501381798021731,0.521296510463165,0.4671055279035507,
GP,fertility,2,(((E*W)*(K_13+E))+(G*(R*L))),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,0.0,3.305667465199042,0.19579247656803003,0.25837447555661125,0.25837447555661125,0.25837447555661125,0.186627789944055,0.30948717733047953,0.34914862438338307,0.4067458381771366,0.45714285714845543,0.475809371311575,0.45714285714746067,0.38095238095353134,0.3094871773216634,
GPEDA,fertility,4,(((E+L)*E)+(G*E)),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,0.0,0.4370690941170458,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,0.30948717733047953,0.34914862438338307,0.3809523809606936,0.42761798706910364,0.45714285714845543,0.475809371311575,0.45714285714746067,0.4067458381771366,0.2583744755548512,
