Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPa,fertility,1,15,No Implementado,2622,1386,31.117888871304515,1.3117394929244293,6,-0.33252825416494325,1.3727791907743292,4.726288058517315,90.0375939849624,0.8924937490232849,40.25041588234244,20.0,69,((K_13+W)+(H+(H+E)))
GPEDAa,fertility,1,15,No Implementado,2584,2629,17.44796968632722,2.0442183603889363,6,0.6216089804570459,1.4728379772611169,2.782232918145731,90.09022556390978,0.912462884825754,36.23722648250022,34.14213562373095,23,((E+P)+(P+K_11))
GPEDAa,fertility,5,15,No Implementado,2598,2577,24.57812576625302,1.4025255199101496,3,0.007748493301539483,0.6044614902122142,1.0E-4,92.04260651629073,0.367177684013127,86.8989280743866,59.26778294740542,2,H
GPBUMDAa,fertility,1,15,No Implementado,2602,988,13.67162613991215,2.6050410001646624,6,0.21768354025106665,1.402442464208842,1.8737802577241476,90.0375939849624,0.6393147366776059,70.15220569501581,20.0,16,(P+E)
GPBUMDAa,fertility,3,15,No Implementado,2600,1295,15.02029988283017,3.3106046205019553,2,0.22797520223347245,1.2657401500004182,3.60643239974819,91.0375939849624,0.9325894671042351,33.108342295485265,34.14213562373095,23,(((K_13+R)*(R+E))+(K_13*P))
GPa,fertility,3,15,No Implementado,2594,33,16.182321991311586,3.9532685597718467,2,0.21188616450300612,1.2157915832240034,4.599037397488889,90.0375939849624,0.9375586029067042,30.394451073752133,34.14213562373095,7,((K_13+R)*(R+E))
GPEDAa,fertility,2,15,No Implementado,2586,737,12.06425068241499,1.1924949373953433,3,1.0,0.6747343541371642,4.057419448986462,90.0375939849624,0.82,52.29915089767185,16.329931618554518,3997,((K_11+K_11)+((R*(E*W))+(P+R)))
GPEDAa,fertility,3,15,No Implementado,2600,2319,15.773279533486422,2.651277182823517,4,-0.11527004857354733,1.2731458326065865,3.1904687741394246,90.09022556390978,0.754952726988592,60.367102170035935,42.42640687119285,4,(K_13+R)
GPa,fertility,4,15,No Implementado,2618,407,22.115232193804747,1.3586740475052328,6,-0.8789651908806622,0.28466027256636467,3.906727944075805,90.09022556390978,0.920089467104235,34.55593211871894,36.91081316125911,2220,(H*E)
GPBUMDAa,fertility,5,15,No Implementado,2598,279,6.377186416960402,1.625247894153592,5,0.5974563598777719,1.9855398900393006,1.655210380099065,90.89473684210526,0.3873992030004688,84.12407897807171,20.0,18,G
GPBUMDAa,fertility,2,15,No Implementado,2626,1701,5.020917232068536,1.3755011806087343,4,0.6611935227026174,0.298726257768583,5.0,91.0375939849624,0.9099320206282231,38.542933815376465,30.47206724228547,2328,((R*G)+((E+H)*(L+E)))
GPBUMDAa,fertility,4,15,No Implementado,2620,437,32.0,2.5104855024500212,1,0.42136257370088914,1.2040061964596107,2.879985307915364,90.0375939849624,0.7050531333020784,65.03618072318802,36.91081316125911,1759,(E*((P+K_11)+(K_11*R)))
GPa,fertility,5,15,No Implementado,2598,610,18.427950906368036,0.845131611396285,6,0.353361389674991,1.7285900875715812,4.308209546178506,90.0375939849624,0.23995233630254725,86.64398471311276,20.0,12,((E+E)*(K_13*P))
GPa,fertility,2,15,No Implementado,2628,954,11.687391930145193,0.9429988757212513,4,-0.011085110490656414,1.7244343721062119,2.0619603476655115,89.98997493734336,0.8850277387091733,41.586516034075984,25.689141007523467,6013,(((E*W)*(K_13+E))+(G*(R*L)))
GPEDAa,fertility,4,15,No Implementado,2602,972,18.804340618990633,2.8790622673633197,5,-0.5833843982609835,0.3482331834211606,2.2474770205402903,89.98997493734336,0.8847730114080324,41.634627647101944,23.09401076758503,3156,(((E+L)*E)+(G*E))
