Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,fertility,2,((L*R)+(L*R)),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,0.0,0.32380952381021727,0.4727494722357493,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,
GP,fertility,2,R,0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.08521303258145,89.08521303258145,89.08521303258145,89.08521303258145,89.98997493734336,0.0,3.462075885197637,0.4314443390441624,0.42761798706804016,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,0.012918723941865546,0.019047619183222543,0.02221315017150579,0.02285714299678862,
GPEDA,fertility,5,((L*R)*(R+L)),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,0.0,0.4270831300830174,0.36660605560007137,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,
GPBUMDA,fertility,2,(R*(L*L)),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,89.98997493734336,0.0,0.2395967954881696,0.4775490335775616,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,0.1885225176412564,0.22847420285973327,0.26099760728937627,0.31262922777460245,0.35269333535281394,0.3985256332355354,0.44086666919101797,0.4713062941031416,0.4806399981022041,
GP,fertility,4,P,0.0,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,0.0,3.0032449097925213,0.7110804856463162,0.6156734033618115,0.6156734033618115,0.6156734033618115,0.3777525021747891,0.4662860867279916,0.5139602364489323,0.4669699581617322,0.044956118968380025,0.044956118968380025,0.044956118968380025,0.044956118968380025,0.044956118968380025,
GP,fertility,1,(L+(P*L)),0.0,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,1.657574054616349,0.0,0.0,0.0,0.0,0.0,0.0,0.2712931993261613,0.32496153618523466,0.36660605559883097,0.6324555320355453,0.6997142273820017,0.7631513611360935,0.7200000000031085,
GPBUMDA,fertility,4,P,0.0,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,90.14285714285714,0.0,0.5809689722039765,0.5956329436906149,0.3158771485702401,0.3663884018949391,0.3874464220379538,0.4063058972130062,0.42326081501042445,0.45229043557126025,0.4646701230786957,0.4945162063261139,0.502274722143746,0.5301780407477713,0.5239570673982944,0.4866340104573114,
GP,fertility,3,R,0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,0.0,2.7113110950648367,0.44712840384704744,0.012918723906664906,0.012918723906664906,0.017457431297315935,0.019047619111599835,0.02221315017150579,0.02285714283762705,0.02379046864218086,0.023328473741179384,0.021380899417155416,0.017457431297315935,1.9073486328125E-6,1.9073486328125E-6,
GPBUMDA,fertility,1,P,0.0,88.0375939849624,88.0375939849624,88.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,90.0375939849624,0.0,0.32826068916332896,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,0.3958972870466341,0.4952838301282561,0.5714285131195428,0.6327780665836732,0.6883875756510451,0.7284312847549652,0.7886955619118523,0.8514093088787231,0.8808621963714212,0.8722477694222015,
GP,fertility,5,((L*R)*(R+L)),0.0,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,0.0,2.9516972694747103,0.4995998398728826,0.186627789944055,0.186627789944055,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,1.9073486328125E-6,
