Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAc,fertility,2,15,No Implementado,2624,19,14.643779046426733,1.6446539653424177,3,0.18021396038366388,1.9626610446625543,0.5137810153267641,89.0375939849624,0.9524968745116423,25.384867962752367,25.363807777466594,8,((L*R)+(L*R))
GPc,fertility,2,15,No Implementado,2608,2658,14.716514945111658,2.1862860439063385,6,-0.7335581599319894,0.4714494873821314,2.280688418758932,89.98997493734336,0.9600601656508829,24.63320915808276,30.01197657604839,2,R
GPEDAc,fertility,5,15,No Implementado,2590,1,15.127562326995314,1.8305483385574244,3,-0.2871488145398242,0.36537564157703756,0.36533767828637265,89.0375939849624,0.9624042819190498,22.992283043934716,25.29069080251805,18,((L*R)*(R+L))
GPBUMDAc,fertility,2,15,No Implementado,2606,869,15.543486436259062,1.4464924969206978,2,-0.1793593782753364,1.2932991349137701,1.7796197171036647,89.98997493734336,0.7562619159243632,59.96766301358576,30.01197657604839,27,(R*(L*L))
GPc,fertility,4,15,No Implementado,2606,3,29.06163954995232,0.452761163206692,2,-0.5683385081805816,1.6865371172983947,1.6632314365229894,90.14285714285714,0.23995233630254725,86.83950384322262,20.0,0,P
GPc,fertility,1,15,No Implementado,2620,1940,9.866429989712227,1.0927915273791393,6,0.1723735833161515,1.4172899218072181,3.113135074095918,90.0375939849624,0.4249980465697766,81.04906816272191,20.0,7,(L+(P*L))
GPBUMDAc,fertility,4,15,No Implementado,2638,3,29.06163954995232,0.452761163206692,2,-0.5683385081805816,1.6865371172983947,1.6632314365229894,90.14285714285714,0.23995233630254725,86.83950384322262,20.0,0,P
GPc,fertility,3,15,No Implementado,2640,30,0.9515929869168538,1.1232008866724679,4,0.22772228146383866,0.842356852504728,1.6416655885699516,89.0375939849624,0.9150261759649945,33.69684389853733,11.547005383792515,1,R
GPBUMDAc,fertility,1,15,No Implementado,2606,693,12.182712495532295,1.8639520883791112,4,-0.07072103963389634,0.8236363549026215,2.717521163359854,90.0375939849624,0.23995233630254725,86.64398471311276,20.0,0,P
GPc,fertility,5,15,No Implementado,2612,1,15.127562326995314,1.8305483385574244,3,-0.2871488145398242,0.36537564157703756,0.36533767828637265,89.0375939849624,0.9624042819190498,22.992283043934716,25.29069080251805,18,((L*R)*(R+L))
GPBUMDAc,fertility,3,15,No Implementado,2620,30,0.9515929869168538,1.1232008866724679,4,0.22772228146383866,0.842356852504728,1.6416655885699516,89.0375939849624,0.9150261759649945,33.69684389853733,11.547005383792515,1,R
GPEDAc,fertility,3,15,No Implementado,2636,2188,0.9489221738625733,1.0739440856304128,4,0.13573355398418446,0.9175283941388974,1.7381385374881702,89.98997493734336,0.5202836380684481,76.90904107558727,23.09401076758503,3,(L+R)
GPBUMDAc,fertility,5,15,No Implementado,2598,1,15.127562326995314,1.8305483385574244,3,-0.2871488145398242,0.36537564157703756,0.36533767828637265,89.0375939849624,0.9624042819190498,22.992283043934716,25.29069080251805,18,((L*R)*(R+L))
GPEDAc,fertility,1,15,No Implementado,2614,1776,23.63264240632155,0.26894515428191035,2,-0.018036675256118406,0.09526280792176511,2.361623987850132,90.0375939849624,0.23995233630254725,86.64398471311276,20.0,3,((L*P)+P)
GPEDAc,fertility,4,15,No Implementado,2624,3,29.06163954995232,0.452761163206692,2,-0.5683385081805816,1.6865371172983947,1.6632314365229894,90.14285714285714,0.23995233630254725,86.83950384322262,20.0,0,P
