Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,fertility,1,K_11,0.0,90.94235588972431,90.94235588972431,90.98997493734336,90.98997493734336,90.98997493734336,90.98997493734336,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,0.0,0.9137069029084287,0.5491308270298665,0.27418423411476334,0.3553352013730176,0.4363604453393399,0.4716988858364397,0.3080438252360118,0.18852251764125397,0.39852563323552914,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,
GPEDA,fertility,5,H,0.0,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,0.0,0.7283379058184483,0.6216690490780129,0.44741671566038294,0.49982157480866934,2.6973983046972182E-6,2.6973983046972182E-6,2.6973983046972182E-6,2.6973983046972182E-6,2.6973983046972182E-6,0.27129319931275153,0.3249615361768383,0.3666060555876671,0.4489988864051335,0.46647615158171873,
GP,fertility,3,K_13,0.0,90.94235588972431,90.94235588972431,90.94235588972431,90.94235588972431,90.94235588972431,90.94235588972431,90.94235588972431,90.94235588972431,91.04260651629073,91.04260651629073,91.04260651629073,91.04260651629073,91.04260651629073,91.04260651629073,0.0,5.024574748905323,0.706806703585405,0.46396447035951804,0.6765701997987629,0.7209972929894551,0.6691959933314734,0.6691959933314734,0.6691959933314734,0.6691959933314734,0.6691959933314734,0.6691959933314734,0.641884462514845,0.45337412344020067,0.4862358365893253,
GPEDA,fertility,2,G,0.0,88.0375939849624,88.0375939849624,89.08521303258145,89.08521303258145,90.0375939849624,90.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,0.0,0.44899888641424873,0.492240009303128,0.0,0.28421192310337623,0.34043589505706234,0.6083321684838435,0.6979230606899967,0.9703074763410954,1.0766134861891163,1.1282398548500603,1.1313708499003732,1.048754363180623,0.8993542657057441,0.6856984125174529,
GP,fertility,1,((W+K_11)+(H+K_13)),0.0,90.94235588972431,90.94235588972431,90.98997493734336,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,91.94235588972431,0.0,2.3708527459169795,0.7435259504594807,0.5966619161480083,0.318123751225233,0.5953226606615539,0.7021831844279888,0.7573674419842211,0.6990086923140669,0.5498661968781814,0.48824364758967903,0.48824364758967903,0.48824364758967903,0.48824364758967903,0.48824364758967903,
GPEDA,fertility,3,(G+K_11),0.0,91.99498746867168,91.99498746867168,91.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,92.99498746867168,0.0,0.4640779413300493,0.8451352815570067,1.1473903673630736,1.0410626027713323,1.0134987611301087,0.9511329852808991,0.786413290852289,0.4824352434959803,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,2.3360154559928683E-6,
GP,fertility,5,H,0.0,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,0.0,2.3624195200118305,0.7719168048912869,0.6883449516747312,0.42210709352249315,0.42210709352249315,0.5207452575564002,0.4347457626112661,0.3999999999929969,0.3999999999929969,0.3999999999929969,0.3999999999929969,0.3999999999929969,2.6973983046972182E-6,2.6973983046972182E-6,
GPBUMDA,fertility,3,((G+K_11)+(G+K_11)),0.0,89.13784461152883,90.99498746867168,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,92.04260651629073,92.04260651629073,92.04260651629073,92.99498746867168,92.99498746867168,0.0,0.8742562181038948,0.03674177343224833,0.4770417564593198,0.6685301388165072,0.7187201230685937,0.49215533980103754,0.3547729792706595,0.017634666767641773,0.021099402499070507,0.02278657485095562,0.19466718691172932,0.2818298402627602,0.34385958421102386,0.6613533096159401,
GPBUMDA,fertility,5,H,0.0,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,89.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,90.09022556390978,0.0,1.3235354740685987,0.6160448608732991,0.5664756121666694,0.36824604639414066,0.5073978731237743,1.4355129586014018E-14,0.27404748765384185,0.3703280021204511,0.3880878948907999,0.45355732132971593,0.4629100026505633,0.4712120234163043,0.49031430144594523,0.5034573825326886,
GPBUMDA,fertility,2,H,0.0,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,88.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,91.0375939849624,0.0,1.1731622738404912,0.46232881346353694,0.48674783589019677,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,2.8710259172028036E-14,0.5938459305699523,0.7284312847549635,0.8349324448292982,0.929343949779949,
GP,fertility,2,((K_11+E)*W),0.0,88.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,89.0375939849624,0.0,4.596507294380722,0.7312251701333917,0.5538699144091145,0.39070376643732085,0.32579781720159967,0.36660605560007137,0.40000000000209185,0.4261135871101212,0.47866026183668287,0.4915393009302854,0.49385888535667083,0.44001236841726243,0.3094871773290102,0.3094871773290102,
GPEDA,fertility,1,((E*K_13)+((E*K_13)+((E*K_13)*K_13))),0.0,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,91.09022556390978,92.0375939849624,92.0375939849624,92.0375939849624,92.0375939849624,92.0375939849624,92.0375939849624,92.0375939849624,92.0375939849624,0.0,0.844744188361351,0.39052330157396403,0.45495967718754515,0.49277660887372193,0.48863039824235266,0.465203913155761,0.3678492348699524,0.27712138374716955,0.3545547909890949,0.40331904814982505,0.4540884637697944,0.42283922190220347,0.29577665964493716,0.046656947521345235,
