Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,fertility,1,15,No Implementado,2596,1252,5.173802515903363,2.1639337373622367,6,0.729032281473519,0.9462303807801611,5.0,91.94235588972431,0.3821800281293952,86.27016411791963,44.61420286601642,1,K_11
GPEDAb,fertility,5,15,No Implementado,2636,1587,18.225973426698985,4.0,6,0.668755771382349,1.5935163609452252,0.8775665048531047,90.09022556390978,0.3649300671979997,83.23781024729098,25.689141007523467,13,H
GPb,fertility,3,15,No Implementado,2608,1662,3.8718668857597685,2.885683764146728,1,0.8215823213185143,0.3983108230262507,1.9301371112518613,91.04260651629073,0.40771253320831385,83.73907769813916,44.15411219977934,0,K_13
GPEDAb,fertility,2,15,No Implementado,2600,1369,12.953910431836787,1.8082757289123934,1,0.024659808303154868,0.4061301016325748,3.3991991329739584,91.0375939849624,0.3647734020940772,85.11733368592218,33.74368541872553,1881,G
GPb,fertility,1,15,No Implementado,2620,697,21.165598174039996,2.9504580673279537,3,0.8770718203536019,0.2134205867802732,3.120527262165345,91.94235588972431,0.5971901859665573,77.2705533116964,44.61420286601642,14,((W+K_11)+(H+K_13))
GPEDAb,fertility,3,15,No Implementado,2616,775,4.815941834187187,0.9441005789866708,5,0.29851307743339106,0.5266940082995311,3.2863151078294157,92.99498746867168,0.39252344116268173,87.77791582217117,56.16120824980894,21,(G+K_11)
GPb,fertility,5,15,No Implementado,2606,56,16.99518953850641,3.990854094378765,6,0.9446025459087419,1.8653502115200171,1.406958785211601,89.09022556390978,0.3649300671979997,81.1411437768316,25.689141007523467,11,H
GPBUMDAb,fertility,3,15,No Implementado,2564,2367,2.065364638708438,1.9212137040609658,5,0.5436561303445476,0.5022852819295582,3.2535266180935034,92.99498746867168,0.385024222534771,87.99955653726437,56.16120824980894,22,((G+K_11)+(G+K_11))
GPBUMDAb,fertility,5,15,No Implementado,2626,1092,18.175378012067902,2.9954966378657337,6,0.7452183460354557,1.7079339943908753,1.4024798017778823,90.09022556390978,0.36239842162837943,83.3189342964865,30.47206724228547,9,H
GPBUMDAb,fertility,2,15,No Implementado,2628,1794,7.3556983221731,2.0229166319782013,5,0.3269197179459005,0.946868912883143,3.0746747782508046,91.0375939849624,0.38243006719799966,84.56418019662057,31.547005383792516,6,H
GPb,fertility,2,15,No Implementado,2644,291,10.446434924607765,0.9662366009698463,3,-0.5905230748395418,1.3542145873933136,2.8601638099333537,89.0375939849624,0.772396468198156,55.68814785180072,14.142135623730951,3988,((K_11+E)*W)
GPEDAb,fertility,1,15,No Implementado,2618,1403,16.040411974212827,1.204207367465301,6,0.5699720690665564,0.39257429546267364,1.8610772496602683,92.0375939849624,0.9450285200812626,30.93862177307806,58.334089677417126,65,((E*K_13)+((E*K_13)+((E*K_13)*K_13)))
GPb,fertility,4,15,No Implementado,2614,898,16.824865656467583,0.09468292657460693,6,0.35653461215655535,1.952513160596965,3.2598579230416345,89.08521303258145,0.811756915142991,50.98942236810815,39.43282642624901,60,((K_13*E)+(K_11*H))
GPEDAb,fertility,4,15,No Implementado,2608,22,25.74266249673548,1.7191472283685165,4,-0.3980015140563611,0.9804187863993867,1.0669404152247415,89.0375939849624,0.9200261759649944,32.65770734283603,27.885821042456485,44,((G+K_11)*(W*H))
GPBUMDAb,fertility,4,15,No Implementado,2596,22,25.74266249673548,1.7191472283685165,4,-0.3980015140563611,0.9804187863993867,1.0669404152247415,89.0375939849624,0.9200261759649944,32.65770734283603,27.885821042456485,44,((G+K_11)*(W*H))
