Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPEDA,haberman,1,(L*(((L*(L*G))+(P+G))*G)),0.0,75.17186673717609,75.17186673717609,75.49973558963511,75.49973558963511,75.49973558963511,75.49973558963511,76.15547329455315,76.15547329455315,76.15547329455315,76.15547329455315,76.15547329455315,76.15547329455315,77.08619777895294,77.08619777895294,0.0,0.5724935748173703,0.4532408176359841,0.43223517465372985,0.4546160813697929,0.3859014699134345,0.32692831782029497,0.2993034887702386,0.28195983412723485,0.2967753243192789,0.2640281531674257,0.29302967783279726,0.24956071662813384,0.18660632199712915,0.29936178593265605,
GPBUMDA,haberman,2,((E+H)+E),0.0,74.51612903225806,75.16657852987836,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15547329455315,76.15547329455315,77.12850343733474,78.4399788471708,78.4399788471708,78.4399788471708,78.4399788471708,0.0,1.307532542335766,0.33145720842831256,0.5558570203739431,0.5807954468511817,0.42795059532544916,0.2823195568896647,0.3210265698055651,0.3228664981097784,0.2513576356974836,0.2750573071387002,0.3976512760630869,0.7286227988177171,0.7902933605448912,0.8327748108235112,
GPBUMDA,haberman,4,(L+G),0.0,76.467477525119,76.467477525119,76.467477525119,76.467477525119,79.09042834479112,79.09042834479112,79.74616604970915,79.74616604970915,79.74616604970915,79.74616604970915,79.74616604970915,79.74616604970915,79.74616604970915,79.74616604970915,0.0,1.5857751349343607,0.6518671121900483,0.8091841820972981,0.72738475710864,0.6963826200924448,0.6836681677273097,0.6287172376118442,0.8428511807333254,0.94374275504343,0.9805551100479409,1.0843117150796668,1.176693847440405,1.2096518701512389,1.1618903266346274,
GP,haberman,1,((L+G)+((((P*E)*L)+(L+H))+H)),0.0,76.15018508725542,76.15018508725542,76.15547329455315,76.15547329455315,76.80063458487572,76.80063458487572,77.79481755684822,77.79481755684822,80.03172924378636,80.03172924378636,80.03172924378636,80.03172924378636,80.03172924378636,80.03172924378636,0.0,2.471008554706814,0.6245692968571374,0.6978638616686353,0.6883101366104917,0.6555816330540575,0.7697202097489051,0.76068867799134,0.7158240538601293,0.8527632374202884,0.8127305116430388,1.0733273616253185,1.0489908735310927,0.9899176931902693,1.20320118732017,
GPEDA,haberman,2,(((P+H)*H)*H),0.0,74.51084082496034,75.47858276044421,75.47858276044421,75.47858276044421,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,0.0,0.768773670182062,0.3566918989991791,0.4346427216981061,0.3505321864281466,0.2217805294507839,0.5321820617974893,0.6254517811451343,0.6821303669448953,0.7791854736655307,0.7949543347835721,0.7920343519560779,0.781783041147638,0.7270252318357726,0.6603313622393122,
GP,haberman,2,(E+H),0.0,75.16129032258064,75.49973558963511,75.49973558963511,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.78424114225278,77.78424114225278,77.78424114225278,77.78424114225278,77.78424114225278,77.78424114225278,0.0,4.212590760863082,0.7860211446496098,0.6467580521093091,0.5447828923883238,0.7817172197973332,0.7682122808578858,0.7306839395858564,0.6233466360991681,0.6233466360991681,0.557687030544513,0.557687030544513,0.533625721902683,0.728965471536577,0.8496069064060352,
GP,haberman,4,((H*L)*((G+P)+L)),0.0,75.16129032258064,75.16129032258064,75.48915917503966,75.48915917503966,76.47805393971444,76.47805393971444,76.47805393971444,76.47805393971444,76.47805393971444,76.47805393971444,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,0.0,2.568421727993489,0.5203907244960516,0.44056300967229534,0.44056300967229534,0.475917785545447,0.6077515208462182,0.543024725928855,0.6016675276971218,0.556083459404441,0.49522924916206595,0.5429976986719325,0.5369257263127604,0.4767785761038088,0.5390923745738672,
GPBUMDA,haberman,5,(((P+H)+(H+L))+(((P+H)+L)+H)),0.0,76.16076150185089,76.16076150185089,76.48334214701217,76.48334214701217,76.48863035430989,76.48863035430989,76.48863035430989,76.81121099947117,76.81121099947117,76.81649920676891,78.12797461660496,78.12797461660496,78.12797461660496,78.12797461660496,0.0,1.5106023818211767,0.718575963432363,0.6153579928778397,0.5088067397021944,0.3125727619724211,0.3174054162838077,0.23022526045904435,0.22932144597361112,0.2158883039909286,0.18640937624543122,0.2285384769274467,0.4112508003332677,0.44444334389937795,0.4522397252716011,
GPEDA,haberman,5,(H*H),0.0,75.18244315177155,75.83289264939185,76.16076150185089,76.16604970914861,76.16604970914861,76.16604970914861,76.16604970914861,76.16604970914861,76.48334214701217,76.48334214701217,76.48334214701217,76.48334214701217,76.48334214701217,76.48334214701217,0.0,0.38338964601209413,0.47085960213171835,0.4664498611968747,0.3170890234538976,0.192059535270943,0.16358865635389755,0.11887325416331135,0.0022585051595505955,0.002538339948777158,0.08698777921458309,0.10391831927917433,0.11670612246342055,0.13551024751060328,0.15230037016438233,
GPBUMDA,haberman,3,((P*H)+E),0.0,74.83870967741936,74.83870967741936,76.48334214701215,76.48334214701215,76.48334214701215,76.48334214701215,76.48334214701215,76.48334214701215,76.48334214701215,78.10153358011635,78.10153358011635,78.10153358011635,78.10153358011635,78.10153358011635,0.0,1.3383014740109034,0.4061751414053004,0.4278279928133481,0.6523440912848013,0.6876995285875188,0.6209459785030905,0.6193051866347992,0.6606266264863472,0.6816738004719632,0.6605934863575808,0.8214843549657553,0.7711280607102462,0.7648430707611812,0.6604411292290101,
GPBUMDA,haberman,1,(H*H),0.0,75.17186673717609,75.17186673717609,75.46800634584875,75.82760444209413,75.82760444209413,75.82760444209413,76.47805393971444,76.47805393971444,76.47805393971444,76.47805393971444,77.13379164463247,77.13379164463247,77.13379164463247,79.42887361184559,0.0,1.3917839030929762,0.4883208867998875,0.584215102880455,0.5303180431118495,0.48702186485668,0.44880397314945075,0.3906106942784087,0.4023347326318839,0.46065951096457086,0.44509755627223085,0.47324606985099504,0.4716077682107314,0.22877589171399562,0.21778598129099366,
GP,haberman,5,(L*G),0.0,77.13907985193019,77.13907985193019,77.13907985193019,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,79.11686938127974,0.0,2.6273903848618203,0.413603860658311,0.775319320317856,0.6079860370524842,0.47146851938627427,0.42363387370892763,0.7388563633828583,0.9210114296070906,0.8681632381371793,0.8681632381371793,0.864464241713753,0.9951006712221369,0.9951006712221369,0.9565301407941843,
GP,haberman,3,((P+P)*(L+H)),0.0,74.52141723955579,76.45690111052353,76.45690111052353,76.45690111052353,76.45690111052353,76.45690111052353,76.45690111052353,77.72607086197779,77.72607086197779,77.72607086197779,77.77366472765732,77.77366472765732,77.77366472765732,77.77366472765732,0.0,3.8683665379527152,0.5788287637265713,0.8692307264993284,0.9014264199272215,0.9014264199272215,0.9014264199272215,0.9014264199272215,0.8628016813114445,0.9644925610096121,1.1551845683461788,1.0019784164422945,0.9675378989823279,0.8846642225437579,0.8991720111130814,
