Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPEDAa,haberman,1,15,No Implementado,2620,2430,8.224546334652958,1.6923269853155225,1,-0.21812044563526778,1.2915711987549754,3.167825997953578,77.08619777895294,0.5351187688190031,43.44699610970584,0.0,243,(L*(((L*(L*G))+(P+G))*G))
GPBUMDAa,haberman,2,15,No Implementado,2616,2044,14.87370265668727,3.1093276649482346,2,0.20132037522466195,0.9704614793577326,2.7887171113425717,78.4399788471708,0.5294145199063232,47.02121962034256,0.0,128,((E+H)+E)
GPBUMDAa,haberman,4,15,No Implementado,2592,1246,29.352059327608217,2.080675484477973,3,0.7240383485993993,0.5917447916114265,2.5546818114723173,79.74616604970915,0.5449481431917029,49.327409482745225,0.0,181,(L+G)
GPa,haberman,1,15,No Implementado,2596,1669,12.146217678716429,3.073674816907931,5,-0.08480160608678422,0.906504255066153,2.5411459807526993,80.03172924378636,0.5285948477751756,51.02143791611973,0.0,1185,((L+G)+((((P*E)*L)+(L+H))+H))
GPEDAa,haberman,2,15,No Implementado,2614,999,10.852942675263826,1.2069751654710261,1,1.0,0.584894126735465,4.585419723791077,77.13379164463247,0.5367614586818334,43.46259872506227,0.0,74,(((P+H)*H)*H)
GPa,haberman,2,15,No Implementado,2618,1641,11.096404172889706,3.4497124568325948,2,0.7544920826921477,1.9797782884656094,4.745726901400062,77.78424114225278,0.532666443626631,45.24589806294006,0.0,50,(E+H)
GPa,haberman,4,15,No Implementado,2612,2126,11.571803227845209,0.7266110026297924,2,0.712893615479312,0.8688997837097693,2.224707577147366,77.13379164463247,0.5392271662763466,43.31777275762681,0.0,100,((H*L)*((G+P)+L))
GPBUMDAa,haberman,5,15,No Implementado,2624,2023,22.37120068104543,2.3265028583555725,6,0.3097948291366917,0.10201996210458075,4.537870750908867,78.12797461660496,0.5302275008364001,46.21605663989604,0.0,302,(((P+H)+(H+L))+(((P+H)+L)+H))
GPEDAa,haberman,5,15,No Implementado,2588,1595,11.895240425505957,1.2193608695393467,6,-0.012852933771777098,0.9214532328284519,1.2303974941297673,76.48334214701217,0.544101706256273,41.51994975230967,0.0,187,(H*H)
GPBUMDAa,haberman,3,15,No Implementado,2622,1959,21.950226152566387,2.7867640624890617,1,0.6957422288347488,0.6486079927149159,3.215482532804629,78.10153358011635,0.5294078287052526,46.20006630592999,0.0,37,((P*H)+E)
GPBUMDAa,haberman,1,15,No Implementado,2602,2620,16.254076597625556,1.669690824962177,6,-0.4409542933859377,0.6551998988301907,3.749630847888353,79.42887361184559,0.5416627634660423,48.73224316113903,0.0,75,(H*H)
GPa,haberman,5,15,No Implementado,2624,792,18.751578357582957,3.1357856393935366,3,0.21641315057446242,1.0247932714923877,4.526636966132996,79.11686938127974,0.5522683171629307,47.315159980463825,0.0,72,(L*G)
GPa,haberman,3,15,No Implementado,2586,1938,17.14101142217606,0.8382776008038868,3,-0.31941132124951466,1.5678917507529868,3.070223483570958,77.77366472765732,0.4004282368685179,52.21347290462728,0.0,13766,((P+P)*(L+H))
GPEDAa,haberman,3,15,No Implementado,2608,1816,24.0335175024753,1.131341516829707,1,0.47814933628493794,1.5037142123657392,4.6469898388008,77.79481755684823,0.4671127467380395,48.919213677303986,0.0,2853,((H*(R+G))*(P*G))
GPEDAa,haberman,4,15,No Implementado,2620,1997,22.236370928648597,0.9275369681502557,6,0.23878683198952555,1.0408301604703387,3.241020862022797,77.12321523003702,0.5449414519906324,42.95522561193193,0.0,212,(H+(H+((H+G)+(P*W))))
