Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,haberman,5,((R+P)+L),0.0,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,0.0,0.4682939605702271,0.5564007588422007,0.550862326166433,0.5019267423831666,0.43184110639791407,0.3656023260916718,0.28431380612936813,0.2119200981010976,0.10907522776358176,0.11651211719623868,0.1290681551225196,0.13440400194205043,0.15389855418554155,0.15897954916936066,
GP,haberman,5,R,0.0,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,0.0,3.622238004799092,0.606664100000957,0.5952094170782289,0.5952094170782289,0.6152367188314063,0.501905690826173,0.422328829359364,0.4219730174189814,0.4125173748272786,0.4125173748272786,0.4125173748272786,0.39569644960290346,0.38196234804987117,0.3059488938651596,
GPEDA,haberman,2,(((L+L)+(L*L))*L),0.0,75.48915917503966,75.48915917503966,76.467477525119,76.77948175568483,79.0481226864093,79.0481226864093,79.0481226864093,79.0481226864093,79.0481226864093,79.0481226864093,79.0481226864093,79.0481226864093,79.0481226864093,79.0481226864093,0.0,0.48152621136232804,0.503528692458112,0.3730656307093349,0.4821465285521254,0.44255358583657434,0.9088771345219739,0.8955770646827707,0.9371022289809524,0.9522768771828125,1.0029770492360452,1.0463281543972833,1.0711940570534804,1.0279393581101282,0.9199047557842386,
GPBUMDA,haberman,2,(L+((L+(L*(L+(((L*L)*L)+((P*L)+(P+P))))))+((L*(L+L))+L))),0.0,75.48915917503966,75.48915917503966,76.13960867265997,76.80592279217345,76.80592279217345,76.80592279217345,76.80592279217345,77.7895293495505,77.7895293495505,77.7895293495505,77.7895293495505,77.7895293495505,77.7895293495505,77.7895293495505,0.0,0.41556745948910645,0.4754141632609275,0.47269255915660807,0.4839248353749954,0.5341248997508231,0.4743031574063596,0.3411693649120236,0.30008448818590877,0.40837419888040516,0.4388909805696172,0.4737008006861977,0.43546770500911014,0.4662520609082152,0.475168869467059,
GP,haberman,3,(L*(((L*L)*L)+L)),0.0,75.17186673717609,75.17186673717609,75.49973558963511,75.49973558963511,75.49973558963511,75.49973558963511,75.82760444209413,75.82760444209413,75.83289264939185,75.83289264939185,76.81649920676891,76.81649920676891,76.81649920676891,77.46694870438921,0.0,2.778807294613618,0.4723704777670852,0.5138337882149995,0.5138337882149995,0.5138337882149995,0.5138337882149995,0.5640551732648418,0.3765173886861331,0.2631988319872254,0.3276299431527575,0.27773108917306977,0.27773108917306977,0.27773108917306977,0.27773108917306977,
GPEDA,haberman,3,(L*((L*(R*R))*R)),0.0,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.15018508725542,76.48334214701217,76.48334214701217,77.13907985193019,77.13907985193019,77.4669487043892,77.4669487043892,77.4669487043892,77.4669487043892,77.4669487043892,0.0,0.32082643239060377,0.7543262012419766,0.9195449922248056,0.7855464179476636,0.599474911233892,0.5877061498538838,0.4839453899239975,0.2130851223281811,0.3099619271273043,0.31820113137747325,0.3906263820907331,0.3380943447802912,0.31391154865776805,0.27634501647679754,
GP,haberman,2,(((P+((L*(L+(((L+(L+(L*L)))*L)+(L+((L*L)+L)))))*P))+L)*(L+(L+(L*L)))),0.0,75.48915917503966,75.48915917503966,75.81173982020096,75.81173982020096,76.1448968799577,76.467477525119,76.467477525119,76.467477525119,76.795346377578,77.45637228979376,78.1121099947118,78.11739820200951,78.11739820200951,78.11739820200951,0.0,1.7237152765528678,0.60154369386912,0.4826879105551005,0.5321648257539265,0.420748649144237,0.3919785340361979,0.34329901355943515,0.403109882690845,0.3062288294984196,0.22783433352397875,0.3534785229525613,0.496007910209387,0.7311730521416044,0.7821718464349888,
GPEDA,haberman,4,(L+(L+(L+(((L*L)*L)*L)))),0.0,74.18826017979904,74.18826017979904,75.5156002115283,75.5156002115283,75.5156002115283,76.44632469592808,76.44632469592808,76.47805393971444,76.47805393971444,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,77.13379164463247,0.0,0.12828907524332545,0.17724934932364408,0.2617532487117769,0.5874850922773509,0.54765912557243,0.5389138968215924,0.3294701009310306,0.3346896330386462,0.3901019876782231,0.36894863878833173,0.36194981773147206,0.33226536591192374,0.3229324225678411,0.32381617036720167,
GP,haberman,4,(L*(L+(L+(L+(L*L))))),0.0,74.51612903225806,75.17186673717609,75.49973558963511,75.49973558963511,75.49973558963511,75.49973558963511,75.5156002115283,76.1448968799577,76.1448968799577,76.15018508725542,76.50978318350079,76.50978318350079,78.08038075092544,78.08038075092544,0.0,2.119432735314445,0.2745125471819474,0.49620155044377234,0.4582407842837727,0.4582407842837727,0.2888128937981053,0.44636950559942523,0.44636950559942523,0.37567269807917086,0.31559454048380464,0.31559454048380464,0.3669425122844005,0.3469699803794926,0.7153394583742039,
GPBUMDA,haberman,4,((L*((L*L)+(L*L)))+((L+(L*L))*L)),0.0,74.18826017979904,74.18826017979904,75.82760444209413,75.82760444209413,75.82760444209413,78.40296139608672,78.40296139608672,78.40296139608672,78.40296139608672,78.40296139608672,78.46113167636172,78.46113167636172,78.46113167636172,78.46113167636172,0.0,0.3290048423736934,0.15689178950614574,0.2418208070247345,0.5422440649985418,0.4601294468989884,0.5317915231093053,0.7921641722355944,0.8584372902681745,0.8657597648029843,0.9161250569431058,1.0106299861477224,1.0541687672071804,1.1020013239073805,1.0920258352995516,
