Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAc,haberman,5,15,No Implementado,2610,893,1.4334841049364972,1.3454385478114879,5,0.6293260245896874,1.3978319554998242,1.7314087553696509,76.15018508725542,0.5563800602208097,40.03325178349103,0.0,118,((R+P)+L)
GPc,haberman,5,15,No Implementado,2614,49,1.764461010948839,1.160786361907572,2,0.9604386330672519,1.4919154808007418,3.4495870507984696,75.81702802749868,0.5563834058213449,39.28367102385956,0.0,11,R
GPEDAc,haberman,2,15,No Implementado,2612,953,22.727945750082604,1.4872624315848002,5,-0.5300278699242588,1.0545850828934715,0.8260969341380779,79.0481226864093,0.5187955838072934,49.13259511705844,0.0,348,(((L+L)+(L*L))*L)
GPBUMDAc,haberman,2,15,No Implementado,2618,1577,15.189643720836113,1.0362154870441045,2,-0.6979701869493289,1.78647766870536,1.0128939897972598,77.7895293495505,0.52288056206089,45.82760716156788,0.0,515,(L+((L+(L*(L+(((L*L)*L)+((P*L)+(P+P))))))+((L*(L+L))+L)))
GPc,haberman,3,15,No Implementado,2604,2562,5.0704341007161915,1.0467002169953274,6,-0.18588245695232075,0.3253807457356974,3.96536023144409,77.46694870438921,0.5359350953496153,44.29767700840827,0.0,146,(L*(((L*L)*L)+L))
GPEDAc,haberman,3,15,No Implementado,2620,1780,19.35900459752276,0.10972651519528588,4,0.46417466502558064,1.3977989113727018,3.370059487508847,77.4669487043892,0.5375677484108398,44.20164317611979,0.0,90,(L*((L*(R*R))*R))
GPc,haberman,2,15,No Implementado,2636,2344,0.9948693248894678,1.689373128751339,6,0.713601746792601,1.7545210336778685,1.835216894264808,78.11739820200951,0.542485781197725,45.46587778543329,0.0,312,(((P+((L*(L+(((L+(L+(L*L)))*L)+(L+((L*L)+L)))))*P))+L)*(L+(L+(L*L))))
GPEDAc,haberman,4,15,No Implementado,2606,1764,8.906580926701093,1.971913022328655,4,0.2862952182673936,0.6565300649022816,2.667977820377813,77.13379164463247,0.5302040816326531,43.84508564603931,0.0,131,(L+(L+(L+(((L*L)*L)*L))))
GPc,haberman,4,15,No Implementado,2614,2374,20.936442254386176,0.6078898653429669,1,-0.8017039710664295,1.3578760979705649,4.709817766422821,78.08038075092544,0.5171361659417866,46.8588128893595,0.0,300,(L*(L+(L+(L+(L*L)))))
GPBUMDAc,haberman,4,15,No Implementado,2616,2017,25.407898810791725,0.4095408415093933,1,-0.19415724776421311,0.6829091126723223,1.9673239723092417,78.46113167636172,0.5212177985948478,47.54958576479018,0.0,628,((L*((L*L)+(L*L)))+((L+(L*L))*L))
GPBUMDAc,haberman,3,15,No Implementado,2634,2123,18.21996214524391,0.23099308349761388,1,0.9339066634345301,1.1205230232333705,2.955586547750527,78.77842411422527,0.5367480762796921,47.41676939973908,0.0,78,(L*(R*L))
GPc,haberman,1,15,No Implementado,2576,727,14.347390893605318,3.6084760453833553,3,0.5247025979947253,1.157254734010403,2.8264268447865466,75.82760444209413,0.5433054533288726,40.07562198328594,0.0,18,L
GPEDAc,haberman,1,15,No Implementado,2616,295,9.047403447188092,2.737676526845877,3,-0.292521488159493,1.3069176985797164,2.4612366320449555,76.81121099947117,0.4363466042154568,48.15399452774752,0.0,12669,((P*L)*(L*P))
GPBUMDAc,haberman,1,15,No Implementado,2604,1335,13.578007644703566,1.7849887849180868,6,-0.05571140027653876,0.7751200856646401,2.9853995139842913,76.48334214701217,0.5016527266644363,43.940183699333296,0.0,6338,(((P*P)*L)+P)
