Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,haberman,2,(E+H),0.0,76.467477525119,76.80592279217345,76.80592279217345,77.13379164463247,77.13379164463247,77.13379164463247,78.11739820200953,78.11739820200953,78.11739820200953,78.11739820200953,78.11739820200953,78.11739820200953,78.11739820200953,78.11739820200953,0.0,1.9178383995323665,0.8784335125462484,0.35934568607334283,0.32200742329177057,0.28325631531274525,0.24575404095473444,0.21557891618773717,0.2778862260901195,0.3386914088410795,0.3732061538534093,0.4253490801249382,0.4525687675035148,0.47391279887585686,0.4747942242892901,
GPEDA,haberman,2,(G+H),0.0,77.4669487043892,77.4669487043892,77.4669487043892,77.4669487043892,77.4669487043892,77.4669487043892,77.4669487043892,78.44526705446853,78.44526705446853,78.44526705446853,78.44526705446853,78.44526705446853,78.44526705446853,78.44526705446853,0.0,1.2014800277063378,0.5498785257349148,0.5750560696436324,0.5094668461630061,0.4169497900949812,0.4277003724646561,0.3890070275930889,0.29128375153177477,0.36019945362148376,0.3301908530984011,0.35913741605652877,0.41782326317666435,0.4695928080453322,0.47927615274559127,
GP,haberman,4,E,0.0,74.50555261766262,75.17186673717609,75.17186673717609,75.17186673717609,75.17186673717609,75.17186673717609,75.17186673717609,75.17186673717609,75.46800634584875,75.46800634584875,75.46800634584875,75.46800634584875,75.46800634584875,75.46800634584875,0.0,3.69552037486733,1.106046304478095,0.4951052727301837,0.43568902883944227,0.35104303853527824,0.35104303853527824,0.359717900841165,0.33200738399718704,0.34247103319338823,0.31571219390241295,0.31571219390241295,0.309428658101711,0.22649830786358555,0.22649830786358555,
GPBUMDA,haberman,1,((H*(H+H))+E),0.0,76.15547329455315,76.47805393971444,76.48334214701217,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,0.0,1.9105319255944346,0.7491622440091416,0.6571045759240576,0.4539819385103587,0.4848017134934207,0.4967821408283818,0.5396601023807606,0.5544764028902995,0.53331683806077,0.5220150586990069,0.5083545364653976,0.5067251353258315,0.5547295504146478,0.5477452543811125,
GPEDA,haberman,5,((H+H)+(E*H)),0.0,74.83870967741936,76.13960867265997,76.13960867265997,76.13960867265997,76.13960867265997,76.13960867265997,76.13960867265997,76.13960867265997,76.1448968799577,76.47805393971444,76.47805393971444,77.77895293495506,77.77895293495506,77.77895293495506,0.0,1.0918174532259601,0.4486722007304452,0.4809450072733099,0.4484173287810662,0.4413268006263105,0.44053193077165226,0.36082163449879334,0.26125191309180984,0.22496270034318436,0.08693632663981554,0.09170428467280985,0.13434128346727794,0.5734334974806853,0.6130251207817852,
GPBUMDA,haberman,5,(E*G),0.0,74.84399788471708,75.49973558963511,76.467477525119,76.467477525119,76.467477525119,76.467477525119,76.795346377578,76.795346377578,76.795346377578,76.795346377578,77.77366472765732,77.77366472765732,77.77366472765732,77.77366472765732,0.0,2.264032375780722,0.5728142630312031,0.3966525009959707,0.42446388463706874,0.41105975870445727,0.4089966893380833,0.40104617742708987,0.4129127528460682,0.45188299984513053,0.422732324886773,0.3418929312461979,0.2830088449568596,0.34269658238621553,0.3254095616853843,
GPBUMDA,haberman,3,(E+G),0.0,75.8223162347964,75.8223162347964,75.82760444209413,76.47805393971444,76.47805393971444,76.47805393971444,76.80592279217345,77.12850343733474,77.13379164463247,77.13379164463247,78.76784769962983,78.76784769962983,78.76784769962983,79.09571655208885,0.0,2.049270945797646,0.5953023698728672,0.5270510220653286,0.5265391921074616,0.5150983624993953,0.44210747182374394,0.36190149516359355,0.25421633432219853,0.18845177724074605,0.09840119534694525,0.14998417875712114,0.3831137298502107,0.4692532281299621,0.5482911665811991,
GPBUMDA,haberman,4,E,0.0,75.16129032258064,75.16129032258064,75.16129032258064,75.16129032258064,75.48915917503966,75.48915917503966,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,75.81702802749868,0.0,2.034448276088101,0.600916510099602,0.5727189254213448,0.46257880089669917,0.12064876494230234,0.06490119459780948,0.08985163529634227,0.15335553979639513,0.19253365305103434,0.20874454495716746,0.2356510105404112,0.27428718735511126,0.28755163048808846,0.3028138649850725,
GP,haberman,3,E,0.0,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,77.79481755684823,0.0,2.893558619528823,1.430356843722628,0.4933728613970139,0.35188123958676787,0.9674073855386041,1.0596700587604362,0.9939643536968095,0.9323663706314459,1.0074155655773993,1.0412532540858754,1.0478718320741285,0.9972683875411359,0.9576842440358337,0.9662026578847692,
GP,haberman,2,(E*H),0.0,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.12850343733474,77.78424114225278,77.78424114225278,77.78424114225278,0.0,3.01076863614065,1.6666767158148312,0.8237351136941672,0.5680243233068559,0.5698681323425132,0.5116730779849231,0.5138102762999053,0.4313208663283702,0.4313208663283702,0.4226579824976178,0.3160699877745804,0.3160699877745804,0.3160699877745804,0.3336508641799754,
