Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,haberman,2,15,No Implementado,2600,1215,29.99061130116394,2.4666860242008632,3,0.4595453840592004,0.9662013900629514,1.8063004447709952,78.11739820200953,0.5220608899297424,46.665210661780705,0.0,100,(E+H)
GPEDAb,haberman,2,15,No Implementado,2604,1498,13.34847688404597,1.3792638929456191,4,-0.22560733239924136,1.2525122385890386,2.340784385848636,78.44526705446853,0.5408631649381064,46.357201104557454,0.0,103,(G+H)
GPb,haberman,4,15,No Implementado,2618,1604,31.4702936794431,1.2162961269112003,1,-0.5139161259680485,0.4389550519756873,1.8269759433827437,75.46800634584875,0.5195717631314821,40.62322563017571,0.0,7688,E
GPBUMDAb,haberman,1,15,No Implementado,2608,721,8.467057362874725,1.2482680245226736,3,0.5796984642345107,1.2487782941927252,3.5582226298465796,77.79481755684823,0.5228504516560724,45.84203683344885,0.0,187,((H*(H+H))+E)
GPEDAb,haberman,5,15,No Implementado,2586,2215,2.3392871864540714,2.57506673515576,3,-0.6196910963359725,1.6667672451134912,2.710146990290406,77.77895293495506,0.5367614586818334,44.992466124253255,0.0,97,((H+H)+(E*H))
GPBUMDAb,haberman,5,15,No Implementado,2632,1984,22.756028258997066,2.0868410567414517,2,-0.18266192948537996,1.8572805437695945,3.8899989007832003,77.77366472765732,0.5310471729675477,45.31533338341619,0.0,68,(E*G)
GPBUMDAb,haberman,3,15,No Implementado,2614,2619,28.238266674248877,1.8566333522328478,2,0.48234609884345336,0.6637494851394445,1.6905922083295033,79.09571655208885,0.5342990966878555,48.34426584851075,0.0,78,(E+G)
GPBUMDAb,haberman,4,15,No Implementado,2646,1342,28.901035020093452,1.5994004461078561,2,-0.2538817276337638,1.108655896411171,0.012006031144694645,75.81702802749868,0.5171763131482101,41.544812038695675,0.0,5219,E
GPb,haberman,3,15,No Implementado,2624,274,1.9521812493078023,2.2734163727303733,1,-0.6354742845368091,0.1352226822203807,0.6477834365682544,77.79481755684823,0.5294078287052526,45.461721840337724,0.0,8,E
GPb,haberman,2,15,No Implementado,2638,2279,4.811145940056949,2.608716685088024,3,-0.3888136718516024,1.837490521316916,2.67258515482161,77.78424114225278,0.5383974573435932,44.90848472765642,0.0,47,(E*H)
GPb,haberman,1,15,No Implementado,2618,711,29.96265701475561,3.5372591192297627,3,0.8718808302950201,1.807220687477661,4.803836308657231,78.74140666314119,0.5498260287721646,46.540480332000016,0.0,68,G
GPEDAb,haberman,4,15,No Implementado,2600,237,26.853191515026772,3.2704834057077647,1,0.09270318511534383,0.8297381172558445,2.464042327795388,77.08090957165521,0.5751990632318501,41.01839060364773,0.0,93,(G+G)
GPb,haberman,5,15,No Implementado,2596,1387,31.162185928905416,2.5825240462374977,2,-0.15496740902972395,0.6945243238582248,1.8983111705424278,76.46218931782126,0.500033456005353,43.98036505204668,0.0,112,(E*G)
GPEDAb,haberman,1,15,No Implementado,2596,1683,9.086943950168836,2.493571522222423,3,-0.18270053402880798,1.628259259666626,3.7314433811959695,76.80592279217345,0.5400267648042824,42.50488182142332,0.0,12,G
GPEDAb,haberman,3,15,No Implementado,2664,1258,27.282147680550807,2.249751730531458,5,0.1727808667641078,1.7886035525397947,1.9830560753244553,76.80063458487572,0.5588223486115756,41.37355021409191,0.0,87,G
