Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,heart,4,L,0.0,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,0.0,9.254268284498819,2.7795056354509184,2.0038919607607406,0.829629629629241,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,0.20095792543979238,0.24071224903554045,0.2715600411901561,
GP,heart,1,(H+((R*((R*L)+L))+L)),0.0,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.55555555555554,85.92592592592591,85.92592592592591,86.29629629629629,86.29629629629629,0.0,8.295026357829625,1.9431706586157995,0.8133319840785477,0.7311977883986898,0.7311977883986898,0.6789001029544581,0.5749217159073288,0.41269298598776843,0.42059465382785977,0.4057204129665775,0.4354648431628803,0.46848557928363577,0.4949123878098827,0.4100252593456957,
GP,heart,2,((L+W)+W),0.0,84.81481481481482,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.55555555555557,85.55555555555557,85.55555555555557,0.0,8.94186681668611,2.3473885907877925,0.9628489961057951,0.4722185911307956,0.28650488306081046,0.2407122490374296,0.18144368467657612,0.20951312036781114,0.14814814815809785,0.14814814815809785,0.15817893707447653,0.18384701697875985,0.20951312034827668,0.1649707959213135,
GPEDA,heart,5,L,0.0,84.44444444444443,84.44444444444443,84.81481481481481,84.81481481481481,84.81481481481481,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,0.0,1.9014974966487799,1.5717673730237356,0.44345569028132786,0.10047896273573648,0.13578002060763736,0.158178937088851,0.43847847666032547,0.5076101244235092,0.5208413579722182,0.5394708579605169,0.5166102451650025,0.5329216518156403,0.5292021066564201,0.36409498452129346,
GPBUMDA,heart,2,(((G+R)+R)+(K_11*W)),0.0,85.18518518518519,85.18518518518519,85.18518518518519,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555557,85.55555555555557,85.55555555555557,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,0.0,3.873803265884298,1.8636958708182798,0.5659644116573787,0.48636969404372565,0.3175484562346347,0.28433920574863913,0.24817012069892072,0.25920523733706524,0.25363732468386524,0.22057842813407047,0.26178445745350326,0.28433920574864263,0.2932572496641748,0.2681239823614683,
GP,heart,5,(L+(L+P)),0.0,84.44444444444444,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,84.81481481481481,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,0.0,8.952439490971605,2.3152858779956977,2.5358878175740123,1.2807747997965102,0.1357800206243831,0.1727689450562696,0.18384701699607442,0.18503697775366185,0.18503697775366185,0.18503697775366185,0.18503697775366185,0.18503697775366185,0.18503697775366185,0.21672205688257346,
GP,heart,3,((L+H)+H),0.0,85.18518518518519,86.29629629629628,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,0.0,9.472796948640653,1.8375148721437962,1.3333333333335229,0.9175622262040594,0.8160260357895508,0.6875734154592842,0.7049112446465836,0.6830898893863468,0.6197481677995151,0.5374328043640998,0.4153435783377484,0.4153435783377484,0.31286980862427816,0.23424278964133255,
GPEDA,heart,4,G,0.0,84.44444444444443,84.81481481481481,84.81481481481481,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.92592592592591,85.92592592592591,86.29629629629628,86.29629629629629,0.0,2.08988681180258,1.8285346851105784,0.4329374576612054,0.14814814817037603,0.27477388135912667,0.2977740924869035,0.3429877600866695,0.3580161770005897,0.35801617699931954,0.33126933000025316,0.18144368463146324,0.10047896264974633,0.12035612446959627,0.2227155018774529,
GPBUMDA,heart,5,((W+G)*H),0.0,85.55555555555556,85.55555555555556,85.55555555555556,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,87.03703703703704,0.0,3.7022593558539167,2.40173153775944,0.8294905094739244,0.3595548206235864,0.6181650927710339,0.7011729249430956,0.7485977095127186,0.7727041016194723,0.765862657204076,0.7073343179634963,0.7133640200762946,0.7033654036940084,0.7098627775649604,0.7229921316237612,
GPBUMDA,heart,1,((R+L)+(H+(H+(R*((R+K_11)*(W+L)))))),0.0,85.18518518518518,85.18518518518518,85.18518518518518,85.18518518518518,85.55555555555554,85.55555555555554,85.55555555555554,85.55555555555554,85.55555555555554,86.66666666666666,86.66666666666666,86.66666666666666,86.66666666666666,86.66666666666666,0.0,2.8893052549074785,1.1632752556599266,0.906724471998238,0.7800958072460081,0.6544183669976332,0.5531061592377182,0.4394401624151717,0.2775635070973822,0.13817527539466776,0.12981844332872525,0.31400229864588747,0.39031695787561405,0.47300517159929234,0.4892963742706133,
