Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPa,heart,4,15,No Implementado,2660,2160,28.704085514540218,0.9608470969131562,4,0.3636357011403355,0.43295409938960083,4.540550005898608,85.55555555555556,0.36018518518518516,73.20080309915394,84.71661702022502,153,L
GPa,heart,1,15,No Implementado,2614,2365,12.12240085422454,2.20738731597809,1,-0.2119039510952081,0.8650890965398712,0.1973034929967632,86.29629629629629,0.7305555555555556,52.638657857189386,86.10391497303208,140,(H+((R*((R*L)+L))+L))
GPa,heart,2,15,No Implementado,2624,2223,0.4344501632731408,1.5978145782214006,3,0.8062388095256345,1.5798095736866107,0.04950393577362766,85.55555555555557,0.47777777777777775,68.07027016355117,84.70382121072751,75,((L+W)+W)
GPEDAa,heart,5,15,No Implementado,2614,1143,18.504593772572534,3.1803824861747128,6,0.8050444050235307,0.7087796651424416,1.8607565322329056,85.92592592592592,0.3935185185185185,72.77832004367497,85.2294088348571,5166,L
GPBUMDAa,heart,2,15,No Implementado,2634,1804,4.3103885373601845,3.4082364384244364,2,-0.050377956361984534,1.0972301003262783,2.133460390462094,86.2962962962963,0.8333333333333334,40.953697204470366,85.92297162337243,199,(((G+R)+R)+(K_11*W))
GPa,heart,5,15,No Implementado,2610,1374,15.702052954472794,1.5973777626285384,3,-0.33506664383641604,1.1047704296466814,4.166879798752792,85.18518518518518,0.387037037037037,71.23272825985981,84.84499907595757,131,(L+(L+P))
GPa,heart,3,15,No Implementado,2626,578,25.473883957085075,2.2387660684856,4,0.04777182498865695,0.49332242713823776,1.348270415288706,86.66666666666667,0.4046296296296297,74.11948440706657,86.20070730795723,165,((L+H)+H)
GPEDAa,heart,4,15,No Implementado,2618,2561,11.989436785145507,3.0925716341806475,2,0.1473613955610599,0.33971873540075664,2.3004016050900504,86.29629629629629,0.47870370370370374,69.90958716360228,85.44003952700358,56,G
GPBUMDAa,heart,5,15,No Implementado,2624,782,12.077212936944605,1.583354199700738,2,-5.143162415507316E-4,0.5591067897729198,3.6068559522934334,87.03703703703704,0.6796296296296297,59.18822932968551,86.49704751948043,248,((W+G)*H)
GPBUMDAa,heart,1,15,No Implementado,2594,1913,15.913259976098088,1.9729827158983129,6,-0.08928185904027158,0.08585150288799764,2.781435088641485,86.66666666666666,0.7546296296296295,51.23721018524342,85.98095611089873,478,((R+L)+(H+(H+(R*((R+K_11)*(W+L))))))
GPEDAa,heart,3,15,No Implementado,2628,1862,13.159143705120126,2.693954932278656,6,0.7208109196804173,0.42544341067284797,2.2327297871144727,87.40740740740742,0.4212962962962964,75.21385206036818,87.00615456558015,99,(H+P)
GPBUMDAa,heart,3,15,No Implementado,2626,1807,13.598938809841767,2.148292633182113,6,0.2278712137729348,1.5121151821824643,1.845463669831155,87.77777777777779,0.4231481481481481,76.01676062017185,87.24841136466958,3691,H
GPEDAa,heart,1,15,No Implementado,2626,1219,9.479571739336173,0.25523815442621467,6,0.2956751460879031,0.8197457701133714,1.9006105401349704,85.55555555555554,0.4916666666666667,67.37198560315359,84.74245404546345,6991,H
GPBUMDAa,heart,4,15,No Implementado,2626,1608,2.914507529468064,0.05006295863578343,2,0.5258836148227694,0.7271054491574717,4.994537571943783,86.29629629629628,0.487962962962963,69.45435240780078,85.21617264320594,56,G
GPEDAa,heart,2,15,No Implementado,2626,2475,8.705856911813068,2.0082559064768577,2,0.15711928343717374,0.30392422848750106,3.3926881864011507,86.66666666666667,0.8009259259259259,46.035100933706644,86.0249005367161,91,((H+W)+(K_13*R))
