Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAc,heart,2,15,No Implementado,2636,2595,8.939833981173113,2.535365069820295,2,-0.1641422442114726,1.3991719112735796,1.55855720784578,87.40740740740742,0.8296296296296297,44.25573647076156,87.21546628435888,2506,(((L*R)+(L+(L*((L+(L*R))*R))))+(((L+(L*R))+((L*R)*R))+(L*R)))
GPBUMDAc,heart,1,15,No Implementado,2616,2224,0.5909450335115699,2.6812873024407815,2,0.39228433736274976,1.7415440185391027,4.331200351570537,85.18518518518519,0.462037037037037,67.89352819852914,84.48092788725504,6660,(R+L)
GPEDAc,heart,2,15,No Implementado,2628,1504,5.492304038771224,2.5731401609488045,5,-0.9633160571408188,1.227851625002322,3.821569635294118,85.92592592592592,0.638888888888889,59.33305867982413,85.5932737637975,87,(L+(L*(L*R)))
GPc,heart,2,15,No Implementado,2628,1126,5.773875697155656,3.37968187042034,3,0.41799427378132625,0.7097233141853516,3.9479459453851034,85.55555555555556,0.9055555555555556,28.580235304002727,85.27462981227966,125,(L+((R*L)*L))
GPEDAc,heart,1,15,No Implementado,2634,1615,14.85902635423976,4.0,4,1.0,1.1231629609743536,2.00236790074802,84.44444444444444,0.5731481481481481,59.81674947431777,83.68031080691789,53,(R+L)
GPEDAc,heart,3,15,No Implementado,2626,846,0.611185010645945,1.5626986796051228,2,-0.020151645708073374,1.5238975842049642,3.172634007288145,85.55555555555557,0.3611111111111111,73.16516629132958,84.88185581302776,17475,L
GPc,heart,4,15,No Implementado,2656,2137,21.726137001750583,0.8482806811603335,5,-0.9917272611323946,1.965324282102465,4.306560421602979,85.18518518518519,0.9111111111111111,26.973887275343888,84.70717445637615,247,(L+(R*(((((L*((L*R)+(P*L)))+(P*L))*R)+(P*(R+L)))*R)))
GPBUMDAc,heart,5,15,No Implementado,2624,1062,2.4836727747673653,1.6923835608127882,4,0.11374122276748722,1.8870007832206022,2.1666987849559574,84.81481481481481,0.36574074074074076,71.18734178470638,83.71322942605067,24,L
GPEDAc,heart,5,15,No Implementado,2626,2473,0.46073737630476935,2.51535305726641,1,-0.7342078968511845,1.4984825227637724,2.588584006229278,84.07407407407406,0.3907407407407407,68.32635589750804,83.60235103457902,18,L
GPBUMDAc,heart,3,15,No Implementado,2598,1866,13.837770848111353,2.4446981351250083,1,-0.3269329847693761,1.1428144853570181,2.7462429813976836,85.18518518518519,0.6583333333333334,55.85061365176368,83.86268256988512,270,((((R*L)*(R*R))+(P+(P+L)))+(P+((((R*L)+P)*(R*R))+(P+(L+L)))))
GPc,heart,1,15,No Implementado,2628,1611,31.113842276069903,2.808317410136204,5,7.829095390397001E-4,0.4604589757410203,3.4448236899558498,84.81481481481481,0.65,55.48828751276314,83.59211342764121,62,((R*R)+L)
GPc,heart,3,15,No Implementado,2612,811,0.12613229107500956,0.1780014938172002,3,-0.21354405539141852,1.6687048703368754,0.901468039176615,84.81481481481482,0.42592592592592593,68.63807669891894,83.43075585619984,53,((((R*R)+L)+L)+L)
GPEDAc,heart,4,15,No Implementado,2612,1073,2.308599976051495,2.728326827137697,4,-0.32793975103184914,0.04009811376820405,3.1649602080531563,85.18518518518518,0.3675925925925926,72.0163911683598,84.35998713789823,40,L
GPBUMDAc,heart,4,15,No Implementado,2606,1139,19.594601031300197,1.636862554808413,3,1.0,1.4587200216383378,4.829700268490994,85.55555555555557,0.3583333333333333,73.27187663990142,84.1973197828064,93,L
GPc,heart,5,15,No Implementado,2632,407,0.4394791883824638,3.0583031075137774,2,-0.9026062324959379,0.10326774112780542,3.7292215593521854,84.07407407407406,0.3935185185185186,68.2072708833254,83.60235103457902,6,L
