Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,heart,2,H,0.0,85.55555555555557,85.92592592592594,85.92592592592594,85.92592592592594,85.92592592592594,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,0.0,6.08551767536905,2.8099763483319737,2.275123415757653,1.4439695325642707,0.9004190458684177,0.4814244980521891,0.4814244980521891,0.3549377348280205,0.27477388134423175,0.24612218852940257,0.24612218852940257,0.24522882010576874,0.17276894502994847,0.17276894502994847,
GP,heart,1,H,0.0,85.55555555555556,85.92592592592592,85.92592592592592,85.92592592592592,86.29629629629629,86.29629629629629,86.29629629629629,86.29629629629629,86.29629629629629,86.29629629629629,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,0.0,7.902700481298854,2.234730230786776,1.5752544593790943,0.9258962958234596,0.5710914153313044,0.48096838757736143,0.43847847665202866,0.4179773623602985,0.37595785304362467,0.37595785304362467,0.40572041296209416,0.45662325947648813,0.3518323581288236,0.3518323581288236,
GPEDA,heart,1,G,0.0,85.92592592592591,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592592,86.29629629629628,86.29629629629628,86.29629629629628,86.29629629629628,0.0,1.9506110329635535,1.049031168420069,0.485510210616376,0.28650488303382765,0.18144368462394442,0.18503697770942498,0.18384701695649827,0.16629588385066973,0.14814814814581967,2.3360154559928683E-6,2.3360154559928683E-6,0.10047896273121068,0.1357800206176848,0.1581789370831012,
GPBUMDA,heart,2,H,0.0,84.81481481481481,85.18518518518519,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,0.0,3.414440779979682,2.0481724736320186,1.0681017222011926,0.7987840229047913,0.6329775620237138,0.4541642654847528,0.4470194535473475,0.4166141307164958,0.41154358726777235,0.39516403057318356,0.32175225913661987,0.2274516726658262,0.1215780330234541,0.13715851930386927,
GPEDA,heart,2,H,0.0,84.81481481481481,84.81481481481481,85.92592592592594,85.92592592592594,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,86.2962962962963,0.0,2.5451317202167227,1.2380789579732223,0.6169085278097497,0.5390638636671089,0.3759578530460438,0.3958633841687017,0.13578002059089161,0.15817893706872677,0.17276894503784482,0.18384701698865388,0.18503697774383143,0.18384701698370687,0.17276894503784482,0.10047896271763329,
GP,heart,4,((W+G)*H),0.0,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,0.0,7.090959100165342,2.9631851768521247,2.914417121912068,1.9175887923137813,1.0019459803805972,0.5737753105513246,0.45662325948246346,0.34553789007174146,0.25054125223086054,0.18503697773154343,0.18503697773154343,0.18503697773154343,0.12744185579968437,0.12744185579968437,
GPEDA,heart,4,(W+H),0.0,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,0.0,2.9096688539256332,2.3654578724852504,1.0728217475686657,0.561010258624411,0.3628873693067862,0.25054125223449064,0.23424278964521525,0.24071224902987293,0.23236129098213198,0.2217278451381003,0.1662958838452006,0.1814436846439946,0.1838470169688658,0.1581789370457276,
GPBUMDA,heart,4,(W+G),0.0,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.92592592592592,85.92592592592592,85.92592592592592,85.92592592592594,85.92592592592594,85.92592592592594,85.92592592592594,85.92592592592594,0.0,3.417382925140902,2.464279427723968,1.8479018728310932,1.3244220899344623,0.9232765389423558,0.5673477066263296,0.33671748049181616,0.3261594377749877,0.2921094673747622,0.3182529461881242,0.3762942343369095,0.4352796127520382,0.4432460085512584,0.41011260101053093,
GPBUMDA,heart,5,H,0.0,85.55555555555557,85.92592592592591,85.92592592592591,85.92592592592591,86.29629629629628,86.66666666666666,86.66666666666666,87.03703703703702,87.03703703703702,87.03703703703702,87.03703703703702,87.03703703703702,87.03703703703702,87.03703703703702,0.0,3.718789756151902,2.611088061623325,1.1579687554805318,0.41452582618400213,0.275538946831742,0.08885107888989427,0.21164019004427306,0.08885107888989804,0.17323496162185448,0.222096187515068,0.2395604289449413,0.2549583613522417,0.26864552337631986,0.30154085491888993,
GP,heart,3,(G*G),0.0,84.44444444444443,84.44444444444443,84.44444444444443,84.44444444444443,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,0.0,5.593333284284153,1.4590900447103528,1.6158338612646967,1.22936186285826,0.9539176315262033,0.755410298307801,0.6399588464098094,0.5832598425207517,0.5292021066504049,0.5132002392769178,0.48551021061262944,0.3991761062362003,0.4073400617771404,0.3930814566425573,
GPBUMDA,heart,3,G,0.0,83.33333333333334,84.07407407407409,84.81481481481482,84.81481481481482,84.81481481481482,85.18518518518519,85.18518518518519,85.18518518518519,85.55555555555557,85.55555555555557,86.66666666666666,86.66666666666666,86.66666666666666,86.66666666666666,0.0,2.997240944115339,1.841452092786521,0.9897432176165879,0.8162564574779242,0.5271922724305284,0.35295403975481876,0.3626558251782971,0.27887158959883757,0.18465530778846875,0.19811262768759064,0.1496522135519166,0.31886809811469974,0.317812822970778,0.36009942414771956,
GP,heart,5,G,0.0,85.92592592592591,86.29629629629628,86.29629629629628,86.29629629629628,86.29629629629628,86.29629629629628,86.29629629629628,86.29629629629628,86.29629629629628,86.29629629629628,86.2962962962963,86.66666666666666,86.66666666666666,86.66666666666666,0.0,6.077578031791155,3.1907273059190984,1.557318225306607,0.7944940846113017,0.6172641972169494,0.4100252593490229,0.37944439925013107,0.26335390865961905,0.2566001196428894,0.22271550190195485,0.18144368465401967,0.18144368465401967,0.23424278964521525,0.1954208290065641,
GPEDA,heart,3,G,0.0,84.07407407407409,84.81481481481482,85.18518518518519,85.18518518518519,85.18518518518519,85.18518518518519,85.55555555555554,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,85.55555555555557,0.0,2.0115441863692207,1.1866657418985693,0.9247103131454779,0.6625386600011928,0.46235515657544374,0.2865048830623977,0.15817893706297698,0.10047896269500431,0.13578002057079674,0.1662958838452006,0.1814436846439946,0.18503697772662822,0.17777777776812828,0.16629588384793517,
