Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPb,heart,2,15,No Implementado,2608,1167,11.823502256537203,3.3737957491004065,6,-0.031624321129222865,1.0253946837832282,0.02276013235968266,86.2962962962963,0.425,72.3665299392103,85.810912376355,62,H
GPb,heart,1,15,No Implementado,2638,2106,16.542259251206147,1.378447318653994,6,-0.8194443195285219,0.6445627804577697,3.111449737949352,86.66666666666667,0.42407407407407405,73.3121477596208,86.10802210966781,64,H
GPEDAb,heart,1,15,No Implementado,2602,1952,9.09915646654407,2.749895044426526,2,0.14846200384169447,1.6939870067532465,5.0,86.29629629629628,0.4981481481481482,68.94193697810401,85.60152329970451,46,G
GPBUMDAb,heart,2,15,No Implementado,2618,1901,13.293998198642381,3.9868200472849606,6,0.5403778054963948,1.1032361239862931,2.274560549062142,86.66666666666667,0.425,73.27282429496425,86.31074038320791,7878,H
GPEDAb,heart,2,15,No Implementado,2634,848,12.056157732218576,2.594189841470793,6,0.4804930649299172,0.8302760405282276,0.6519004148305241,86.2962962962963,0.425,72.3665299392103,85.810912376355,67,H
GPb,heart,4,15,No Implementado,2616,2075,0.33578504846484947,1.8570770920519353,3,0.24119097883148055,0.6151797568457227,3.696325115958752,85.55555555555556,0.6972222222222222,53.663921585720686,84.94205435927412,239,((W+G)*H)
GPEDAb,heart,4,15,No Implementado,2628,2028,31.936550594917733,1.9880802868851164,4,0.20870757878676272,0.5713634197569466,1.2958146556822994,85.55555555555557,0.8037037037037038,42.81899361486441,85.01197434706452,166,(W+H)
GPBUMDAb,heart,4,15,No Implementado,2648,1858,26.824068981171038,2.7812263782376427,1,-0.05559939679190262,0.5588605763093921,1.4025065344643841,85.92592592592594,0.95,21.512551704682053,85.25032008020075,105,(W+G)
GPBUMDAb,heart,5,15,No Implementado,2644,1554,10.749331978110382,2.1640213701579984,4,0.395714444841917,1.3268062346072955,1.826444051613798,87.03703703703702,0.4185185185185185,74.44138275092519,86.35778379375657,74,H
GPb,heart,3,15,No Implementado,2618,909,1.3699163142152386,3.758831533601739,2,0.8985921208246177,0.0773096360896562,1.556608616814532,85.18518518518519,0.4731481481481481,67.35118370438406,84.48500100602693,72,(G*G)
GPBUMDAb,heart,3,15,No Implementado,2642,2051,3.01267086532098,3.445331686174005,2,0.8649090831150947,0.3009099569173056,3.035210728422265,86.66666666666666,0.48703703703703705,70.43852802607601,85.86944476834931,84,G
GPb,heart,5,15,No Implementado,2602,2210,1.4388792446269036,1.2986023793009696,5,0.8909144431694633,1.2520166284610972,2.3403219173257335,86.66666666666666,0.5018518518518518,69.69810423974359,85.67855912962014,193,G
GPEDAb,heart,3,15,No Implementado,2616,1504,3.747549781729941,0.8831691410658346,2,0.9766981205468511,0.6843592079043904,2.4851154002506197,85.55555555555557,0.45555555555555555,69.142788868285,84.78350806397403,75,G
GPEDAb,heart,5,15,No Implementado,2638,1538,10.786193752991174,3.0612869554021844,4,0.6175720929225565,0.5667665044140034,2.7117782393078445,86.66666666666667,0.41574074074074074,73.6624201845269,85.9842364220252,41,H
GPBUMDAb,heart,1,15,No Implementado,2642,633,6.632859505846528,2.889546623710788,2,0.16337730189299068,1.0E-4,1.0150685533150428,86.66666666666666,0.512962962962963,69.12499964080092,85.9171014627864,46,G
