Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,immunotherapy,2,(L+L),0.0,84.60612315101478,84.60612315101478,84.60612315101478,84.60612315101478,85.65875472996215,85.65875472996215,85.65875472996215,85.65875472996215,85.65875472996215,85.65875472996215,85.65875472996215,85.65875472996215,85.65875472996215,85.65875472996215,0.0,4.039483682352738,2.1237397369624023,2.2086278562887585,0.01586509948866053,0.021438950615501478,0.2994334789808355,0.3582385689351677,0.46973882145331924,0.4906931088737608,0.5060422842778778,0.5359737654935933,0.5225125745715907,0.5225125745715907,0.5225125745715907,
GPBUMDA,immunotherapy,2,(L+(L+(H+L))),0.0,84.54764361885104,85.65875472996215,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,0.0,2.159289841297795,2.0800976758880636,1.1962354654225456,0.5282191452457006,0.7279967258216108,0.9562717981823984,1.0424024010224846,0.4784821126796022,0.20836699318243973,0.25252411895022947,0.318995507834349,0.34553756754034687,0.36895768103953935,0.42532734377913156,
GPBUMDA,immunotherapy,3,(L+H),0.0,83.56037151702786,84.67148262813897,84.67148262813897,85.72411420708633,85.72411420708633,85.72411420708633,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,87.94633642930857,0.0,1.760197639652921,1.0918994380277658,0.9606981490609606,1.2166807462943248,0.8646668627723142,0.49567484194329625,8.613077751608411E-14,0.21994293724813072,0.2665532366696872,0.30449720850427003,0.3647340990703662,0.4114755579116132,0.44895664065575047,0.4793545184050558,
GP,immunotherapy,4,H,0.0,84.43068455452355,84.61300309597523,85.48331613347094,85.73099415204678,85.73099415204678,85.73099415204678,85.73099415204678,85.73099415204678,85.73099415204678,85.73099415204678,85.73099415204678,85.73099415204678,88.875128998968,88.875128998968,0.0,4.311092957645045,1.761455366917683,1.530879530959464,1.090131271471098,1.0313452487108907,0.7450801117573942,0.41750893700226344,0.42422510512767614,0.46106218973351326,0.46106218973351326,0.4760115737564306,0.21292174775406447,0.09974031587838213,0.09974031587838213,
GPBUMDA,immunotherapy,5,G,0.0,84.48916408668731,84.48916408668731,84.48916408668731,84.48916408668731,85.6656346749226,85.6656346749226,85.6656346749226,85.6656346749226,86.71826625386997,86.71826625386997,86.71826625386997,86.71826625386997,86.71826625386997,86.71826625386997,0.0,1.3861783436656683,1.3029925734481638,1.7415008849479012,1.6083891310484055,1.1975272130226613,0.8520688765966229,0.5860450521848396,0.7397105233708293,0.7655285539656289,0.21429751282461437,0.2525241189502293,4.3065388758042057E-14,4.3065388758042057E-14,4.3065388758042057E-14,
GP,immunotherapy,1,H,0.0,84.42380460956312,84.42380460956312,84.42380460956312,84.48228414172686,84.48228414172686,84.48228414172686,86.58754729962159,86.58754729962159,86.58754729962159,86.58754729962159,86.58754729962159,86.58754729962159,86.58754729962159,86.58754729962159,0.0,3.928547733939086,0.9404721190948847,1.4338899048240634,1.4338899048240634,1.3148159835714295,1.1947726442822204,1.2495467634047857,1.1223129524033202,1.0226357224666691,0.9908420202980999,0.987515521184077,0.8559594318923425,0.8057487714721474,0.854950760162262,
GP,immunotherapy,3,((L+H)+(P*G)),0.0,84.54764361885104,84.67148262813897,84.67148262813897,84.67148262813897,85.65875472996215,85.72411420708633,85.72411420708633,85.72411420708633,85.72411420708633,85.72411420708633,85.72411420708633,85.72411420708633,85.72411420708633,85.72411420708633,0.0,5.397904634054182,1.0021291082111423,0.8899252181530917,0.8183415481592758,0.9327444218311096,1.0181050693158042,1.0494823284502885,1.098333720600492,1.0463889753017483,0.8464353980583966,0.7830767256489525,0.6774073605443948,0.5962475473019556,0.5803926461888755,
GPBUMDA,immunotherapy,4,H,0.0,84.43068455452355,84.43068455452355,85.54179566563467,85.60715514275884,85.60715514275884,85.60715514275884,85.60715514275884,86.65290677674578,86.65290677674578,86.65290677674578,86.65290677674578,86.65290677674578,86.65290677674578,86.65290677674578,0.0,2.1032720119751467,1.7346552958726873,1.3260069577861089,1.062766504866388,0.43522146462465466,0.4839494320133485,0.019806910617163182,0.022909137058008018,0.21911691723213386,0.26497866342078796,0.30233648538222496,0.33405568157470494,0.40755843805995207,0.4257968826772174,
GPEDA,immunotherapy,4,(G*P),0.0,84.43068455452355,84.43068455452355,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,87.88785689714481,0.0,0.9676840961050062,1.6693459889801914,1.1731010755736333,1.501683958489312,1.0984937842197264,1.1683171601574656,1.3298405055969698,1.3737599833659304,1.2939733467074903,1.2148560757746376,1.1425406256156754,1.0963108340260317,0.9616479830761975,2.5231850729604633E-6,
GPEDA,immunotherapy,3,G,0.0,84.48916408668731,85.60027519779841,85.60027519779841,86.71826625386996,86.71826625386996,86.71826625386996,86.71826625386996,86.71826625386996,86.71826625386996,86.71826625386996,86.71826625386996,86.7767457860337,86.7767457860337,86.7767457860337,0.0,0.9303476642349358,1.0777364365994688,1.28257701719367,1.0706581223083418,0.9556540834364513,0.7391597960134052,0.7758395787708511,0.7708090146998012,0.7106979014805093,0.4915654762992904,0.5255394288810954,0.5173475976697912,0.48095069037267424,0.45112856214764513,
