Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPa,immunotherapy,2,15,No Implementado,2632,1013,12.780589186834671,1.2636219650307854,6,0.5041542968106827,1.0851379072620428,4.378756951400494,85.65875472996215,0.4807886895191545,68.18486220387165,78.54496446637727,6,(L+L)
GPBUMDAa,immunotherapy,2,15,No Implementado,2606,1506,11.011540817227331,1.541826316964564,5,-0.15443992088381286,1.0935495027638407,2.757110657935355,87.88785689714481,0.4804376487233905,73.78840090804766,97.86680012796319,12,(L+(L+(H+L)))
GPBUMDAa,immunotherapy,3,15,No Implementado,2610,2650,17.44820057900565,2.0854260620902307,5,-0.49672823177751296,1.2371334702825085,2.411113865593134,87.94633642930857,0.4999255043196776,73.00348598925956,97.89146895821389,9,(L+H)
GPa,immunotherapy,4,15,No Implementado,2624,2364,11.555343482126286,0.23309889718546237,4,0.7627972468994546,1.4578325673106927,0.6842519459221236,88.875128998968,0.4525816236842669,77.36694678749258,97.86680012796319,3,H
GPBUMDAa,immunotherapy,5,15,No Implementado,2648,1596,2.3293217621806326,1.2741913029640897,2,-0.1206021935248887,1.96981034214684,4.67980125208661,86.71826625386997,0.45837084914356757,71.92711078833663,79.27248223318864,3,G
GPa,immunotherapy,1,15,No Implementado,2624,1296,7.362314314854892,3.7703999195432023,4,0.18746936281300197,1.0596017849138357,3.235541538079464,86.58754729962159,0.45832850987201745,71.60422661571675,98.54496446637727,3,H
GPa,immunotherapy,3,15,No Implementado,2628,1209,5.481493016921846,3.761460314417262,4,-0.522473298513136,1.50818355244828,1.1959871170466396,85.72411420708633,0.4581763028704954,69.44543541693399,60.0,21,((L+H)+(P*G))
GPBUMDAa,immunotherapy,4,15,No Implementado,2646,1585,7.355586067375995,1.151051958713321,6,0.0651161731645178,0.8783899800426195,2.5564981331150407,86.65290677674578,0.43865361116470514,72.64953424873676,78.59431789477455,6,H
GPEDAa,immunotherapy,4,15,No Implementado,2642,595,11.741105455673631,2.34925414410409,3,-0.2873676936897572,1.3758454124626607,1.0934582271139726,87.88785689714481,0.42217827513023354,76.3153241206478,100.0,3,(G*P)
GPEDAa,immunotherapy,3,15,No Implementado,2632,2182,8.913705257284288,0.7930955688224526,4,0.7502836689376586,0.8403208314534709,3.4232014542227946,86.7767457860337,0.49714558278131493,70.21532732262385,99.32183566158592,9,G
GPa,immunotherapy,5,15,No Implementado,2638,2480,13.833184645931244,1.978058552366697,6,-0.8545763071668195,0.13002634394785637,1.2401044380757669,87.953216374269,0.40817630287049544,77.0243573079486,78.59431789477455,6,(L+H)
GPEDAa,immunotherapy,1,15,No Implementado,2610,1335,7.364219151538913,2.3565436200682015,4,-0.5417201403619402,0.8409147211440517,2.0265643128982247,87.6986584107327,0.45832850987201745,74.3329756377202,98.54496446637727,3,H
GPBUMDAa,immunotherapy,1,15,No Implementado,2614,1485,7.193638747703367,2.800560263516493,4,0.2227387808938213,0.40443674632581594,1.4657175975078474,87.6986584107327,0.4444396209831286,74.93885421219323,99.27248223318864,1669,H
GPEDAa,immunotherapy,2,15,No Implementado,2648,924,10.423900167532274,0.7236519166195198,4,1.0,1.99458034111816,4.82625238322098,88.94048847609218,0.5304419362445602,73.9146003542257,97.16395119140252,31,G
GPEDAa,immunotherapy,5,15,No Implementado,2616,1128,9.9468464874038,1.1813963847353652,4,-0.6009323884294533,1.8148072194936347,3.3887293425771623,86.84210526315789,0.4584099727742405,72.23220836617823,79.32183566158592,6,((P+H)+((P*W)*(P+H)))
