Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,immunotherapy,1,(P+L),0.0,82.2015823873409,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,0.0,1.1335020753472589,0.20836699318243965,0.21994293724813088,0.30449720850426887,0.364734099070367,0.38945532998618054,0.41147555791161305,0.4489566406557512,0.47935451840505466,0.49231939164494537,0.5235689149070055,0.5447936682732742,0.5539659233654138,0.5571405391738259,
GPBUMDA,immunotherapy,2,L,0.0,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,0.0,0.5538739097398009,0.691140776668047,0.6548513365530103,0.942263931437953,0.9908592555703823,0.6306475178635522,0.266553236669687,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,7.177564793007009E-14,
GP,immunotherapy,1,(L+L),0.0,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,83.31269349845202,0.0,4.630667814864634,0.41909878052283167,0.4538493975748516,0.4789098800798008,0.023391812845204307,0.023391812845204307,0.023391812845204307,0.023391812845204307,0.023391812845204307,0.023391812845204307,0.023391812845204307,0.2159661078304616,0.29542884212309367,0.3879265613901578,
GP,immunotherapy,4,((P+P)+(P+L)),0.0,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,84.36532507739938,0.0,4.700946248152193,1.2985481286556353,1.8898837180469843,1.070067669482122,1.070067669482122,1.070067669482122,1.070067669482122,0.6243291944102418,0.45808552111383594,0.421052631580886,0.20627282045669554,1.6518123698891422E-6,1.6518123698891422E-6,1.6518123698891422E-6,
GP,immunotherapy,3,(L+R),0.0,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,82.32542139662883,0.0,4.692204202510771,0.7242160394578327,0.3186540964277056,0.38123348776651605,0.46866710254706134,0.5001601691455635,0.561355347094795,0.5798973336725746,0.5828599716190814,0.5704860317749656,0.4904160666126399,0.20520715775530163,0.20520715775530163,0.20520715775530163,
GPEDA,immunotherapy,3,P,0.0,81.2796697626419,81.2796697626419,81.2796697626419,81.2796697626419,81.2796697626419,82.26006191950464,82.26006191950464,82.37702098383213,82.37702098383213,82.37702098383213,82.37702098383213,82.37702098383213,82.37702098383213,82.37702098383213,0.0,0.5264972628312936,0.4134026970304169,0.05228758173761614,0.05582786017682504,0.05869266492624624,0.06274509806803519,0.29399852345106137,0.42236586723309466,0.4818843503507934,0.48725874367495936,0.510283249755898,0.5184803208962991,0.5175358924425394,0.4504499991449257,
GPEDA,immunotherapy,2,L,0.0,81.09047127622979,81.09047127622979,81.09047127622979,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,82.2015823873409,0.0,0.6104322035401321,0.30148524849327507,0.44220120368221977,0.539392072605453,0.6805022526439642,0.6407229763198673,0.47453681118893093,0.5333333333222906,0.551541050923912,2.6973983046972182E-6,2.6973983046972182E-6,2.6973983046972182E-6,2.6973983046972182E-6,2.6973983046972182E-6,
GPBUMDA,immunotherapy,5,(L+L),0.0,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,82.26006191950464,83.18885448916409,83.18885448916409,83.18885448916409,0.0,1.0293632793919085,0.28205053082705084,0.4083213826357092,0.47166331548900264,0.5402863099892484,0.5808361294440921,0.5829934965332388,0.5587343458222221,0.49145447250684166,0.4540253940598297,0.2503622752550708,0.012937819838123858,0.18385322927862427,0.2545332702667279,
GP,immunotherapy,2,(L+L),0.0,82.2015823873409,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,82.26694186446508,0.0,3.2503108684471234,0.7866607891314025,0.7551137993524485,1.0177971719769074,0.8947636922648758,0.8947636922648758,0.8947636922648758,0.8947636922648758,0.8947636922648758,0.8947636922648758,0.6788297182043821,0.6788297182043821,0.6307410167729884,0.48097470347179977,
GPBUMDA,immunotherapy,4,(P+L),0.0,84.36532507739938,84.36532507739938,85.47643618851049,85.47643618851049,86.5875472996216,86.5875472996216,86.5875472996216,86.5875472996216,86.5875472996216,86.5875472996216,86.5875472996216,86.5875472996216,86.5875472996216,86.5875472996216,0.0,0.8915753152109841,1.0414527977783425,8.613077751608411E-14,0.21994293724813044,0.30449720850426987,0.5197048848655564,0.6172133368674209,0.6749298240016575,0.7311931194380511,0.7776157120112037,0.8740253011589073,0.8911534866925299,0.8990349722938906,0.9323284861716485,
