Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAc,immunotherapy,1,15,No Implementado,2608,423,3.4874602357751203,1.7580075678088223,4,0.2895737779800212,1.3433657207474325,4.7962743391720375,83.31269349845202,0.4611095032906725,63.13499200067282,60.0,3,(P+L)
GPBUMDAc,immunotherapy,2,15,No Implementado,2616,181,1.3869437354830616,0.8243217464995243,1,0.10783275328648212,1.1603419870995209,0.69168866199634,82.2015823873409,0.4774315604433296,59.43173615575241,40.0,0,L
GPc,immunotherapy,1,15,No Implementado,2620,1684,30.12672788674012,0.5918479219772532,3,-0.7281247262548078,1.440027410394474,1.3213086673109435,83.31269349845202,0.45269792269599324,63.552709214694744,60.0,12,(L+L)
GPc,immunotherapy,4,15,No Implementado,2616,39,2.2482438146802615,1.3466807944943933,3,0.49307585814376376,1.8936300479278039,3.301143713758078,84.36532507739938,0.4883502690419534,64.46541126101728,60.0,6,((P+P)+(P+L))
GPc,immunotherapy,3,15,No Implementado,2602,108,16.097997844633618,0.020286701940151766,3,-0.04322102994256949,0.8381862223992594,1.5170999414997433,82.32542139662883,0.48603447167020386,59.29523843508342,59.27248223318863,3,(L+R)
GPEDAc,immunotherapy,3,15,No Implementado,2602,1407,1.6926860142243014,2.5474229732227904,4,-0.17483360984358798,1.1139356273546592,5.0,82.37702098383213,0.41654447231333214,62.898718813284745,54.764415618018305,2565,P
GPEDAc,immunotherapy,2,15,No Implementado,2610,732,1.5772920395498566,3.2033749331787362,2,-0.1709712405720167,1.1767738422098128,2.430724971756283,82.2015823873409,0.47469183441593243,59.57553175256173,40.0,0,L
GPBUMDAc,immunotherapy,5,15,No Implementado,2622,2285,8.685065129223986,0.9555341767368783,2,-0.2933758100351149,1.2300187447517188,4.374325596111593,83.18885448916409,0.4020708727249341,65.61171490851261,60.0,9,(L+L)
GPc,immunotherapy,2,15,No Implementado,2634,415,14.94839701111848,3.185147800138697,4,-0.8176712098619683,1.1681269825361342,3.973406824522263,82.26694186446508,0.4745037194246146,59.75380963783906,78.51640199545103,6,(L+L)
GPBUMDAc,immunotherapy,4,15,No Implementado,2622,861,2.1831422528609825,2.445168421110352,5,0.05263597221657428,1.4892996732309307,3.073135580201709,86.5875472996216,0.44390582459750894,72.25656766541141,80.0,2316,(P+L)
GPEDAc,immunotherapy,4,15,No Implementado,2614,1590,2.570823287079643,2.886862156965317,5,-0.5371463483617274,2.0,3.3236977905528797,85.53491572067423,0.48283276523677837,67.76577701136924,59.32183566158592,3,L
GPEDAc,immunotherapy,5,15,No Implementado,2638,266,18.48456219201592,2.060409260973081,4,-0.3242250001337551,1.0E-4,2.3530011323643314,83.43653250773994,0.48094411216155375,62.441988205694386,58.516401995451034,9,L
GPc,immunotherapy,5,15,No Implementado,2608,666,20.56007725578821,1.4209427035247642,2,-0.04241735212613751,1.1752540841568744,1.7748508284359255,83.43653250773994,0.48094411216155375,62.441988205694386,58.516401995451034,3,L
GPBUMDAc,immunotherapy,3,15,No Implementado,2602,1521,4.091581786399592,1.7538142587119543,4,0.2830394201637433,1.3443867528589084,4.798504460602648,82.32542139662883,0.45829045812163693,60.738213196991786,59.27248223318863,1513,L
GPEDAc,immunotherapy,1,15,No Implementado,2646,159,26.401400891422625,3.464940589492657,6,-0.4443538118845959,1.925836350083224,2.8460634348788063,83.31269349845202,0.45269792269599324,63.552709214694744,60.0,3,(L+L)
