Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,immunotherapy,1,H,0.0,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,0.0,4.40211331615034,2.6605557406877516,2.618516451747021,1.10298213337777,0.740203350615731,0.5382807382999776,0.5052631578921312,0.3859011111638717,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,
GP,immunotherapy,5,H,0.0,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,87.82249742002064,0.0,4.681980802014638,2.676654236142365,2.517889821151496,1.4750088814239017,0.6172247979604502,0.5456162288490088,0.38590111115562287,0.38590111115562287,0.38590111115562287,0.0,0.0,0.0,0.0,0.0,
GP,immunotherapy,4,H,0.0,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,0.0,4.656532975690568,1.9210601438191384,2.1610934422582333,1.4796120127783212,0.7878447963906133,0.9281838772936741,0.8495332635958329,0.8874174928678745,0.8051917476373438,0.5194863435920314,0.5194863435920314,0.5194863435920314,0.5523507756657986,0.5654496805165755,
GPEDA,immunotherapy,4,H,0.0,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,0.0,2.5977437395224126,2.1405059014413923,1.1374806732640796,1.0035356102431006,0.9454276676745417,0.8441622825686548,0.5820212883814545,0.549834836460971,0.511445131697523,0.4079816875149707,0.2500230687544458,0.021239316178143574,0.01773158183016299,2.132480599880018E-6,
GPBUMDA,immunotherapy,4,H,0.0,86.64602683178535,86.64602683178535,86.64602683178535,86.64602683178535,88.99896800825594,88.99896800825594,88.99896800825594,88.99896800825594,88.99896800825594,88.99896800825594,88.99896800825594,88.99896800825594,88.99896800825594,88.99896800825594,0.0,3.0672976364820648,2.1932357118650967,1.2133701167657762,1.036943017993141,0.8566920856774102,1.1725123867681382,1.3646733199862886,1.3804168758877682,1.3992134908453926,1.3878282316308068,1.3440260463823952,1.388842097995326,1.4291962053968466,1.5503386509405008,
GPEDA,immunotherapy,1,H,0.0,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,0.0,2.9971088872386002,2.1394071369818515,1.0986815353577546,0.5205611323188916,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,2.132480599880018E-6,
GPBUMDA,immunotherapy,1,H,0.0,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,88.8235294117647,0.0,2.9941021434848967,3.1915628681834534,1.10992532764604,0.7123165103486351,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,5.742051834405607E-14,
GP,immunotherapy,3,G,0.0,86.70450636394908,86.70450636394908,87.75713794289645,87.75713794289645,87.75713794289645,87.75713794289645,87.75713794289645,87.75713794289645,87.75713794289645,87.75713794289645,87.75713794289645,87.81561747506018,87.81561747506018,87.81561747506018,0.0,5.208166547157595,1.8249385888944085,1.792748678262552,1.7458286427578888,1.9346611038816124,1.796586762754822,1.4138566441011924,1.2743174090547884,1.1334111116748136,0.8440568162613035,0.630709827515019,0.630709827515019,0.630709827515019,0.5731953960306196,
GP,immunotherapy,2,(G*G),0.0,85.60027519779841,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,86.83522531819744,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,0.0,7.17525078001248,2.8706214443082003,2.150889550791835,1.8808042863278098,1.6138864201005692,1.06301366789715,0.9260012330525861,0.8908734864912025,0.6770360004428361,0.5131670468717723,0.5342045784057787,0.44478903231145644,0.44478903231145644,0.3049380985292887,
GPBUMDA,immunotherapy,5,H,0.0,87.82249742002064,87.82249742002064,87.82249742002064,88.875128998968,88.875128998968,88.875128998968,88.875128998968,88.875128998968,88.875128998968,88.875128998968,88.875128998968,88.875128998968,88.875128998968,88.875128998968,0.0,3.4982520660198166,3.0720336088591274,2.013976168008456,0.5552752074688722,0.25252411895022603,0.28847103963561915,0.34553756754034215,0.3898189496004702,0.40851357356925827,0.44047569989189744,0.4541253332258353,0.4664078447162569,0.477428759294432,0.5103928125349516,
GPEDA,immunotherapy,5,H,0.0,87.82249742002064,87.82249742002064,87.82249742002064,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,89.92776057791538,0.0,3.359003204429913,2.3311493908531484,0.7940797781441841,0.0,0.5711435775247641,0.6841295498659812,0.842105263157992,0.8991223791187627,0.9452608135004806,1.0105263157910125,1.0313641022265994,1.0450251491370892,1.0517891365732788,1.0105263157892124,
GPBUMDA,immunotherapy,2,G,0.0,84.67148262813897,86.83522531819744,86.83522531819744,86.83522531819744,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,87.94633642930856,0.0,3.1522043331931315,1.8314208718159461,1.736367305374816,1.0868054606532829,0.5387013299980178,0.2665532366696873,0.3044972085042699,0.3367174804918134,0.36473409907036697,0.4114755579116134,0.4312087721008899,0.46494657210812024,0.503952579255241,0.5387479687869003,
GPEDA,immunotherapy,2,((G+G)+G),0.0,84.61300309597523,86.83522531819744,87.94633642930856,87.94633642930857,87.94633642930857,87.94633642930857,87.94633642930857,87.94633642930857,87.94633642930857,87.94633642930857,89.05744754041969,89.05744754041969,89.05744754041969,89.05744754041969,0.0,1.7909978118767567,1.3736322162774475,1.45384095395424,1.083433845527238,0.6135246843085151,0.4745368111975556,0.5272973303603691,0.5415798282526627,0.4647029577724936,0.39903443531078536,0.02902847650544986,0.30143688813932246,1.9073486328125E-6,1.9073486328125E-6,
GPEDA,immunotherapy,3,G,0.0,86.70450636394908,86.70450636394908,87.81561747506018,87.81561747506018,87.81561747506018,87.81561747506018,87.81561747506018,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,0.0,1.7278121020799513,1.6858713153526614,1.3956206969153133,0.7759326737999838,0.5923303547056612,0.5133767538608367,0.48942576425388457,9.5367431640625E-7,0.31916846979272795,0.4195531011947673,0.46008421936841737,0.4928499846394466,0.5567742524911891,0.5759664419940742,
GPBUMDA,immunotherapy,3,G,0.0,86.70450636394908,86.70450636394908,87.81561747506018,88.86824905400756,88.86824905400756,88.86824905400756,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,88.99208806329548,0.0,2.524124625915425,1.8730850504603056,1.6803104792143235,1.414240275726798,0.8360777301085192,0.7067742052287848,0.7096311595409525,0.4197100659390927,0.44101626611802774,0.47266360530944873,0.515010513071814,0.525380114551715,0.5432284859656182,0.560212238155835,
