Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,liver,2,(E+H),0.0,72.7536231884058,72.7536231884058,73.62318840579711,73.62318840579711,73.62318840579711,73.62318840579711,73.91304347826086,73.91304347826086,73.91304347826086,73.91304347826086,73.91304347826086,73.91304347826086,73.91304347826086,73.91304347826087,0.0,1.2946299402179513,1.197768522511566,1.246314777432041,0.9110482758430543,0.4619900375283514,0.25228231316751526,0.21113950282752755,0.1528168961020603,0.17012535393778078,0.18416027899643558,0.22074702402157417,0.24539181578865724,0.2541781811561666,0.2518061158460473,
GPEDA,liver,2,(E+H),0.0,72.7536231884058,73.04347826086956,73.04347826086956,73.33333333333333,73.33333333333333,73.33333333333333,73.6231884057971,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,0.0,0.8010914629590522,1.1852201913218283,0.49135350957406493,0.2942278850035473,0.2633696624266204,0.18332044408652926,0.13913043480147674,0.07863570999592547,0.24209406398669778,0.3175203231996111,0.3478260869644699,0.379964512661353,0.3845362075863561,0.3855835164934377,
GPBUMDA,liver,1,(H+((L+G)+(H+(G+H)))),0.0,74.4927536231884,75.07246376811594,75.94202898550725,75.94202898550725,76.23188405797102,76.52173913043478,76.52173913043478,76.52173913043478,77.68115942028984,77.68115942028984,77.68115942028986,77.68115942028986,77.68115942028986,77.97101449275362,0.0,2.177037855086745,1.3682025255888774,0.8470919444307351,0.6286635569972039,0.5438477928102448,0.3808172925007107,0.33069305790138265,0.22800660030232223,0.2150818648142873,0.30479112781526874,0.3504289512669647,0.39199929899928904,0.4067677163479268,0.42507143163352634,
GPBUMDA,liver,3,(H*(L+(L+(H+H)))),0.0,75.07246376811594,75.07246376811595,75.94202898550725,75.94202898550725,75.94202898550725,75.94202898550725,75.94202898550725,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,0.0,2.4582813030372153,1.242580915700747,0.5605835618707401,0.3414579879828299,0.2965219372783673,0.32735790243137086,0.3153528914593908,0.32414714358265545,0.36518824530896676,0.3144817492110193,0.29373326776582287,0.2621480774546628,0.26604350749799044,0.25719583550740427,
GPEDA,liver,4,((R+L)+L),0.0,73.62318840579711,73.62318840579711,73.62318840579711,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,0.0,1.2522812621714408,1.2628636572020602,0.7843030504471613,0.44993873419482683,0.4602767128456054,0.36406535579174537,0.30675377520718683,0.24595018477355426,0.2955953341328617,0.24758442323663563,0.20081748492576917,0.1735261396601135,0.13521047869641198,0.1391304347589863,
GPEDA,liver,3,(H+(H+(((L*H)+(H+((L*G)+H)))+H))),0.0,75.07246376811594,75.07246376811594,75.07246376811594,75.3623188405797,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,77.39130434782608,77.39130434782608,77.39130434782608,77.39130434782608,77.39130434782608,77.39130434782608,0.0,1.600923908839928,0.8634373454813852,0.44904154738785146,0.3229771194590427,0.2336167151093622,0.40230380458081294,0.4614434490884902,0.500568884516269,0.44088471516908995,0.6163493964031527,0.613945613676428,0.6095508140580873,0.5579691323166454,0.45705283117972645,
GP,liver,3,(L*H),0.0,75.07246376811594,75.3623188405797,75.3623188405797,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,0.0,5.297726127443958,2.192193669702786,1.3736072551534102,0.6396806596667515,0.42599821613312955,0.3451101696435066,0.34472043471895486,0.34472043471895486,0.34472043471895486,0.2849439009205608,0.2849439009205608,0.3731820739563034,0.39420289855099094,0.3838364140816695,
GP,liver,1,((L+(G*H))+H),0.0,74.20289855072464,74.4927536231884,74.4927536231884,75.07246376811594,75.07246376811594,75.65217391304347,75.65217391304347,75.65217391304347,75.65217391304347,75.94202898550724,75.94202898550724,75.94202898550724,75.94202898550724,75.94202898550724,0.0,3.809361775292148,1.8784755647555744,1.315622766610306,0.654430877298125,0.4564642245849588,0.43164082247405366,0.35433522991412647,0.3845362075745303,0.54431047393641,0.573415096525792,0.5519132862770024,0.5519132862770024,0.49868552272644706,0.49868552272644706,
GP,liver,2,((H*L)+(H*L)),0.0,72.46376811594203,72.7536231884058,73.04347826086958,73.33333333333333,73.33333333333333,73.33333333333334,73.33333333333334,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,0.0,4.279124848938124,1.3168483120688705,1.2354220294468234,0.6804127884573923,0.5639599539490413,0.485020305239061,0.332816234081608,0.29008686385354154,0.29008686385354154,0.24153816414041518,0.24153816414041518,0.22422121283543656,0.3080656291241865,0.3080656291241865,
GP,liver,5,(H+H),0.0,75.07246376811595,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,0.0,5.853798110708798,2.3047688978148164,1.3496170118046362,0.9792812713637986,0.6710630088612941,0.6053462020741451,0.524949863078469,0.47606875750805216,0.47606875750805216,0.4614434490894757,0.4466402384727721,0.4344346433608617,0.45261962424949503,0.3931785497436825,
