Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAa,liver,2,15,No Implementado,2594,2590,18.003032746447168,2.6927266748395873,1,0.41918362084242167,1.4892854775539772,2.371983556651017,73.91304347826087,0.744927536231884,23.145138162192705,0.0,72,(E+H)
GPEDAa,liver,2,15,No Implementado,2646,1537,18.269434490653225,1.3055002589711155,1,0.5247266398849888,1.2536031940252053,3.163275403400809,74.20289855072464,0.7442028985507246,23.688872676617738,0.0,106,(E+H)
GPBUMDAa,liver,1,15,No Implementado,2618,2645,25.37897311553262,0.36964923656920756,1,0.429148028174438,0.38791526324255304,3.293354748524244,77.97101449275362,0.636231884057971,39.070482502016446,0.0,249,(H+((L+G)+(H+(G+H))))
GPBUMDAa,liver,3,15,No Implementado,2594,1435,17.598846020970306,0.3478184389784759,2,0.2830284675579094,1.0354230952916783,2.2703360361708307,76.52173913043478,0.6318840579710144,36.09176903680715,0.0,365,(H*(L+(L+(H+H))))
GPEDAa,liver,4,15,No Implementado,2624,1504,12.58036376847584,1.8356854234665063,3,-0.20143899889023045,1.3565767258273174,3.7221053613683504,74.4927536231884,0.6420289855072465,31.160387031613528,0.0,86,((R+L)+L)
GPEDAa,liver,3,15,No Implementado,2594,1695,12.338158080098092,0.5177415546539592,4,0.14489734470928656,0.7570282981684688,2.044027597196212,77.39130434782608,0.636231884057971,37.74049644366224,0.0,1253,(H+(H+(((L*H)+(H+((L*G)+H)))+H)))
GPa,liver,3,15,No Implementado,2610,799,6.25810593255936,3.80962921690019,4,-0.7679624280460824,0.609453032476322,3.5604557959928336,76.23188405797102,0.7021739130434782,30.542397009023702,0.0,162,(L*H)
GPa,liver,1,15,No Implementado,2634,1841,10.3619202895818,3.128057774940527,3,0.4112424635101046,0.9332485064631165,3.98545608077783,75.94202898550724,0.6884057971014492,30.947840021579353,0.0,320,((L+(G*H))+H)
GPa,liver,2,15,No Implementado,2612,1500,14.307823929293864,2.1908192365684465,2,-0.5174699401293421,0.1346189632917413,1.894781976340858,74.4927536231884,0.6427536231884058,31.11373589031417,0.0,219,((H*L)+(H*L))
GPa,liver,5,15,No Implementado,2648,287,22.239929094280644,0.23520801231124383,6,0.8757738512021673,1.8067494673610247,3.919796343333509,75.36231884057972,0.6985507246376812,29.067278659160905,0.0,491,(H+H)
GPEDAa,liver,1,15,No Implementado,2606,1950,14.020991530476966,3.532229320302593,2,0.8135719601755959,0.9421666707525209,3.042316078323327,77.39130434782608,0.6514492753623189,36.68180197886029,0.0,197,(L+(H+(L+(H*G))))
GPa,liver,4,15,No Implementado,2614,1919,15.640966722900423,3.0156526282959217,3,0.9319849726130991,1.1880978293346924,0.457032227030687,75.07246376811595,0.6202898550724638,33.7385499934722,0.0,334,((L*G)+(L*G))
GPEDAa,liver,5,15,No Implementado,2646,1300,9.147784885383963,1.3771189011103329,4,0.11861075424034342,0.29685008798220286,1.5454301930018792,76.52173913043478,0.6565217391304348,34.41125373868299,0.0,297,((((H*L)+H)*H)+L)
GPBUMDAa,liver,4,15,No Implementado,2626,2347,21.629427767205218,2.1325783990572362,2,0.7627738319478868,1.7643699395780725,2.58595439248232,75.94202898550725,0.6028985507246376,36.707573556859366,0.0,411,((((P+L)+(H*(G*G)))+H)+((L*G)+L))
GPBUMDAa,liver,5,15,No Implementado,2588,1136,25.727841528088334,1.0E-4,6,0.3594789497855731,0.49256319354668177,1.0E-4,77.10144927536233,0.6253623188405797,37.822654092857164,0.0,445,(L*G)
