Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,liver,2,(L+R),0.0,73.6231884057971,73.6231884057971,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,0.0,5.301733734573308,1.2300788136690208,0.6080051293787531,0.5164303177165462,0.3907779605009361,0.2592542582681337,0.18184796686765015,0.18184796686765015,0.18332044408156803,0.1960757626213572,0.1342126017787643,0.1342126017787643,0.1342126017787643,0.1342126017787643,
GPBUMDA,liver,3,(L+(R+L)),0.0,74.20289855072464,74.4927536231884,74.4927536231884,74.4927536231884,74.78260869565217,74.78260869565217,75.07246376811594,75.07246376811594,75.07246376811594,75.07246376811594,75.07246376811594,76.23188405797102,76.52173913043478,76.52173913043478,0.0,2.0879173414778567,0.670654004974712,0.4352752359491456,0.3847144832887437,0.31972662729195467,0.25799458226110766,0.20081746444394358,0.21404300893850406,0.19641474145882037,0.19457290146190712,0.16573494040661058,0.14212008737563542,0.28084179259009906,0.4303231380941693,
GPEDA,liver,3,(((((P+R)+L)+(L*L))+L)+L),0.0,74.20289855072464,74.20289855072464,74.20289855072464,74.20289855072464,74.4927536231884,74.4927536231884,74.4927536231884,75.07246376811594,75.07246376811594,75.07246376811594,75.07246376811594,75.36231884057972,76.23188405797103,76.23188405797103,0.0,1.3808301385233137,0.4089319904661149,0.2218101619738025,0.14388027413554255,0.14481154776985686,0.169608566223074,0.16231884055565265,0.1062626247764803,0.2470408782790176,0.292394671592755,0.3372299031123628,0.3162476915130347,0.2839988107468798,0.3781914534443279,
GPEDA,liver,1,(R+(R+R)),0.0,73.04347826086958,73.04347826086958,73.04347826086958,74.20289855072463,74.20289855072463,74.20289855072463,74.20289855072464,74.20289855072465,74.20289855072465,74.20289855072465,74.20289855072465,74.20289855072465,74.20289855072465,74.20289855072465,0.0,1.111109430793469,0.6388395276004598,0.30587608019565377,0.200817484948414,0.3528144708387174,0.37497882038440405,0.3246376811687374,0.26080514503496316,0.18478118783107272,0.1237922116100525,2.5231850729604633E-6,2.5231850729604633E-6,2.5231850729604633E-6,2.6973983046972182E-6,
GP,liver,3,((P+L)*L),0.0,74.20289855072464,74.20289855072464,74.20289855072464,74.78260869565217,74.78260869565217,75.65217391304347,75.65217391304347,75.65217391304347,75.65217391304347,75.65217391304347,75.65217391304347,75.65217391304347,75.65217391304347,75.65217391304347,0.0,5.419542690501108,0.9328831392409511,0.4362872515345154,0.2758348348681266,0.39726009737634843,0.3756951129589584,0.47804123195560205,0.43474395963255225,0.43474395963255225,0.4981461115073126,0.5696518723002034,0.6073414888652432,0.6042348624087582,0.5975234192064044,
GPBUMDA,liver,1,((L+(L*R))+L),0.0,73.33333333333334,73.33333333333334,73.6231884057971,73.6231884057971,73.6231884057971,73.6231884057971,73.6231884057971,73.6231884057971,73.6231884057971,74.20289855072463,74.4927536231884,75.3623188405797,75.3623188405797,75.3623188405797,0.0,1.3656938553224827,0.6838192379937288,0.36687460328161153,0.391255009716357,0.34190961899686356,0.2909767999691257,0.22497848979176432,0.20983616010896816,0.15767644572969108,0.1459296760964256,0.21146408334631245,0.2747311092812986,0.4117532629833219,0.46050310081801754,
GPEDA,liver,4,(R+(L+(L+((L+P)*L)))),0.0,75.07246376811594,75.07246376811594,75.65217391304347,76.23188405797103,76.81159420289855,76.81159420289855,76.81159420289855,76.81159420289855,77.10144927536233,77.10144927536233,77.10144927536233,78.55072463768116,78.55072463768116,78.55072463768116,0.0,1.686388668804537,0.4788840910869536,0.15381448301372894,0.21566464042016922,0.36369593370029046,0.4514300831023027,0.40991697460299165,0.3785467296800091,0.23188405798067127,0.27091759874610766,0.202151835073424,0.21189178995189223,0.5854785471536708,0.7418478039709848,
GP,liver,4,((R+(L+(L+L)))+((L+(R+L))+(L+(L*L)))),0.0,75.07246376811595,76.23188405797102,76.23188405797102,76.23188405797102,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,77.10144927536233,0.0,6.390246716527541,1.496685408752108,0.7000825108146967,0.549961332200053,0.36664088812840745,0.4703875426079035,0.4703875426079035,0.53080687036378,0.4886100291148889,0.5177301695464842,0.4780412319575046,0.46289773397524253,0.4469411076505784,0.37462016049856156,
GP,liver,1,((P+(((L*R)+R)+L))+(L+P)),0.0,73.04347826086958,73.33333333333333,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,74.78260869565217,0.0,4.726198728506792,1.0691841746931783,1.315520586285932,0.6403107836058021,0.5408419148865455,0.6490682899628961,0.7018085078489456,0.555312696344552,0.555312696344552,0.5804053802128891,0.5804053802128891,0.6314318286022904,0.5827168404957485,0.5827168404957485,
GPEDA,liver,5,((R+(R+L))+L),0.0,73.04347826086956,73.6231884057971,73.91304347826086,74.20289855072464,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,0.0,1.000331808009631,0.4757863079102812,0.3392171324917277,0.2877605483200743,0.27777735771003154,0.8283163408497454,0.8696425086447689,0.8902656844286109,0.9337473201940178,0.9780450647591379,0.9647603043541252,0.9734988767353349,0.919823001518124,0.8054425244253121,
