Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPc,liver,2,15,No Implementado,2614,577,11.74299914909837,0.4036995023856335,6,-0.6415276053673158,0.5477963257090979,1.5185479651150464,74.20289855072464,0.6847826086956522,27.789785575736474,0.0,46,(L+R)
GPBUMDAc,liver,3,15,No Implementado,2616,2381,3.32412527690629,1.4956565994628217,4,1.0,1.245064015556936,4.069770459984858,76.52173913043478,0.6927536231884057,31.829384446976718,0.0,171,(L+(R+L))
GPEDAc,liver,3,15,No Implementado,2600,2359,4.179872057488809,1.1141237715907326,4,0.6532993695106358,0.4034548875761207,3.00247073664422,76.23188405797103,0.6485507246376812,34.33528787919175,0.0,306,(((((P+R)+L)+(L*L))+L)+L)
GPEDAc,liver,1,15,No Implementado,2646,1420,20.739866891220156,0.10343664399045194,6,0.5375131674136534,0.27605746145172855,2.283501683635004,74.20289855072465,0.6971014492753623,26.959815215485598,0.0,100,(R+(R+R))
GPc,liver,3,15,No Implementado,2626,1171,19.803816928828706,3.2877005291858086,6,0.24954647514509842,1.1744449388557998,2.584910546090571,75.65217391304347,0.6579710144927536,32.46978911363521,0.0,219,((P+L)*L)
GPBUMDAc,liver,1,15,No Implementado,2624,2257,13.973384212891059,0.1289463919837323,2,0.8669321722209349,0.4401870322281288,4.106653490467046,75.3623188405797,0.6572463768115941,31.920548011138493,0.0,112,((L+(L*R))+L)
GPEDAc,liver,4,15,No Implementado,2628,2171,7.575882785187445,1.9901372966807687,3,-0.9999,0.31296206820435657,3.670153385314044,78.55072463768116,0.653623188405797,39.187207451556034,0.0,190,(R+(L+(L+((L+P)*L))))
GPc,liver,4,15,No Implementado,2612,2684,14.109966580936394,0.9819874830445048,1,0.9702637507530885,1.7512828856533025,1.6458809448531202,77.10144927536233,0.6195652173913043,38.21041466178262,0.0,396,((R+(L+(L+L)))+((L+(R+L))+(L+(L*L))))
GPc,liver,1,15,No Implementado,2614,521,2.172688172730574,1.5607071874114942,1,-0.19704978569613685,1.17533204933049,4.0085567951030825,74.78260869565217,0.6731884057971015,29.682878988030048,0.0,152,((P+(((L*R)+R)+L))+(L+P))
GPEDAc,liver,5,15,No Implementado,2624,873,4.679320814249497,2.1408358115755957,2,-0.24892326859272818,1.9574244995723449,2.961080489359684,76.23188405797102,0.6572463768115943,33.739206858579415,0.0,154,((R+(R+L))+L)
GPc,liver,5,15,No Implementado,2614,2121,0.9514287268825079,3.493317705431469,5,-0.7483329695467258,0.41745900372622047,1.7552261183816893,75.94202898550724,0.7050724637681159,29.745789454243116,0.0,265,(((L+R)+(R+L))+(L+R))
GPBUMDAc,liver,4,15,No Implementado,2622,1857,10.713802787919082,1.2122355135257272,6,0.03486942727660947,1.11701697235866,1.0E-4,77.10144927536231,0.6326086956521738,37.333070352936666,0.0,11254,(R+(L+R))
GPBUMDAc,liver,5,15,No Implementado,2626,1757,13.64080645782913,1.16060430218524,2,-0.36635382531888927,0.43116128303927137,1.0674554532916019,75.94202898550724,0.636231884057971,34.54251914247138,0.0,359,(((L+R)+(P+L))+(L+L))
GPEDAc,liver,2,15,No Implementado,2616,850,17.216531518057103,0.17452200756555653,4,-0.9999,0.340510759419702,1.3540334085317334,74.78260869565217,0.7007246376811593,27.796963806685326,0.0,62,(R+R)
GPBUMDAc,liver,2,15,No Implementado,2600,1218,29.64208864351871,0.1894855027686767,5,0.07416363719672676,1.0964655807456898,2.2924026102656785,74.78260869565217,0.7014492753623188,27.74652728353546,0.0,62,(R+P)
