Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,liver,4,(H*H),0.0,73.91304347826087,74.20289855072465,75.07246376811594,75.07246376811594,77.10144927536233,77.10144927536233,77.10144927536233,77.10144927536233,77.10144927536233,77.10144927536233,77.10144927536233,77.10144927536233,77.10144927536233,77.10144927536233,0.0,2.103168925256268,1.1399728398713433,0.349203585771669,0.36612606977387074,0.16573494040661044,0.43821963413499276,0.5270360564219694,0.5872329968479894,0.7262566206620503,0.7706981194402492,0.826001250027488,0.8808300296300633,0.8919526720708922,0.8336051841497932,
GPBUMDA,liver,1,(H+(H*(H+H))),0.0,73.33333333333334,73.6231884057971,74.20289855072464,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.23188405797102,76.81159420289855,76.81159420289855,0.0,2.1714545652006025,1.187200341034943,0.45544885089714193,0.34589820090231316,0.6734349609836221,0.6851468733485594,0.6304066704566795,0.6414878593797242,0.7748693626652093,0.8103467002506836,0.8031204261201697,0.817739778177522,0.8198338655452817,0.8093092460175136,
GPBUMDA,liver,2,((H+G)+((H*H)+(H+((H*(G*H))+H)))),0.0,74.20289855072464,74.4927536231884,75.07246376811594,75.65217391304347,76.52173913043478,76.52173913043478,76.52173913043478,76.52173913043478,76.81159420289855,77.10144927536233,77.10144927536233,77.10144927536233,77.3913043478261,77.3913043478261,0.0,2.2390974224418927,1.4131673247069405,0.753600359588818,0.5360999154809664,0.4424638968636857,0.5792366597363138,0.5483689468135065,0.48161457109743705,0.4521238106715492,0.4634722037920769,0.5295027985784875,0.49651464206811685,0.4626205384148388,0.48022411268463333,
GPEDA,liver,2,((G+H)+(G+(H+H))),0.0,73.91304347826087,74.4927536231884,75.07246376811594,76.81159420289855,76.81159420289855,76.81159420289855,76.81159420289855,76.81159420289855,76.81159420289855,77.68115942028984,77.97101449275362,77.97101449275362,77.97101449275362,77.97101449275362,0.0,1.7583479290554682,0.5734150965281712,0.5405933090794037,0.5111978593687223,0.8867860023606376,0.9630868246832932,0.9675430049837227,0.9556605697346754,0.8980830947691203,0.794858504392527,0.7558495542262854,0.6595460940686468,0.44814256440975014,0.4588141202905072,
GPBUMDA,liver,3,(H+(H+H)),0.0,72.17391304347827,73.91304347826087,73.91304347826087,73.91304347826087,73.91304347826087,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,0.0,1.6838394443157052,0.9820737072941106,0.8815888711795956,0.70310503059136,0.5636338812747016,0.5719983372698039,0.7023242363132044,0.6058580303739253,0.5918862629228857,0.6105097621925315,0.5568087521168628,0.5464896782746201,0.5767447973465955,0.5552051790534459,
GPEDA,liver,1,H,0.0,73.33333333333334,73.33333333333334,73.33333333333334,73.6231884057971,74.20289855072464,75.3623188405797,75.3623188405797,75.3623188405797,75.3623188405797,75.3623188405797,75.3623188405797,75.3623188405797,75.3623188405797,75.3623188405797,0.0,1.4231146118593838,0.4850203052381234,0.35660420868180154,0.24595018476800742,0.13521047874013428,0.17735720048402456,0.49544024624922295,0.5408419148907496,0.5330812258580359,0.45261962424447155,0.5190267660355862,0.491900369514752,0.42505049923323535,0.4202798599421088,
GP,liver,1,(H*(G*H)),0.0,73.33333333333334,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.4927536231884,74.78260869565217,74.78260869565217,0.0,3.3461681069233156,1.8184796685629696,1.0263325670188856,0.701041922683318,0.556038437488243,0.48418812795367244,0.4511322077338806,0.48998368948997056,0.46579268235827037,0.46579268235827037,0.4466402384748084,0.3485981768873654,0.3485981768873654,0.3509042539179931,
GP,liver,4,(H*H),0.0,74.4927536231884,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,0.0,4.256446486680387,1.3890803480729799,1.5844656515562443,0.7169681082314822,0.42599821613312955,0.33722990311505974,0.32047014402006424,0.26540343517332293,0.26540343517332293,0.2301383564074889,0.2301383564074889,0.26080514501229596,0.3145428397885269,0.20610305894759023,
GP,liver,2,(H*H),0.0,73.91304347826087,74.20289855072463,74.20289855072463,74.4927536231884,74.4927536231884,76.23188405797103,76.23188405797103,76.23188405797103,76.23188405797103,76.23188405797103,76.23188405797103,76.23188405797103,76.23188405797103,76.52173913043478,0.0,3.523874822097816,1.6620604274583028,1.2270151007835326,0.7943509858788886,0.5032471748278733,0.3799645126565658,0.7273918674287139,0.756205164481465,0.7418478039673069,0.629085679592234,0.629085679592234,0.567524092773348,0.5589319788112197,0.5218679390071299,
GP,liver,5,(G+H),0.0,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.07246376811595,75.36231884057972,75.36231884057972,75.36231884057972,75.36231884057972,0.0,4.666230963547188,1.7578126982247553,1.1088083678613923,0.47719688411349587,0.3183659181009194,0.30587608020011386,0.43751796555040195,0.41867756719467275,0.36956237565845396,0.38208132296859665,0.34782608694747374,0.34782608694747374,0.3756951129480646,0.3713766348497493,
