Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,liver,4,15,No Implementado,2598,878,20.625606581306798,3.186566261131432,2,0.023384707024938833,0.955662893229487,3.4680731620875074,77.10144927536233,0.691304347826087,33.16199243286343,0.0,137,(H*H)
GPBUMDAb,liver,1,15,No Implementado,2608,2349,26.10267562543104,2.423574702051399,2,-0.5444514490220334,0.2252196177250806,1.5905461646762524,76.81159420289855,0.6565217391304349,35.04100933036705,0.0,131,(H+(H*(H+H)))
GPBUMDAb,liver,2,15,No Implementado,2634,2425,17.945381500615333,1.1877128826964005,2,0.5226205471521642,1.1702229230752645,3.4587537217479527,77.3913043478261,0.6282608695652174,38.28505128240177,0.0,509,((H+G)+((H*H)+(H+((H*(G*H))+H))))
GPEDAb,liver,2,15,No Implementado,2608,1957,25.137090308276882,1.8090337376209564,2,0.7531459207629705,1.0569146777208414,3.1812367795636196,77.97101449275362,0.6391304347826087,38.86838554064815,0.0,290,((G+H)+(G+(H+H)))
GPBUMDAb,liver,3,15,No Implementado,2610,1068,16.755536376019997,2.3930607491448126,3,0.4928443804597979,0.5232870540106971,3.2581256524360445,75.36231884057972,0.7456521739130435,25.635595172359682,0.0,149,(H+(H+H))
GPEDAb,liver,1,15,No Implementado,2618,1134,27.291386350136555,2.0778984263907687,2,-0.4078599662557809,0.05491533174378671,3.5071593505826226,75.3623188405797,0.6898550724637682,29.68023025928059,0.0,12180,H
GPb,liver,1,15,No Implementado,2624,2341,5.472270404564696,2.5831163273792574,5,-0.0654090929097535,0.22332070749755722,3.03265141294333,74.78260869565217,0.6094202898550725,33.81799102680671,0.0,356,(H*(G*H))
GPb,liver,4,15,No Implementado,2600,1560,12.824377438938104,3.1891160800261176,1,-0.4862378993212948,1.1367594123693103,4.124591062018428,75.36231884057972,0.6847826086956521,30.034772288670624,0.0,62,(H*H)
GPb,liver,2,15,No Implementado,2590,2586,16.640509912781372,1.1210911429186683,6,0.32921697334948963,0.019459000145277974,0.45067274434444193,76.52173913043478,0.6985507246376812,31.403922898698827,0.0,165,(H*H)
GPb,liver,5,15,No Implementado,2608,1957,30.474193320338095,0.9710798505656936,3,0.7766133810855067,1.162746947476916,2.621533914811752,75.36231884057972,0.6782608695652174,30.48734148800762,0.0,150,(G+H)
GPEDAb,liver,5,15,No Implementado,2616,2340,30.012344802711144,0.7993415717262647,4,0.8926775986175672,1.3585092795320757,2.4139486667611205,76.81159420289855,0.6471014492753623,35.69543267131903,0.0,324,(G+(G+H))
GPb,liver,3,15,No Implementado,2638,1118,9.70493244890709,1.3297943210208312,6,-0.6452742979457136,1.368433807726521,1.9226808487668552,77.39130434782608,0.7644927536231884,27.99946511055452,0.0,8128,H
GPBUMDAb,liver,5,15,No Implementado,2622,1741,29.804816765627276,0.5286225109369526,5,0.7803505846759551,1.0137166086265303,1.4485488829970639,77.68115942028984,0.6746376811594204,35.662502615591485,0.0,290,(G+H)
GPEDAb,liver,4,15,No Implementado,2594,641,20.248566055575285,2.196058840481479,6,0.6593526581159483,0.3943197069653742,0.6611996348991489,75.65217391304347,0.6681159420289855,31.776056372166117,0.0,621,(G*H)
GPEDAb,liver,3,15,No Implementado,2612,332,21.114111038803582,2.905950098285153,6,0.30109368483454274,0.7601885370740504,1.0E-4,73.6231884057971,0.7434782608695651,22.761361268367,0.0,725,G
