Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,mammo,2,(L*L),0.0,82.31379533678755,82.41634283246978,82.41634283246978,82.41796200345422,82.41796200345422,83.14712867012089,83.14712867012089,83.14712867012089,83.14712867012089,83.14712867012089,83.14712867012089,83.14712867012089,83.14712867012089,83.14712867012089,0.0,2.336116853820072,0.7854832267713482,0.4453645563342047,0.3416651114190028,0.145775160542356,0.0739367873008444,0.16332595685706547,0.17801936647384298,0.19865416602043892,0.2110216787997498,0.22848980997473703,0.2333960790694155,0.24902339259648176,0.2713994336677499,
GPBUMDA,mammo,3,G,0.0,82.10546200345422,82.51889032815197,83.35222366148533,83.35222366148533,83.45531088082902,83.55947754749569,83.55947754749569,83.76727115716753,83.76727115716753,83.76727115716753,83.76727115716753,83.76727115716753,83.87089810017271,83.97506476683938,0.0,2.6693511902658984,0.7668691553355369,0.3185432531312945,0.32830369332081644,0.3285064439851424,0.3627472845925417,0.28413911909699585,0.1593236149715052,0.1364544211612072,0.1270126808420587,0.10075831644866891,0.0785079099917563,0.05238452824351334,0.020512812800343797,
GP,mammo,1,L,0.0,82.2096286701209,82.93663644214163,82.93663644214163,82.93663644214163,82.93663644214163,84.49319948186528,84.49319948186528,84.49319948186528,84.49319948186528,84.49319948186528,84.49319948186528,84.49319948186528,84.49319948186528,84.49319948186528,0.0,8.430927645874263,1.0709754474697126,0.45480245622045745,0.271541504978946,0.2399956515567339,0.2901781898355583,0.5326594187660211,0.4678713442024594,0.4589370042687154,0.5941868766951129,0.6762584651718527,0.6762584651718527,0.7721225761155257,0.768594679139562,
GP,mammo,3,(L+H),0.0,82.31271588946461,82.31325561312607,82.41796200345422,82.41796200345422,82.62413644214163,82.72884283246978,82.93663644214163,82.93663644214163,82.93663644214163,83.14604922279793,83.14604922279793,83.14604922279793,83.14604922279793,83.14604922279793,0.0,7.55154385901364,2.367765586755504,0.6050433545448141,0.17845681708599825,0.11431451325351416,0.12510846816392232,0.16370011941617565,0.15794782778735988,0.1323865918094188,0.11893345314354799,0.12161716751705637,0.09877032429197787,0.09409191057767342,0.08730687392758783,
GP,mammo,4,E,0.0,82.93501727115715,83.24373920552678,83.24373920552678,83.24427892918825,83.24535837651122,83.24535837651122,83.24535837651122,83.45207253886011,83.45207253886011,83.45207253886011,83.45207253886011,83.45207253886011,83.45207253886011,83.45207253886011,0.0,6.697552573729486,2.380133166987657,1.1371506288026212,0.6403445021675883,0.3174980479097217,0.27181893611302005,0.40659916453081824,0.39007999485520745,0.37795706970559717,0.3582940800937714,0.3282311143400989,0.2370085869201186,0.11744886110060662,0.06892387387836454,
GPEDA,mammo,4,L,0.0,82.41040587219342,82.82977115716753,82.82977115716753,83.55839810017271,83.55839810017271,83.55839810017271,83.76619170984456,83.76619170984456,83.86927892918825,83.86927892918825,84.28918393782382,84.28918393782382,84.28918393782382,84.28918393782382,0.0,1.9967590262269188,0.587676797206631,0.28832343440327596,0.1996744419920638,0.31783840146908326,0.3373813946251062,0.31159574054276473,0.3630756371313208,0.3312173956576434,0.26786153828593995,0.10844954495102985,0.15497496159435387,0.1406486309715793,0.12354206276723768,
GPBUMDA,mammo,4,(L+G),0.0,83.45423143350604,83.45423143350604,83.45423143350604,83.45423143350604,83.76565198618307,83.76565198618309,84.18177892918825,84.18177892918825,84.18177892918825,84.18177892918825,84.28594559585493,84.28594559585493,84.28594559585493,84.28594559585493,0.0,2.9392232778723897,1.4780867957837165,0.6493017329524997,0.5334106639525756,0.4762174460969778,0.4608660707995366,0.40049122416125243,0.31097297493650583,0.1945232556609426,0.1265634625499926,0.10996914262777598,0.09178095071000976,0.059560994208628384,0.03857583355421537,
GP,mammo,5,G,0.0,82.72830310880829,82.93609671848014,82.93609671848014,83.04242227979275,83.04242227979275,83.04242227979275,83.04242227979275,83.04242227979275,83.04242227979275,83.04242227979275,83.14443005181347,83.35546200345422,83.35546200345422,83.35546200345422,0.0,7.736375345803022,2.6734685394814703,0.9706008226049271,0.5956106644660675,0.4427312558075686,0.2646077473698638,0.273598843627959,0.2927255639612173,0.2717257598317113,0.2717257598317113,0.2563900009356369,0.2713113608976962,0.2664651659434378,0.2578161350604362,
GPEDA,mammo,5,(H*E),0.0,81.68663644214163,82.72884283246978,82.72884283246978,82.83246977547496,82.83246977547496,82.83246977547496,82.83246977547496,82.93663644214163,83.14335060449051,83.14335060449051,83.14335060449051,83.143890328152,83.143890328152,83.77050949913644,0.0,2.040509057729189,0.4717720275671595,0.6083277272891039,0.28642141105828933,0.2557991937169053,0.22651512546383457,0.2149539900621414,0.1321348712197881,0.06644013617503183,0.11357709390002721,0.10441610401296247,0.08731797722024466,0.0699045152713702,0.048147339141196316,
GPBUMDA,mammo,5,(L+(L+G)),0.0,81.17012089810017,82.20854922279793,82.20854922279793,82.20854922279793,83.04242227979273,83.04350172711572,83.35492227979275,83.35546200345424,83.56271588946461,83.66742227979275,83.66742227979275,83.66742227979275,83.76996977547496,83.76996977547496,0.0,3.1664903152000705,1.5769011091676093,0.6195159575920158,0.5014208227299202,0.47390431058679133,0.4292007761154944,0.30858422608808916,0.388360010724421,0.28014244245045417,0.14884584304838114,0.13272524841976838,0.10273907682102626,0.08354505018815335,0.09133140732530623,
