Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAa,mammo,2,15,No Implementado,2596,1143,27.12401252104633,1.9073221118059704,4,0.010759583686311358,0.7588756488021209,0.8155072868477136,83.14712867012089,0.4183128115517989,64.76904673561631,90.90080007078984,500,(L*L)
GPBUMDAa,mammo,3,15,No Implementado,2626,2665,26.771428673230282,3.0226898928378505,5,-0.10250855987547508,1.5386164973185619,2.8556046345691968,83.97506476683938,0.3917794348721283,68.03483071205385,91.65052815753305,846,G
GPa,mammo,1,15,No Implementado,2620,1103,9.312065085101857,3.640982815594829,6,-0.8134635512537531,0.8759956270736525,4.836042284463835,84.49319948186528,0.4581132152145644,66.31545983928929,92.25913786967104,97,L
GPa,mammo,3,15,No Implementado,2614,1878,27.889661735866113,3.095626698506554,4,0.24205533152977465,1.2954824369418285,3.1627467740784847,83.14604922279793,0.43183788469874296,64.13401141232113,90.53179708840324,609,(L+H)
GPa,mammo,4,15,No Implementado,2596,1507,21.788165432288114,1.4074920520380978,3,0.9948004927853293,1.5401968361204779,4.65345337335105,83.45207253886011,0.40218492631122676,66.26930509108566,89.55267030977912,1512,E
GPEDAa,mammo,4,15,No Implementado,2594,2096,29.339810614679184,0.5654284529970939,4,-0.15148643607110096,1.2515173019439099,2.490765176418255,84.28918393782382,0.44381061714347636,66.4806055297417,91.54059704977722,150,L
GPBUMDAa,mammo,4,15,No Implementado,2614,1994,14.357539159428681,0.735247562449757,5,-0.09531445584128229,0.9228461295720538,2.614965505625606,84.28594559585493,0.3998455786736021,68.46348623761533,92.26445204577375,909,(L+G)
GPa,mammo,5,15,No Implementado,2634,2329,19.271258510848313,2.4488682086067883,4,-0.21942278145373506,1.7834283121305647,4.493243843408561,83.35546200345422,0.40660659135240573,65.8285386938786,91.52670342402425,547,G
GPEDAa,mammo,5,15,No Implementado,2604,2599,25.392474449622213,1.7617884495273566,3,0.09755172569834426,1.072298857932006,3.4432062183863246,83.77050949913644,0.3733128792804508,68.30692297690165,89.03158488047136,1000,(H*E)
GPBUMDAa,mammo,5,15,No Implementado,2640,2439,19.068214363880283,1.5856698588678881,4,-0.19860453869683403,0.9879377681074243,3.426545368929185,83.76996977547496,0.4076445329432163,66.8265997912348,92.76729671958657,1200,(L+(L+G))
GPEDAa,mammo,1,15,No Implementado,2608,2230,19.33725085866965,2.1004027181092635,4,0.6068229203658453,1.1893497270735376,2.5399417185946245,84.29350172711572,0.4370411383831817,66.80999578395068,90.77677953527896,537,(L+H)
GPa,mammo,2,15,No Implementado,2596,1460,28.884012877091198,0.13619856025491164,1,-0.7657555291108034,1.444134268999145,3.8623809254371673,83.04296200345422,0.3579747101213698,67.13943317142547,90.52730877077519,21821,(L*L)
GPEDAa,mammo,3,15,No Implementado,2638,2606,23.907489042443018,2.422063107350126,5,-0.09512818126707154,1.129652782957839,2.662749560758348,83.8714378238342,0.38709667587776336,67.97676699892887,91.53164411081173,863,(L+G)
GPBUMDAa,mammo,1,15,No Implementado,2624,1662,13.329066207786664,1.8571843493113311,6,0.17218866773725028,0.890149548532789,0.7400450584063791,83.35546200345424,0.4331379361725184,64.60603329732385,91.04065114500973,1203,(L+H)
