Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GP,mammo,1,((((L+L)+L)+L)+L),0.0,82.93177892918825,82.93177892918825,83.65986614853195,83.65986614853195,83.65986614853195,83.65986614853195,83.65986614853195,83.65986614853195,83.7640328151986,83.7640328151986,83.86765975820379,83.86765975820379,83.86765975820379,83.86765975820379,0.0,10.853677629201727,0.42154318133574215,0.37768633419032366,0.3956422276733293,0.39761164900759655,0.38757978211938526,0.28372169781346646,0.2544402706569433,0.18113858648363423,0.11140238612345882,0.0873774996451333,0.0873774996451333,0.05825936305737917,0.06082324654336695,
GPEDA,mammo,1,(L+(((L+P)+L)+((L+P)+L))),0.0,82.93177892918825,83.65986614853195,83.86765975820379,83.86765975820379,83.86765975820379,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,85.84682642487046,0.0,0.32802118648887696,0.2018464619351586,0.28313946492088915,0.1996261436348941,0.09237764631040934,0.09160618646222923,0.05340559055948078,0.033674770503376215,0.037990264736219866,0.04145077711741855,0.04652838193758821,0.048339497503722774,0.05076662671214822,0.05177200405979662,
GPBUMDA,mammo,3,(L+((L*L)+L)),0.0,82.52428756476684,82.6284542314335,82.6284542314335,82.6284542314335,83.35060449050086,83.35060449050086,83.35060449050086,83.35060449050086,83.35060449050086,83.35060449050086,83.35060449050086,85.11604058721935,85.11604058721935,85.11604058721935,0.0,0.6018865465224069,0.349211924242717,0.11290577036216885,0.08407948005918896,0.07349249891133479,0.1843835546989421,0.1986623413436548,0.21684437512055932,0.23208853847444394,0.24595209953041727,0.2735610691465361,0.302085952082775,0.5459429194033517,0.6868782431903931,
GPBUMDA,mammo,1,(L+(L+(L+L))),0.0,83.65986614853195,83.65986614853195,83.86765975820379,83.86765975820379,83.86765975820379,83.86765975820379,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,83.97128670120898,0.0,0.7948006432622996,0.4094373017711287,0.41134689193276136,0.1357860347409451,0.07362324508831793,0.0870742206124787,0.09672939590778962,0.0844111331928362,0.0439896477649562,0.041871603791730945,0.034016651726774615,0.038375958768964054,0.04021636216485547,0.04336289273547834,
GPEDA,mammo,3,((L+(L*L))+L),0.0,82.52428756476684,82.52428756476684,82.52428756476684,82.52428756476684,82.52428756476684,82.52428756476685,82.52428756476685,82.52428756476685,84.90716753022453,84.90716753022453,84.90716753022453,84.90716753022453,84.90716753022453,84.90716753022453,0.0,0.3550502106425024,0.29677730042011446,0.06586081693730228,0.0416560051613359,0.049951709255613326,0.051611653614957655,0.04659779925957851,1.9073486328125E-6,1.9073486328125E-6,0.6569793248231768,0.7824366438026904,0.8716651616470099,0.9443151169682715,1.077707158231772,
GPBUMDA,mammo,2,(L+L),0.0,82.51673143350605,83.24697754749567,83.24697754749567,83.24697754749567,83.24697754749567,83.24697754749567,83.24697754749567,83.24697754749569,83.24697754749569,83.24697754749569,83.24697754749569,83.24697754749569,83.24697754749569,83.24697754749569,0.0,0.5909152380326,0.336216422789725,0.3764641600806719,0.30452411929797624,0.25603389475887933,0.2835455097721984,0.30680811236945155,0.33373825570516885,0.3558495511210563,0.3577223064276026,0.3596698524836041,0.34826970481102565,0.3076387461676778,0.26169826449206035,
GP,mammo,3,((L*L)+L),0.0,82.52428756476684,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,83.25615284974094,84.69937392055267,84.69937392055267,0.0,11.7613376334836,0.5066782234987316,0.41956016870768736,0.2889007664056602,0.2034280339147085,0.1910864640235517,0.2221729210691178,0.25303831767383766,0.2352643135310905,0.2352643135310905,0.27162345054451925,0.2681037934213734,0.26807949065999537,0.4636807739959902,
GP,mammo,2,(L+L),0.0,82.51673143350605,82.51673143350605,82.62251727115718,83.04296200345424,83.04296200345424,83.04296200345424,83.54922279792746,83.54922279792746,83.54922279792746,83.54922279792746,83.54922279792746,83.54922279792746,83.54922279792746,83.54922279792746,0.0,10.7942015875578,0.39529891785330834,0.36220140092491804,0.33217940631459114,0.29592287932351813,0.19436506316337135,0.27611374980694,0.27611374980694,0.27611374980694,0.3256830025592974,0.2942546348749051,0.32594203468335586,0.3267544038942601,0.3707293877856397,
GPEDA,mammo,2,(L+L),0.0,82.82275474956822,82.82275474956822,82.82275474956822,82.82275474956822,82.82275474956822,83.032707253886,83.032707253886,83.032707253886,83.032707253886,83.032707253886,83.032707253886,83.032707253886,83.032707253886,83.032707253886,0.0,0.29632454709335754,0.4340437814718655,0.2676458237638387,0.17418330199608414,0.14863588424228605,0.15028908414680325,0.1632371150142794,0.1410621662397224,0.10436128870394203,0.08456489808633136,0.08980133453252212,0.09978534829484463,0.1024993205505403,0.09967081401066274,
GP,mammo,5,((L+L)+(L+((((L+L)+((L+L)+(L+L)))+L)+(L+(L+(L*P)))))),0.0,82.61981865284974,82.61981865284974,82.61981865284974,82.72344559585491,82.93123920552678,83.03594559585493,83.24373920552677,83.24373920552677,83.24373920552677,83.24373920552677,83.24373920552677,83.34736614853195,83.55569948186528,83.55569948186528,0.0,9.892170296870505,1.1974360452896537,0.4581623084260999,0.35396594049494523,0.2659249745992605,0.27252506567089124,0.21422037871691055,0.20813051775831265,0.1995788634464118,0.22235589249567062,0.22215428099159293,0.16639160569594222,0.10495877478418514,0.10651567873890945,
