Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPc,mammo,1,15,No Implementado,2602,2121,26.694534516056635,0.6355703666537558,3,0.3407313671015266,0.6804317643885651,3.612249911812019,83.86765975820379,0.42612192511920244,66.23588835634578,90.92600598437687,1062,((((L+L)+L)+L)+L)
GPEDAc,mammo,1,15,No Implementado,2612,2536,26.06411532758125,2.81790645016774,2,0.021162415498657494,1.658008030868243,2.0118144916299108,85.84682642487046,0.4258618470957954,71.21973670656782,90.80236460560216,1316,(L+(((L+P)+L)+((L+P)+L)))
GPBUMDAc,mammo,3,15,No Implementado,2614,2248,6.858866762817736,0.46154131478981064,4,0.724422376781868,1.2052884220102067,2.3954781343294074,85.11604058721935,0.420128616710013,69.65196245140955,91.40882226069255,681,(L+((L*L)+L))
GPBUMDAc,mammo,1,15,No Implementado,2618,1240,32.0,1.9272603551505127,6,0.3426713757544079,1.3845264832111388,2.4619179264742135,83.97128670120898,0.42560176907238834,66.52249375307916,91.04881473285934,1009,(L+(L+(L+L)))
GPEDAc,mammo,3,15,No Implementado,2638,1671,24.012208147864694,2.5618796813760274,3,0.30748580639721423,1.120594495587511,3.138731902031934,84.90716753022453,0.4115436714347638,69.50679554632543,90.66173111458383,999,((L+(L*L))+L)
GPBUMDAc,mammo,2,15,No Implementado,2622,1564,17.447139149305528,1.0E-4,1,-0.5262730305630772,1.0E-4,1.619988433930082,83.24697754749569,0.43886845741222363,64.05639045284451,91.41540182154539,359,(L+L)
GPc,mammo,3,15,No Implementado,2610,2340,31.955076831532303,2.5320075196829706,5,0.5634452913831196,1.5951857296534122,0.6592580656360758,84.69937392055267,0.4118040881014304,68.9761390237993,90.66173111458383,1055,((L*L)+L)
GPc,mammo,2,15,No Implementado,2612,1229,10.626847002244482,0.2346317606070907,1,-0.6866628110138246,0.3258004591707534,4.8962205012548115,83.54922279792746,0.4471926473775466,64.42800695435315,92.15478597016218,737,(L+L)
GPEDAc,mammo,2,15,No Implementado,2616,1147,26.536089007226522,0.8638420432934051,4,-0.6856195675765462,0.9718928765180842,4.343914834789354,83.032707253886,0.4347061931079324,63.708649309690955,91.04180565749125,371,(L+L)
GPc,mammo,5,15,No Implementado,2618,2332,31.37607908720851,2.0918273615629834,2,0.9062663968957294,0.6522035489009153,3.6228429195070158,83.55569948186528,0.42117908810143045,65.67268155087578,90.78537249335852,3382,((L+L)+(L+((((L+L)+((L+L)+(L+L)))+L)+(L+(L+(L*P))))))
GPc,mammo,4,15,No Implementado,2604,82,23.720336748119202,3.2090132607240807,4,0.037689086550107165,1.3255736807108756,2.130127370103008,83.44721502590673,0.446149964781101,64.21739012110318,91.89639573400103,132,L
GPBUMDAc,mammo,4,15,No Implementado,2632,82,23.720336748119202,3.2090132607240807,4,0.037689086550107165,1.3255736807108756,2.130127370103008,83.44721502590673,0.446149964781101,64.21739012110318,91.89639573400103,132,L
GPEDAc,mammo,4,15,No Implementado,2610,530,26.793378754269177,0.6177291891771609,2,0.2852519252590172,0.6893406787916914,3.317073026787745,83.56217616580311,0.44458949664065883,64.58697391059043,91.77825241948565,285,L
GPEDAc,mammo,5,15,No Implementado,2606,2432,31.2340764142886,0.7174227488962895,2,-0.33914555815513614,1.0759408213880866,0.8484465045509562,83.86819948186528,0.4190981252709146,66.55892085708798,90.91073123689318,7516,(((((L+L)+((L+((L+(L+(((L+(((L+L)+L)+L))+L)+((L+L)+(L+((L+L)+L))))))+L))+L))+L)+((L+(L+(((L+L)+L)+L)))+L))+(L+L))
GPBUMDAc,mammo,5,15,No Implementado,2602,854,28.371757927049764,1.420692806808161,4,0.5057097961873415,0.8890262469311282,4.285798132504176,84.18177892918825,0.4341867143476376,66.65931186298545,91.40332419643325,365,(L+L)
