Algorithm,Dataset,Trial,KernelExp,Gen 0,Gen 1,Gen 2,Gen 3,Gen 4,Gen 5,Gen 6,Gen 7,Gen 8,Gen 9,Gen 10,Gen 11,Gen 12,Gen 13,Gen 14,Dev 0,Dev 1,Dev 2,Dev 3,Dev 4,Dev 5,Dev 6,Dev 7,Dev 8,Dev 9,Dev 10,Dev 11,Dev 12,Dev 13,Dev 14,
GPBUMDA,mammo,1,(G+E),0.0,82.51727115716753,82.51727115716753,82.51727115716753,82.72560449050086,82.72560449050087,82.72560449050087,82.9339378238342,82.9339378238342,82.93447754749567,82.93447754749567,82.93447754749567,82.93447754749567,82.93447754749567,82.93447754749567,0.0,2.1676352290150707,0.5863440168175879,0.48065713501798685,0.48503683191393027,0.464964833902785,0.29457922859471175,0.22130519045469718,0.1503860468173417,0.10973779284530286,0.09400857501846692,0.0825056062851725,0.05195779844331593,0.04036126395874111,2.258483996597996E-4,
GPBUMDA,mammo,4,(G*H),0.0,82.41850172711572,82.41850172711572,83.03972366148533,83.03972366148533,83.24697754749569,83.24697754749569,83.24697754749569,83.56055699481865,83.56055699481865,83.56055699481865,83.56055699481865,83.56055699481865,83.56055699481865,83.56055699481865,0.0,2.770573708097132,1.6221878990470524,0.5700508114876793,0.4006038843528597,0.34079372113430667,0.3441884608166843,0.31566759474434314,0.2807026953508403,0.31384344833954453,0.29927343361819814,0.3155306038388868,0.3226297579047301,0.3066381488416201,0.26696710621116887,
GPEDA,mammo,2,G,0.0,82.93447754749569,82.93447754749569,82.93609671848013,83.0402633851468,83.55839810017271,83.55839810017271,83.66310449050087,83.66310449050087,83.66310449050087,83.66310449050087,83.66310449050087,83.66310449050087,83.66364421416236,83.87197754749569,0.0,2.110189918013406,0.9871149295948901,0.5478714469535241,0.5131224234463861,0.3703886922936184,0.22039513939315186,0.19421050017257077,0.23560633002289352,0.23676347675451673,0.24240839721824867,0.23933424254602947,0.2198836539242102,0.19455012992233284,0.06584050340759715,
GP,mammo,4,(G+E),0.0,82.62575561312607,82.62575561312607,82.93501727115718,82.93501727115718,82.93501727115718,82.93501727115718,82.93501727115718,82.93501727115718,82.93501727115718,82.93501727115718,82.93501727115718,82.93501727115718,83.04080310880828,83.04080310880828,0.0,7.7754944263517904,2.016675468675696,1.8031669478439671,1.234009554117271,0.7286309780463974,0.5459491348224075,0.4338991585675511,0.39152551340080033,0.3570147633280763,0.32298114759676505,0.26445121392873255,0.24514374663885952,0.2293919037044442,0.215234351454609,
GP,mammo,1,(H*G),0.0,81.9964378238342,82.20477115716753,82.41310449050086,82.41310449050086,82.41310449050086,82.41310449050086,82.41310449050086,82.41310449050086,82.41310449050086,82.41418393782382,82.72668393782382,82.72668393782382,82.72668393782382,82.72668393782382,0.0,3.831999405896701,1.3554801717791602,0.6129592920313888,0.4947519628093747,0.4471579525115048,0.4201093413067693,0.3949982188775367,0.2680255782476576,0.24440246056919904,0.2261141514918389,0.23161272358708881,0.2184966705763719,0.2167158191859167,0.19738838800563172,
GPBUMDA,mammo,5,(E+G),0.0,81.89119170984456,82.41202504317789,83.0364853195164,83.03864421416235,83.03864421416235,83.03864421416235,83.03864421416235,83.03864421416235,83.14065198618307,83.14065198618307,83.24427892918825,83.24481865284974,83.24481865284974,83.24481865284974,0.0,2.620929223295215,2.275886404584971,0.7688523692026427,0.43071449241107984,0.3563447895974279,0.3089550244369077,0.22200707563191757,0.17785506312856975,0.17878268343940118,0.15746308451840824,0.07536322082162171,0.0770035328565531,0.06933438520424813,0.07513825581632641,
GP,mammo,2,G,0.0,82.7277633851468,83.0402633851468,83.14335060449051,83.14335060449051,83.14335060449051,83.14335060449051,83.24643782383419,83.56109671848013,83.56109671848013,83.56109671848013,83.56109671848013,83.56109671848013,83.76727115716753,83.76727115716753,0.0,4.781196812903599,2.3833729689296606,1.345612127585452,0.4683009086663445,0.4645191152117827,0.50705995546526,0.46909280692454736,0.4813567255618183,0.4766709989449448,0.44595328058613454,0.40595320476508623,0.3684075333127517,0.2040454533951123,0.18252563203503266,
GPBUMDA,mammo,2,G,0.0,83.03054835924007,83.66310449050087,83.66310449050087,83.66310449050087,83.66310449050087,83.66310449050087,83.76727115716753,83.76727115716753,83.76727115716753,83.76727115716753,83.8714378238342,83.8714378238342,83.8714378238342,83.8714378238342,0.0,2.7963244312724655,1.5573116080342273,0.674980403062186,0.5885966889697876,0.4988315597198387,0.40753968851335876,0.2930103998344868,0.2473035454588079,0.08868801385881456,0.051535826015483226,0.048212713449230823,0.02062201728757168,0.031567263796108844,0.03651143718620598,
GPEDA,mammo,3,G,0.0,82.62251727115715,82.62251727115715,82.62251727115715,82.72614421416236,82.72614421416236,82.72722366148533,82.83139032815197,83.03864421416235,83.03864421416235,83.24751727115715,83.35114421416235,83.45585060449051,83.45585060449051,83.45585060449051,0.0,2.191339038560848,0.6521720216931108,0.41754151894028196,0.2690434776539217,0.22416798531484236,0.16165219551053875,0.11440861286134606,0.07636888331453794,0.12247071959775079,0.08557714051761382,0.09366124007739955,0.12456684414879335,0.16140555925514524,0.1551838580331231,
GPEDA,mammo,4,((E+H)+H),0.0,82.51835060449051,82.51835060449051,82.51835060449051,82.93555699481865,82.93555699481865,83.03972366148533,83.03972366148533,83.03972366148533,83.03972366148533,83.03972366148533,83.03972366148533,83.03972366148533,83.14281088082902,83.24697754749569,0.0,2.0403020572186428,0.9090021884300301,0.47336845806054045,0.4264542711642097,0.3346700737674168,0.31756030642052785,0.27399771616811014,0.2073269652033095,0.20643012610576783,0.19570829481495575,0.14364896925466228,0.12680005580633447,0.08311221749620347,0.027993014222618753,
