Algorithm,Dataset,Rep,Gen,TestAcc,FunCalls,Id,C,Gamma,Degree,Alpha,A,Coef0,BestAcc,BestPSV,BestCmbIdx,BestG_mean,BestTime,BestKernel
GPBUMDAb,mammo,1,15,No Implementado,2600,1604,19.567037119894145,2.456154238018401,3,-0.19285298952052576,1.026517495510922,2.6092417638095,82.93447754749567,0.3938600590593845,65.33658316510528,90.41964264303138,1204,(G+E)
GPBUMDAb,mammo,4,15,No Implementado,2640,1579,10.425957767882498,1.7542565115280224,6,-0.1625254995097775,0.9231484624464429,1.0E-4,83.56055699481865,0.4003613323580407,66.62282112387003,89.43356133716624,2503,(G*H)
GPEDAb,mammo,2,15,No Implementado,2632,2669,16.982765665158134,2.409666130269433,4,-0.18206794668052934,1.0021476656557018,2.232964784054802,83.87197754749569,0.4032245611183355,67.27887555495825,92.14536320414172,464,G
GPb,mammo,4,15,No Implementado,2616,2395,10.755701957293386,3.603983991360378,3,-0.04739776760697012,0.5888203473039715,1.4267329577424825,83.04080310880828,0.41128833441699186,64.82204207298633,89.93340588738263,538,(G+E)
GPb,mammo,1,15,No Implementado,2584,2036,5.914118426755785,3.3128874338833314,6,-0.2883896256666423,0.17719149955178745,0.9130912912469624,82.72668393782382,0.39594339239271786,64.72161418704907,89.55365434856465,1550,(H*G)
GPBUMDAb,mammo,5,15,No Implementado,2606,2281,17.667803468772224,3.7807753499349332,3,-0.2913370444984554,1.2586352780104488,4.449927059769683,83.24481865284974,0.39230670242739485,66.1841077387701,90.16341264751655,514,(E+G)
GPb,mammo,2,15,No Implementado,2598,2317,3.3007821973108875,3.017218385751543,6,-0.25310909095429834,1.2386768735668434,0.9634791468443893,83.76727115716753,0.4170103895752059,66.3986385824809,92.27046958480486,464,G
GPBUMDAb,mammo,2,15,No Implementado,2628,2142,17.562337580824213,1.6659256473286561,4,-0.13583113315834622,0.8866312711655742,1.2271172989341308,83.8714378238342,0.40504713914174256,67.19708985238783,92.15335972970915,215,G
GPEDAb,mammo,3,15,No Implementado,2628,2262,18.06399435332338,1.0749443738456403,5,-0.0686265909243395,1.3740351588088924,3.512708151513518,83.45585060449051,0.39724175065019507,66.49723355220021,91.30338943457652,719,G
GPEDAb,mammo,4,15,No Implementado,2608,2604,29.170053952251465,1.479220866702193,3,-0.26763849503195036,0.8632730830980266,1.5048188702103484,83.24697754749569,0.3870915962288687,66.41665457800025,89.93595588243483,2619,((E+H)+H)
GPEDAb,mammo,1,15,No Implementado,2618,2490,32.0,0.004034069148800785,4,-0.08559356814940858,1.0E-4,2.389898648812591,83.03918393782382,0.40348802557433894,65.17104619278763,91.29634115788454,480,G
GPb,mammo,5,15,No Implementado,2650,1340,26.287766498869825,0.565567574510481,4,-0.07764043477339477,1.795436862627335,2.3156297775123686,84.18231865284974,0.4071297951885565,67.8858913898329,91.89205489870719,503,G
GPb,mammo,3,15,No Implementado,2594,1506,24.03085048177898,1.9162485214589848,5,-0.1799408063517105,1.63527941954438,0.7351514462751751,82.93501727115715,0.3902159189423494,65.49848946200473,90.25985046563656,625,G
GPEDAb,mammo,5,15,No Implementado,2632,2445,22.744344711337796,1.8326724037796331,4,-0.08485504639296992,1.6159335321201933,2.464580682758113,84.39119170984456,0.40712877925877766,68.40958935036554,92.25042321972408,382,G
GPBUMDAb,mammo,3,15,No Implementado,2622,1706,29.396853256908546,1.9522483395747814,6,0.017080184935828843,0.9093299249970963,1.69627876073746,83.14227115716753,0.41805611996098835,64.76857293584159,90.31215905387651,1676,G
